year,aucun_DET auteur_NOUN
1800,7.734644444923333e-07
1801,1.0215273249514212e-06
1802,1.172628202539272e-06
1803,8.737519614498979e-07
1804,8.676196685541981e-07
1805,1.009221572978447e-06
1806,9.941758776221832e-07
1807,9.537299536788169e-07
1808,1.1579637870795523e-06
1809,1.1295152457790891e-06
1810,1.0694379239950536e-06
1811,1.4641328540676568e-06
1812,1.293595957463367e-06
1813,1.391858972965565e-06
1814,9.534431697488799e-07
1815,1.5967564053198657e-06
1816,1.0174280813401992e-06
1817,1.5708852609819246e-06
1818,1.1050931494338556e-06
1819,1.4356906721246787e-06
1820,8.721863737903846e-07
1821,1.155766412352932e-06
1822,9.303771548729856e-07
1823,8.904300692336165e-07
1824,8.067425714131105e-07
1825,8.567696170302952e-07
1826,1.1221372443470656e-06
1827,9.871699659380617e-07
1828,8.466034131515698e-07
1829,9.601957060567656e-07
1830,9.278347334884529e-07
1831,9.027308305320503e-07
1832,9.010959729494061e-07
1833,8.61821953024311e-07
1834,6.84221091118431e-07
1835,7.305943157120964e-07
1836,8.414378893095709e-07
1837,8.09898523357333e-07
1838,8.212122821760204e-07
1839,9.284679123311435e-07
1840,7.643626105391377e-07
1841,9.797756930218782e-07
1842,6.346018559533206e-07
1843,6.497602297317329e-07
1844,7.124152574533582e-07
1845,6.004325427966251e-07
1846,8.014812209466982e-07
1847,6.703776795902172e-07
1848,5.72819781163858e-07
1849,6.016420091015107e-07
1850,5.818169839244547e-07
1851,6.733214361620554e-07
1852,6.614714007646683e-07
1853,7.202149761020848e-07
1854,5.678861219604592e-07
1855,6.134819159342442e-07
1856,5.731148471355141e-07
1857,4.603263131230939e-07
1858,5.696238787322727e-07
1859,6.263372962500569e-07
1860,5.671130984818973e-07
1861,4.885738391635641e-07
1862,6.040547617658376e-07
1863,5.863684680029735e-07
1864,5.782441832025143e-07
1865,4.810394944598784e-07
1866,5.415427111188365e-07
1867,5.080893750175619e-07
1868,6.352678330046047e-07
1869,5.923708954469475e-07
1870,5.539091034734156e-07
1871,3.78113922616663e-07
1872,4.608072624590065e-07
1873,5.902200399532376e-07
1874,5.783421528349209e-07
1875,5.555602721751818e-07
1876,4.6856615720791694e-07
1877,6.283773146265048e-07
1878,5.845837733886583e-07
1879,5.956592130651472e-07
1880,5.423079936228703e-07
1881,3.974329345624028e-07
1882,4.532317348093784e-07
1883,5.232412618738636e-07
1884,4.4693489087421767e-07
1885,4.653748959526638e-07
1886,4.227018735036836e-07
1887,4.792230612338244e-07
1888,3.8043689443156836e-07
1889,4.272823375117696e-07
1890,4.3848845621141663e-07
1891,3.7289186138877994e-07
1892,4.97093033402507e-07
1893,4.3170500418909796e-07
1894,2.923914195207544e-07
1895,3.256070504331632e-07
1896,3.526423171251736e-07
1897,3.554295219254655e-07
1898,3.287504154458887e-07
1899,3.5708157497538195e-07
1900,3.592208912550632e-07
1901,2.7608370700704654e-07
1902,3.402826614373744e-07
1903,2.9863218276027226e-07
1904,3.740739096258494e-07
1905,3.235795964506849e-07
1906,3.415738515921696e-07
1907,3.1474201733772134e-07
1908,3.447795218214367e-07
1909,3.2290774720777904e-07
1910,3.147704724648648e-07
1911,3.4954858008084955e-07
1912,3.3236108387679764e-07
1913,3.568912048113049e-07
1914,3.207740075783505e-07
1915,2.945190575864842e-07
1916,2.362304414305072e-07
1917,2.544210495614152e-07
1918,2.9634851017590336e-07
1919,2.992550665603666e-07
1920,2.8168701771136284e-07
1921,3.2714268627387355e-07
1922,2.8773949267701937e-07
1923,3.3440235824855336e-07
1924,3.261581014157855e-07
1925,3.6953877602385887e-07
1926,3.6893717947350524e-07
1927,3.1886783347090386e-07
1928,3.2792737580944475e-07
1929,2.8742247737412185e-07
1930,3.5817287735717684e-07
1931,3.318958832210228e-07
1932,3.1344275275291267e-07
1933,3.257668055312024e-07
1934,3.55852932898415e-07
1935,3.674263187036786e-07
1936,3.661663852128072e-07
1937,2.870774906682527e-07
1938,3.708051323769723e-07
1939,3.854100683042816e-07
1940,3.372591166339589e-07
1941,4.3682238981546107e-07
1942,3.701738391370668e-07
1943,3.716140997145345e-07
1944,3.56663676370772e-07
1945,2.984550562246113e-07
1946,2.658930995380615e-07
1947,2.9921385902298425e-07
1948,3.4898759393442447e-07
1949,2.9254685074420195e-07
1950,3.3501387974865793e-07
1951,2.5907205980502113e-07
1952,2.7416489700726743e-07
1953,3.102862251580518e-07
1954,3.1858467663958834e-07
1955,3.857484860425586e-07
1956,3.24426467246397e-07
1957,3.056923105759779e-07
1958,2.7712016131831163e-07
1959,2.9530348766293457e-07
1960,3.024404091611643e-07
1961,3.043293754778631e-07
1962,2.8285125575067127e-07
1963,2.8515294880904207e-07
1964,3.340098544413195e-07
1965,3.491163624858018e-07
1966,3.3899137896753473e-07
1967,3.4068618859350863e-07
1968,3.3685619804657563e-07
1969,2.811348114306611e-07
1970,2.938585321743403e-07
1971,3.088176825372102e-07
1972,2.9293138492647586e-07
1973,2.8778922889216574e-07
1974,2.576511888285893e-07
