year,aucun_DET être_NOUN,aucun_DET etre_NOUN,aucun_DET maître_NOUN
1800,2.861189742908721e-07,3.144164484325529e-09,2.2323567216986362e-07
1801,4.0480104246398696e-07,2.3811825844433088e-09,1.8573224025431045e-07
1802,1.8350289110458107e-07,2.2378401354217203e-09,2.4616241489638924e-07
1803,3.861671658000887e-07,0.0,1.9113323790342918e-07
1804,3.8808060409678546e-07,0.0,1.8044511840287214e-07
1805,2.615447449727526e-07,5.685755422035754e-09,2.757591308633067e-07
1806,3.1410192491421185e-07,1.0662175498055149e-07,2.651135488918044e-07
1807,2.1921554571591173e-07,1.0818429529990681e-07,2.419911808715369e-07
1808,2.6059851521154087e-07,1.8128592405020072e-08,1.2463406395823995e-07
1809,2.1008984329995428e-07,1.3554183553310395e-08,1.649092258304563e-07
1810,3.9548143249135137e-07,4.680253518074551e-09,2.808152008704212e-07
1811,2.1560860830049933e-07,2.757784400841956e-08,2.381722978839207e-07
1812,2.5871920428244266e-07,0.0,4.0008122503820687e-07
1813,2.386865673997818e-07,0.0,1.4666282766029326e-07
1814,1.290137632281585e-07,0.0,2.800542620029489e-07
1815,3.2906127067633406e-07,0.0,1.6183341777775695e-07
1816,4.890144076341585e-07,0.0,1.9004351514695372e-07
1817,3.269434181163433e-07,1.556873407970727e-09,1.743698260225912e-07
1818,4.434678029241468e-07,3.5763532135746345e-09,2.0266001143909307e-07
1819,3.7781333084296875e-07,2.070210003424222e-09,2.6705709466057215e-07
1820,4.331265692769648e-07,9.493184904840746e-09,2.3376967916988178e-07
1821,2.9091391517965803e-07,0.0,2.7710780692302706e-07
1822,4.561655231327677e-07,0.0,2.736993138796606e-07
1823,2.0160681790670765e-07,0.0,2.2927834120167745e-07
1824,3.3010761413265755e-07,9.263223965660927e-09,1.9789615279819373e-07
1825,2.9586288263772076e-07,0.0,2.0428627722779424e-07
1826,3.364649900916561e-07,3.5231936257318353e-09,1.743980841961701e-07
1827,2.3227528300751032e-07,0.0,2.0923209298473466e-07
1828,2.2930752630045959e-07,0.0,1.724392664215202e-07
1829,2.983465261507945e-07,0.0,1.4145739912763133e-07
1830,3.3189138548550545e-07,0.0,1.5133411612744396e-07
1831,4.2252169407674955e-07,1.5591206103948707e-09,1.0913844139537332e-07
1832,3.9642811522355714e-07,0.0,1.5424164701016707e-07
1833,3.973184590222445e-07,0.0,2.073469502761327e-07
1834,3.005718856030626e-07,9.334530925997342e-10,1.9695859609925037e-07
1835,3.902553302737033e-07,0.0,1.8907720544802942e-07
1836,3.461186270925509e-07,6.720750067579218e-10,1.767557282761345e-07
1837,2.7135775315656474e-07,0.0,1.4750728460910523e-07
1838,2.9099065024240645e-07,1.8936485712828244e-09,2.0325161553813587e-07
1839,6.564995231883586e-07,2.09744255297295e-09,1.7548603103989535e-07
1840,4.3313882969187034e-07,7.643626342979104e-09,1.6051615236989392e-07
1841,3.7239182404391613e-07,0.0,2.3756029854382632e-07
1842,4.682369088016003e-07,1.341653010911159e-09,1.6435248761936805e-07
1843,4.920457001844625e-07,0.0,1.884304597354891e-07
1844,4.138375224727042e-07,3.2931368743049916e-09,2.0527219479760106e-07
1845,4.659490393521537e-07,2.7901139176833567e-09,2.2265108867713934e-07
1846,3.454155770299394e-07,4.6836010625384006e-09,2.1778744585532195e-07
1847,2.723578020891182e-07,1.0786447290911383e-09,3.8399752355644523e-07
1848,3.1376365683399854e-07,1.6090443422100975e-09,1.7860392403923342e-07
1849,3.167418753946549e-07,8.379414939696517e-10,1.8183330285914678e-07
1850,3.1772500808102677e-07,0.0,3.5234888429158673e-07
1851,3.908359929027938e-07,6.449438760824933e-10,2.818404709614697e-07
1852,3.157614436588574e-07,1.9531636308300904e-09,2.7344291297914936e-07
1853,2.902358868794863e-07,5.971931837933653e-10,2.514183274904269e-07
1854,2.6393976604310865e-07,1.2989160858012383e-08,2.483527601349067e-07
1855,3.4017466532532126e-07,1.0613874223963649e-09,2.807369767765522e-07
1856,3.1425538438156764e-07,6.212627079449362e-09,2.412570221377308e-07
1857,3.314544692045729e-07,4.881509085841174e-10,1.664594658778995e-07
1858,3.376636534824229e-07,2.4468380654951716e-09,1.8204474860894493e-07
1859,3.6307197071039354e-07,1.5276520048956854e-09,1.8229981169071152e-07
1860,3.5702034040241415e-07,9.154367819341758e-10,2.0917730514380395e-07
1861,4.03214894362236e-07,9.431927461278633e-10,1.5185403512418816e-07
1862,3.456259385359317e-07,0.0,1.4954535210165432e-07
1863,3.111648805287359e-07,0.0,1.9079450908066065e-07
1864,4.583759825038669e-07,1.4863656971897399e-08,2.008991003554783e-07
1865,3.8172507288436464e-07,1.6473956032658776e-08,2.089838844199221e-07
1866,3.668671997303363e-07,2.9193677475447544e-09,1.741889406048358e-07
1867,2.144942747861478e-07,2.426405742994575e-09,1.7809818686487233e-07
1868,3.18621884431991e-07,1.4819622196071691e-09,1.89691171215145e-07
