year,ton_DET matin_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,3.4163461393177386e-08
1808,3.172503681980743e-08
1809,0.0
1810,2.3401266702194334e-08
1811,0.0
1812,0.0
1813,8.627225156487839e-09
1814,1.2586708564299443e-08
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,8.306536791735653e-09
1821,0.0
1822,5.012807946513931e-09
1823,5.929612134636386e-09
1824,3.3684450784221553e-09
1825,8.805443041381977e-09
1826,3.5231936257318353e-09
1827,9.217273055917019e-10
1828,0.0
1829,7.715858396650788e-09
1830,1.0436835840010872e-09
1831,0.0
1832,1.623596324051846e-08
1833,5.791814139399776e-09
1834,1.120143711119681e-08
1835,4.5378527602224494e-09
1836,4.0324500405475305e-09
1837,2.087367279024477e-09
1838,1.2624323808552163e-09
1839,6.292327547896548e-09
1840,1.0191501864653674e-08
1841,2.5682194149112547e-09
1842,6.708265054555795e-10
1843,2.3627644285539873e-09
1844,1.3172547497219966e-08
1845,2.2320912340667576e-09
1846,1.7563503984519002e-09
1847,1.6179670936367074e-09
1848,4.022610855525244e-09
1849,1.005529792763582e-08
1850,1.3577992064028876e-09
1851,3.8696632564949596e-09
1852,6.510545436100301e-10
1853,3.5831591027601917e-09
1854,3.117398783558656e-09
1855,1.2205955357558196e-08
1856,1.5531567143511893e-09
1857,1.2691923290120144e-08
1858,5.383043677475996e-09
1859,2.5460866748261424e-09
1860,1.373155189554609e-08
1861,4.715963619617014e-09
1862,7.22877824266277e-09
1863,7.991393324857654e-09
1864,1.5343129433631475e-08
1865,1.364984902885169e-08
1866,7.298419479884188e-09
1867,0.0
1868,3.457911734727759e-09
1869,8.790334460329063e-09
1870,6.307453670473251e-09
1871,0.0
1872,1.8142017887967654e-09
1873,3.5916026819293734e-09
1874,5.974609140757536e-10
1875,4.005069165202713e-09
1876,1.209202959984168e-09
1877,4.9478527941460015e-09
1878,1.8117265465633636e-09
1879,0.0
1880,1.2835692508872398e-09
1881,0.0
1882,7.320923423037584e-09
1883,1.8958017378167824e-09
1884,3.9610181801208455e-09
1885,7.7347630522695e-09
1886,1.6779005962419546e-08
1887,8.48760173255414e-09
1888,1.141310623786751e-08
1889,2.5060546970934183e-09
1890,6.554386478008212e-10
1891,3.1871099093194744e-09
1892,5.014809900671935e-09
1893,1.1700991287000306e-08
1894,4.4110775032635274e-09
1895,1.2037228991346183e-09
1896,4.1279202278587945e-09
1897,4.661370844871726e-09
1898,5.6583548957434e-10
1899,4.4220627160029835e-09
1900,8.8247900098537e-09
1901,3.912117296778206e-09
1902,9.820567692386817e-10
1903,1.0800440541913758e-09
1904,6.987012746151322e-09
1905,7.741138841055317e-09
1906,1.8004646384905953e-08
1907,1.0285686968813934e-08
1908,1.964555629285769e-09
1909,1.3752459060434319e-08
1910,4.809735720812114e-09
1911,1.0108710979395141e-08
1912,9.897899999611326e-09
1913,3.181793939432964e-09
1914,2.678697486047099e-09
1915,1.5314990609027745e-08
1916,6.592477230782379e-09
1917,5.483212106582869e-09
1918,8.040463406189247e-09
1919,1.8415696745321952e-09
1920,2.2716695191604686e-09
1921,2.0446418114161702e-08
1922,7.377935484775833e-09
1923,7.431163684401554e-09
1924,5.156649773851996e-09
1925,2.1996355847875293e-09
1926,2.229227691330493e-09
1927,6.689534814974252e-09
1928,4.570416489713125e-09
1929,2.2280812750352652e-09
1930,4.201441416995522e-09
1931,1.1405356659111021e-09
1932,5.4797681947604815e-09
1933,5.735331098932761e-09
1934,0.0
1935,5.98414207075848e-09
1936,8.487300195980652e-09
1937,8.813782592653752e-09
1938,5.186085783037697e-09
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,0.0
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,3.5762612871081956e-09
1948,1.0871887834440486e-09
1949,1.9634016634739737e-09
1950,1.701657836861159e-08
1951,0.0
1952,6.326882129314981e-09
1953,4.3095309543161875e-09
1954,9.772535891627854e-09
1955,3.754243138587299e-09
1956,3.488456634670456e-09
1957,6.184526335495377e-09
1958,8.272243612328367e-09
1959,3.8753737996444215e-09
1960,4.152499955001332e-09
1961,4.863711378089164e-09
1962,5.7077609305622445e-09
1963,8.40586911188268e-09
1964,6.6923653285755336e-09
1965,4.924839203113152e-09
1966,6.092982340888398e-09
1967,3.4512349644799656e-09
1968,1.122853943158475e-08
1969,7.266812429573832e-09
1970,2.7592349793881255e-09
1971,9.762954999992246e-09
1972,4.104117490300041e-09
1973,7.718485517393958e-09
1974,3.3753429495853027e-09
1975,4.569184142155791e-09
1976,1.142705374768127e-09
1977,5.876781838942691e-10
1978,5.346532105932056e-09
1979,7.607565244427406e-09
1980,2.8425752862659692e-09
1981,2.5302198114474095e-09
1982,3.1037510339615437e-09
1983,9.47297440490047e-09
1984,9.85831472011256e-09
1985,1.2031116103372597e-09
1986,2.3977941854269602e-09
1987,1.8332450557601021e-09
1988,1.798966087207532e-09
1989,2.744061089465788e-09
1990,2.1794604454505873e-09
1991,3.516879065745826e-09
