year,un_DET annuel_ADJ,un_DET manuel_ADJ
1800,2.829747991484055e-08,0.0
1801,3.333655484993869e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,1.7057265822018053e-08,2.2743021688143017e-08
1806,2.881669125542885e-09,0.0
1807,0.0,1.1387820464392462e-08
1808,4.078933102391602e-08,0.0
1809,1.129515236897305e-08,2.259030518203531e-09
1810,9.360507036149102e-09,0.0
1811,3.5099073869560016e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,2.3732962262101864e-09
1821,2.465372084259343e-08,0.0
1822,1.804610860745015e-08,1.0025615893027862e-09
1823,3.9530747564242574e-09,0.0
1824,1.431589158329416e-08,0.0
1825,1.4088708866211164e-08,1.7610886082763955e-09
1826,5.284790383086602e-09,0.0
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,5.503380862137419e-09,0.0
1829,2.3147574523818548e-08,9.430493719264632e-09
1830,1.6698937344017395e-08,0.0
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,4.058990921151917e-09,0.0
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,9.334530925997342e-10
1835,2.2689263801112247e-08,3.025235173481633e-09
1836,4.704525213838906e-09,0.0
1837,1.7394727436226276e-08,0.0
1838,6.312161904276081e-09,4.418513555037862e-09
1839,1.11863602825224e-08,4.194885327990505e-09
1840,8.917564464638872e-09,6.369688665408546e-10
1841,6.420548537278137e-09,6.420548537278137e-10
1842,1.475818312002275e-08,0.0
1843,3.5441467538532834e-09,1.1813822142769936e-09
1844,1.701453911095996e-08,6.586273748609983e-09
1845,1.1718478631905782e-08,0.0
1846,1.4636253764521712e-08,5.854501328173001e-10
1847,2.8044762956369595e-08,5.393223645455691e-10
1848,1.045878850192139e-08,0.0
1849,1.6758828991214614e-08,0.0
1850,1.2899092460827433e-08,2.0366988096043315e-09
1851,4.514607354622058e-09,6.449438760824933e-10
1852,7.812654523320361e-09,3.2552727180501506e-09
1853,3.1054046445433414e-08,2.9859659189668264e-09
1854,9.352196350675968e-09,3.63696517347023e-09
1855,1.9104973603134567e-08,5.837630823180007e-09
1856,2.0708757375587084e-08,1.501384794266869e-08
1857,8.298565390418844e-09,8.298565390418844e-09
1858,1.2234189661342043e-08,1.468102750479261e-09
1859,1.1202780925145817e-08,1.018434669930457e-09
1860,3.982150076353719e-08,0.0
1861,1.1789909493131745e-08,2.357981809808507e-09
1862,1.0843167308483004e-08,0.0
1863,2.0477944673302773e-08,0.0
1864,2.445311331200628e-08,4.794727948009836e-10
1865,1.553258677233771e-08,0.0
1866,1.3623715933164249e-08,1.4596839292835284e-09
1867,1.6014277903764196e-08,0.0
1868,2.0253483778986947e-08,1.975949626142892e-09
1869,9.278686263769487e-09,4.883519144627257e-10
1870,8.601073631098188e-09,1.7202146374017957e-09
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,1.0885210954825197e-08,6.047339295989218e-10
1873,2.21482157058972e-08,1.7958012854535355e-09
1874,1.6131444624534197e-08,3.5847653734322193e-09
1875,1.0870901512305409e-08,1.1443054281912168e-09
1876,9.673623679873344e-09,0.0
1877,2.4120781816350245e-08,1.8554447978047506e-09
1878,1.509772218355465e-08,2.4156354694326865e-09
1879,1.649517855639715e-08,3.665595160740054e-09
1880,2.5029599726167362e-08,3.2089231272180996e-09
1881,2.091752193678076e-08,2.091752326904839e-09
1882,1.9300616216355593e-08,2.6621540527571597e-09
1883,3.159669503816076e-08,6.319338941018771e-10
1884,2.3105939384038265e-08,6.601696966868076e-10
1885,2.1915161296792718e-08,8.379326565943757e-09
1886,1.4197620856748472e-08,3.872078213618124e-09
1887,3.1338837969130395e-08,6.528924623161458e-10
1888,1.9655905347804037e-08,4.4384300679212174e-09
1889,1.4409814674820609e-08,3.759081934617825e-09
1890,2.8839300725280737e-08,1.9663159989136147e-09
1891,1.6572972327821844e-08,6.374220040683554e-10
1892,1.191017329205124e-08,1.8805537127519756e-09
1893,2.0322774574310642e-08,1.2316833108982905e-09
1894,3.0877544077156927e-08,6.301539290376468e-10
1895,2.5880042997528108e-08,6.018614495673091e-10
1896,1.2383760683576384e-08,1.7691086373616827e-09
1897,2.9716238358901137e-08,3.4960281336537946e-09
1898,2.319925584970406e-08,1.6975064687230201e-09
1899,1.4371703827009696e-08,1.1055156790007459e-09
1900,3.0627212765921286e-08,5.191053142894475e-10
1901,1.620734302321125e-08,7.824234593556412e-09
1902,8.838511256215043e-09,1.4730852093691738e-09
1903,1.8900770726304472e-08,4.320176216765503e-09
1904,1.289910045443321e-08,2.6873125946735854e-09
1905,9.805441791854719e-09,7.741138396966107e-09
1906,7.201858387428928e-09,3.600929110447737e-09
1907,1.9542804707839423e-08,8.228549397415463e-09
1908,9.822778146428846e-09,4.911389073214423e-09
1909,2.915521307711444e-08,3.850688656825696e-09
1910,7.481810726517324e-09,3.740905363258662e-09
1911,2.0217422402879492e-08,1.0640748282497725e-09
1912,1.4586379215586476e-08,1.1460726589973547e-08
1913,7.954484182448596e-09,1.060597942803554e-09
1914,1.2723813114234872e-08,6.696743604095445e-09
1915,2.945190558101274e-08,5.890381071793627e-09
