year,certain_ADJ auteur_NOUN,certain_ADJ moteur_NOUN
1800,8.803660600520402e-08,0.0
1801,7.619784314627509e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,5.851017759184174e-08,0.0
1804,6.179627298763535e-08,0.0
1805,3.411453231016992e-08,0.0
1806,6.627838988748636e-08,0.0
1807,3.4163460504998966e-08,0.0
1808,5.4385775882792586e-08,0.0
1809,4.743964243658638e-08,0.0
1810,7.722418082778404e-08,0.0
1811,4.262030373070047e-08,0.0
1812,9.068507900167333e-08,0.0
1813,6.039057254270119e-08,0.0
1814,1.0384034876409487e-07,0.0
1815,2.966945977789237e-08,0.0
1816,2.5493642752394408e-08,2.3176038865813098e-09
1817,5.137682113076636e-08,0.0
1818,8.225612102563673e-08,0.0
1819,5.072014630513877e-08,0.0
1820,7.35721839006942e-08,0.0
1821,6.114122974576475e-08,0.0
1822,8.72228582693424e-08,0.0
1823,9.289725400041249e-08,0.0
1824,5.136878566958103e-08,0.0
1825,4.8429936283511665e-08,0.0
1826,5.19671061738336e-08,0.0
1827,4.885154591960372e-08,0.0
1828,3.7606434688530754e-08,0.0
1829,2.6576845446601993e-08,3.429270423183084e-09
1830,1.1271782374144834e-07,0.0
1831,1.5591206325993312e-08,0.0
1832,5.0060886991332154e-08,0.0
1833,6.370995819793279e-08,0.0
1834,4.2005388500854224e-08,0.0
1835,6.050470346963266e-08,0.0
1836,3.494789985181157e-08,0.0
1837,3.89641890974346e-08,0.0
1838,5.5547023425361886e-08,3.787297142565649e-09
1839,3.8453112694014635e-08,6.9914749545318955e-09
1840,4.522478791457729e-08,0.0
1841,3.467096121312352e-08,0.0
1842,3.354132482868977e-08,6.708265054555795e-10
1843,4.902736266965135e-08,0.0
1844,2.7991662432391706e-08,3.841992946007622e-09
1845,6.082448644750826e-08,0.0
1846,9.250112142922262e-08,5.269050973311096e-09
1847,4.368511064001268e-08,0.0
1848,5.309846429213394e-08,2.413566457803995e-09
1849,1.256912263158938e-08,0.0
1850,2.0366988096043315e-08,0.0
1851,1.9348315616340983e-08,1.2898877521649865e-09
1852,4.5573818718835923e-08,0.0
1853,4.658106700361486e-08,2.9859659189668264e-09
1854,2.286092426473374e-08,0.0
1855,3.502578493908004e-08,0.0
1856,3.313401020221818e-08,0.0
1857,2.8312753475034924e-08,0.0
1858,4.600055358849886e-08,4.893676019968041e-10
1859,3.004382320703769e-08,0.0
1860,2.334363846667742e-08,0.0
1861,3.772770895693611e-08,4.715963730639317e-10
