year,en_ADP aire_NOUN,en_ADP mère_NOUN
1800,4.7162466820793725e-08,1.1004575384276905e-07
1801,1.619204113012529e-07,1.0239085179719609e-07
1802,3.3567602031325805e-08,7.608656460433849e-08
1803,2.9255089017965474e-08,1.3652374342143503e-07
1804,1.730295728918918e-08,1.8291696335381857e-07
1805,3.695740935505398e-08,1.1655798415333152e-07
1806,4.8988376022407465e-08,1.9019016406218725e-07
1807,1.1387820464392462e-08,3.9857372513552036e-08
1808,4.5321479014148736e-08,4.305540457494317e-08
1809,7.00299480627109e-08,5.421673421324158e-08
1810,5.3822916346035754e-08,1.5678848797051614e-07
1811,5.0141535368197765e-09,9.27618373225414e-08
1812,3.200649700829672e-08,8.268345474959915e-08
1813,2.0130190847567064e-08,1.1215392459185125e-07
1814,4.090680150170556e-08,1.038403456554704e-07
1815,8.091670444798638e-09,5.3944472000466703e-08
1816,7.184571870766376e-08,4.1716871734820415e-08
1817,1.2454987263765815e-08,9.808302525726731e-08
1818,7.152706427149269e-09,8.702459197706958e-08
1819,2.484252026313527e-08,1.0247539816710116e-07
1820,1.7799721696576398e-08,9.493184816022904e-08
1821,3.7473656067099625e-08,1.0453177323732632e-07
1822,3.0076847679083585e-08,1.1729970594842598e-07
1823,3.2612866407433216e-08,8.795591421861815e-08
1824,1.431589158329416e-08,1.2800091919729084e-07
1825,1.3208164117983756e-08,6.339918856568261e-08
1826,2.466235649034587e-08,5.2847904608022134e-08
1827,2.027800155568471e-08,4.4242910390845935e-08
1828,2.384798225563145e-08,9.630916020242353e-08
1829,4.800978425922864e-08,1.0545006229323306e-07
1830,1.6698937788106605e-08,7.931995327226105e-08
1831,1.4032085493553836e-08,4.2096256702706114e-08
1832,9.470978445946798e-09,1.0959275442701255e-07
1833,1.2741991461950875e-08,1.0425265295488373e-07
1834,2.1469421573883096e-08,6.627516913049192e-08
1835,2.571449897459388e-08,8.24376584773745e-08
1836,2.9571301130015826e-08,6.653542783396915e-08
1837,1.8786305289175687e-08,7.305785487687899e-08
1838,3.8504186727905676e-08,5.807188929729534e-08
1839,2.6567605448946097e-08,9.019003055499297e-08
1840,5.860113566624747e-08,7.898413795226489e-08
1841,4.173356549230789e-08,7.38363050700741e-08
1842,3.287049921141261e-08,7.312008953874738e-08
1843,3.0125246297529884e-08,6.320394707604038e-08
1844,5.488561261035585e-08,6.586273526565378e-08
1845,2.7343117381395388e-08,8.258737499433622e-08
1846,1.3465352832753297e-08,1.0128287364352673e-07
1847,2.480882788091776e-08,5.501088029546963e-08
1848,2.0113054055581614e-08,5.953464110586282e-08
1849,2.3462362719328667e-08,6.200767033170962e-08
1850,2.1724787302446202e-08,7.807345525634446e-08
1851,2.1283148576856092e-08,8.835731168943539e-08
1852,1.9531636752390114e-08,8.528814410269092e-08
1853,2.26933418723263e-08,7.703792315183478e-08
1854,2.1821789930598356e-08,1.0599155508828062e-07
1855,1.1144567935161831e-08,1.294892655323565e-07
1856,2.0191037064520856e-08,9.940203593572505e-08
1857,1.2691923956253959e-08,1.015353927602547e-07
1858,4.502181916166137e-08,1.101077073961676e-07
1859,2.6479301196147276e-08,1.2272137794866467e-07
1860,1.373155189554609e-08,1.1671819111214177e-07
1861,1.3204698334767784e-08,9.47908747050974e-08
