year,bon_ADJ air_NOUN,bon_ADJ maire_NOUN
1800,7.105811619112501e-07,9.432493897065797e-09
1801,7.524536727032682e-07,4.7623651688866175e-09
1802,6.713520406265161e-07,0.0
1803,7.196751994342776e-07,1.950339223455444e-09
1804,1.3199684190112748e-06,0.0
1805,6.680762680844055e-07,5.685755422035754e-09
1806,1.550337970002147e-06,2.881669125542885e-08
1807,5.181458391234628e-07,8.540865792383556e-09
1808,4.849398576034503e-07,2.2660739951163578e-09
1809,4.6084223637166133e-07,2.259030518203531e-09
1810,1.0881589105338207e-06,4.680253518074551e-09
1811,1.2911444855490117e-06,0.0
1812,7.841592264412611e-07,1.0668832928217853e-08
1813,9.144858381660015e-07,2.8757416004054903e-08
1814,3.776012533762696e-07,3.1466772298927026e-08
1815,3.3985017466875433e-07,0.0
1816,4.102158772667508e-07,2.7811246638975717e-08
1817,8.593941061008081e-07,1.2454987263765815e-08
1818,9.274676244785951e-07,3.337929666002992e-08
1819,5.527460871235235e-07,6.210629899250364e-09
1820,8.28280406039994e-07,1.8986368921503072e-08
1821,7.632792176082148e-07,1.1833785507064931e-08
1822,6.977828377330297e-07,1.5038423839541792e-08
1823,7.372484560619341e-07,1.9765373338032077e-08
1824,9.810596566239838e-07,5.052667617633233e-09
1825,1.3498744237949722e-06,1.8491431275080572e-08
1826,5.460950092128769e-07,1.7615968683770689e-09
1827,5.03263095197326e-07,3.6869092223668076e-09
1828,5.971168093310553e-07,2.7516904310687096e-09
1829,6.198406481416896e-07,1.3717081692732336e-08
1830,4.98880751820252e-07,1.5655253093882493e-08
1831,3.3365179774591525e-07,3.4300653872776365e-08
1832,6.19672618995537e-07,4.19429042608499e-08
1833,6.278326623032626e-07,2.4325620628928846e-08
1834,4.667265329771908e-07,5.60071877764301e-09
1835,6.723585102008656e-07,9.075705520444899e-09
1836,5.322834226717532e-07,1.8818100855355624e-08
1837,4.007745246781269e-07,5.5663127440652715e-09
1838,6.059675570213585e-07,1.3255539776935166e-08
1839,4.1459446720182314e-07,2.6567605226901492e-08
1840,3.59887414425053e-07,8.280594876453051e-09
1841,4.0898894715368783e-07,8.346713098461578e-09
1842,4.0786251842561683e-07,8.720745015011744e-09
1843,5.180360744816426e-07,1.0041748765843295e-08
1844,4.2975435121661576e-07,4.390849017710252e-09
1845,4.213072202219337e-07,8.928364714222425e-09
1846,4.589929005760496e-07,1.4636253542477107e-08
1847,3.386944342764764e-07,1.294373674909366e-08
1848,5.52706711898221e-07,1.045878850192139e-08
1849,3.988601520177326e-07,2.9327951622803994e-08
1850,3.604956759772904e-07,2.7155984128057753e-09
1851,4.108292444016115e-07,1.9348316282474798e-09
1852,4.6420188937190687e-07,4.557382027314816e-09
1853,4.7357420385196747e-07,9.555090940693844e-09
1854,4.769619863509433e-07,5.195664454227256e-10
1855,5.577591082328581e-07,5.306937111981824e-09
1856,5.161657554708654e-07,1.1907535402144731e-08
1857,6.756008749109199e-07,5.857811125054013e-09
1858,6.890296075368063e-07,2.0064071182268606e-08
1859,6.385585606949462e-07,7.638260246523032e-09
1860,5.373613741477268e-07,1.0985241244432231e-08
1861,6.045865461601352e-07,1.9807046891529012e-08
1862,9.026936283462739e-07,1.8523744538256892e-08
1863,6.822652170446197e-07,2.2975255753454604e-08
1864,6.142046231616405e-07,1.6302074357099627e-08
1865,6.61311617022875e-07,2.0239431075541603e-08
1866,6.164731303215376e-07,5.352174259343201e-09
1867,5.604996999863943e-07,1.067618526917613e-08
1868,4.959633770340588e-07,7.903798504571569e-09
1869,6.04579668106453e-07,1.4650557544904075e-08
1870,4.799398993782233e-07,1.2614907340946502e-08
1871,5.098165161143697e-07,1.0621176826930423e-08
1872,5.249090690995217e-07,1.2094679036067646e-08
1873,5.315571735553526e-07,1.975381502816731e-08
1874,5.257655857349164e-07,1.4936523129449597e-08
1875,5.292412765811605e-07,7.437985338754061e-09
1876,5.719529816428093e-07,1.0882827083946722e-08
1877,5.077733866709622e-07,9.895705588292003e-09
1878,5.525766368918994e-07,1.3285995414946683e-08
1879,5.211254732184756e-07,1.7717043832021773e-08
1880,5.211290954321157e-07,3.8507077526617195e-09
1881,4.887727982350043e-07,1.1156012114099667e-08
1882,6.682006414848729e-07,2.6621540527571597e-09
1883,6.628986284340499e-07,2.0853818227806187e-08
1884,6.654510489312315e-07,7.922036360241691e-09
1885,6.084679926576797e-07,1.4824961924730928e-08
1886,6.492184638773324e-07,1.2261581472383654e-08
1887,5.347189247495443e-07,9.793386546164129e-09
1888,5.370500844037451e-07,1.2047167707862627e-08
1889,5.538381060432584e-07,7.51816386923565e-09
1890,5.590891873907822e-07,1.3764211992395303e-08
1891,5.284228450364026e-07,1.7210394887001712e-08
1892,5.090032213495022e-07,1.0656471260972467e-08
1893,4.4586934683232826e-07,9.853466487186324e-09
1894,4.864788576419699e-07,1.071261657159539e-08
1895,5.434809007276442e-07,1.2037228991346183e-08
1896,5.496031008078717e-07,1.6511680911435178e-08
1897,5.284829285301385e-07,1.1653427112179315e-08
1898,4.6964345301603316e-07,7.921697076085366e-09
1899,5.206978812566376e-07,8.844125432005967e-09
1900,5.222199430665597e-07,1.7130474816440255e-08
1901,4.549233381112572e-07,8.383108651699445e-09
1902,4.149189862800995e-07,6.874397495693074e-09
1903,4.2175719272563583e-07,4.320176216765503e-09
1904,4.713546424284232e-07,8.599400302955473e-09
1905,5.423957880612562e-07,1.496620127827697e-08
1906,4.989858966020222e-07,7.201858220895474e-09
1907,4.546273615346763e-07,1.2857108599995115e-08
1908,4.842629728329939e-07,1.5716445034286153e-08
1909,5.269942485730539e-07,6.0510818578052294e-09
1910,5.68617625651413e-07,9.619471330601925e-09
1911,4.7085311116745743e-07,5.852411444351446e-09
1912,4.553034012033663e-07,1.041884239993962e-08
1913,4.62951013302515e-07,1.3257474007488668e-08
1914,4.359580145774089e-07,1.2054138576189644e-08
1915,4.0761435027292237e-07,1.0602685840410686e-08
1916,3.4280881777704053e-07,1.648119329900055e-08
1917,3.267994564959409e-07,1.315970976634162e-08
1918,4.2729320171019936e-07,9.189101035644853e-09
1919,3.5818530363940226e-07,3.6831393490643904e-09
1920,3.248487536744449e-07,7.572231730534895e-09
1921,4.392193623248275e-07,5.300923255902035e-09
