year,un_DET être_NOUN,un_DET etre_NOUN,un_DET mètre_NOUN
1800,1.3356410534015595e-05,1.282819094949872e-06,3.97736791768466e-06
1801,1.1491586874967652e-05,7.310230805135376e-07,2.8598003538604644e-06
1802,1.1439839056492929e-05,7.183466834703722e-07,2.770446116073799e-06
1803,1.1091579452227052e-05,7.177248315670681e-07,2.7753327263013716e-06
1804,1.158309319748696e-05,7.934641703677414e-07,6.587482783260157e-06
1805,1.0436204377128888e-05,4.3780316172359335e-07,5.78525627403792e-06
1806,1.0420115785336748e-05,2.5992655690032507e-06,5.1380162169323285e-06
1807,7.9572396742833e-06,2.334503101053542e-06,4.86544611888462e-06
1808,9.148140776460423e-06,9.902743336454023e-07,4.2035670659856805e-06
1809,8.150581692234482e-06,4.292158006791169e-07,8.26579235990721e-06
1810,8.464238177907646e-06,6.15453334518179e-07,5.990724687876536e-06
1811,6.1623945555311366e-06,6.944602786163045e-07,7.097534526323557e-06
1812,8.724437847718036e-06,4.3208774780367776e-07,7.820254282364658e-06
1813,8.653106903011576e-06,2.5881674026173584e-07,7.747247707357019e-06
1814,7.426158006751393e-06,2.832009409203806e-07,4.823855972446722e-06
1815,9.451071065313954e-06,2.993918286620101e-07,3.897488037196695e-06
1816,1.381060123151201e-05,5.492721122379862e-07,3.494946751558814e-06
1817,1.26028898819186e-05,7.815504485808589e-07,4.8636723732897735e-06
1818,1.2027275516857117e-05,6.723544134779047e-07,3.5382053855670392e-06
1819,1.2462664045642668e-05,6.09676858331909e-07,5.439476689517164e-06
1820,1.3935995099245702e-05,6.301101720396218e-07,2.2178453811250165e-06
1821,1.3456000374389987e-05,4.6447609003408274e-07,3.3548782343295613e-06
1822,1.0969026391194348e-05,3.9500926618529775e-07,4.117520447266543e-06
1823,7.963469144556257e-06,3.874013163596146e-07,4.005453173583362e-06
1824,9.86449128959066e-06,4.067397352258695e-07,3.6033941945845527e-06
1825,9.928137060910558e-06,3.486955391096558e-07,2.5482951908628593e-06
