year,en_ADP arrêt_NOUN,en_ADP marais_NOUN
1800,5.156429665476026e-07,2.421006684016902e-07
1801,4.1194459754478885e-07,3.238408412542526e-07
1802,3.535787413966318e-07,1.0741632650024258e-07
1803,4.817337639906327e-07,2.5744477127886967e-07
1804,3.21340621667332e-07,2.447132352312309e-07
1805,3.3830244206001225e-07,9.381496113292087e-08
1806,1.7578182109900808e-07,1.4120178093435243e-07
1807,2.590729195617314e-07,2.0782772836014374e-07
1808,3.5124148212162254e-07,1.4729480968256325e-07
1809,3.95330346236733e-07,2.3268013649158092e-07
1810,4.890865170636971e-07,1.708292529656319e-07
1811,3.334412213007454e-07,1.1031137603367824e-07
1812,6.507988246085006e-07,1.040211228264809e-07
1813,4.3136125782439194e-07,1.2365688917270745e-07
1814,3.555745138328348e-07,2.0768068509369186e-07
1815,1.7531952778426785e-07,8.091670955501229e-08
1816,2.8274766350477876e-07,9.038654980031424e-08
1817,3.985595924405061e-07,9.341240314597599e-08
1818,2.741870730460505e-07,1.3470930793069158e-07
1819,3.6849738194177917e-07,1.387040668987538e-07
1820,4.058336458001577e-07,1.0679833195581523e-07
1821,3.954456815336016e-07,1.1044866710108181e-07
1822,6.687085942758131e-07,1.233150754842427e-07
1823,4.654745566767815e-07,1.4824029825888374e-07
1824,4.6400330688811664e-07,1.0863235555547135e-07
1825,9.941345524566714e-07,2.2189716153420136e-07
1826,4.157368493906688e-07,1.1890779005874208e-07
1827,3.3274355359935726e-07,1.2258972503786936e-07
1828,4.366015389223321e-07,1.3299836609803606e-07
1829,4.569502891627053e-07,1.6889157450350467e-07
1830,5.166234018361138e-07,1.669893663347466e-07
1831,2.8843732025052304e-07,1.9177183308016765e-07
1832,5.141388328411267e-07,1.2582871988797706e-07
1833,4.4828641421190696e-07,1.8417969072093143e-07
1834,4.900628596260503e-07,1.3348379468425264e-07
1835,6.912662229296984e-07,1.5353068505419287e-07
1836,5.443807822302915e-07,1.5995385549416596e-07
1837,5.308870640874375e-07,1.6698937777004375e-07
1838,4.797242922904843e-07,1.3508026119879446e-07
1839,6.662875762231124e-07,1.9715960286603718e-07
1840,1.1478178976176423e-06,1.1401742483485577e-07
1841,5.02728937590291e-07,1.5409316045378318e-07
1842,5.104989782012126e-07,1.0397810967788246e-07
1843,3.892654376613791e-07,1.1636614516419286e-07
1844,4.725651194803504e-07,1.8880651353470057e-07
1845,4.2856152049353113e-07,1.3950570121323835e-07
1846,4.3674580751940084e-07,1.270426821520232e-07
1847,4.115029526019498e-07,1.86066208662794e-07
1848,3.564033193015348e-07,1.7297226406753907e-07
1849,3.184177614912187e-07,1.5753300108833912e-07
1850,3.5302778655932343e-07,1.4528451064421688e-07
1851,3.3537082799739437e-07,1.289887814337476e-07
1852,5.384221140047885e-07,1.3672145215970488e-07
1853,4.275903222605848e-07,1.5168707534485293e-07
1854,3.423942871449981e-07,1.4651773821983127e-07
1855,3.6193310393173306e-07,1.5018631671637195e-07
1856,2.769796196844254e-07,1.1700447871687558e-07
1857,3.036298608094512e-07,1.2399033266774495e-07
