year,son_DET an_NOUN,son_DET man_NOUN
1800,1.1947824818392405e-07,1.8864986461863964e-08
1801,1.5715804924099075e-07,3.333655484993869e-08
1802,1.1860552717735118e-07,3.3567602031325805e-08
1803,1.4042442475492578e-07,3.120542824142092e-08
1804,9.887403673580764e-08,2.9662210465630778e-08
1805,1.7910129024301114e-07,2.842877755426798e-08
1806,1.0950343032334331e-07,5.4751714273493235e-08
1807,2.021338083579849e-07,4.555128185756985e-08
1808,1.4049658636494655e-07,7.70465127253317e-08
1809,9.713831272684104e-08,9.93973401364201e-08
1810,9.828532210320873e-08,3.510190182964834e-08
1811,1.3036799018095735e-07,4.512738183137799e-08
1812,1.0668832839400011e-07,2.9339290108509886e-08
1813,8.914798788062228e-08,5.176334849643638e-08
1814,1.2272040805783035e-07,1.5733385705374303e-08
1815,1.7262230644909948e-07,9.979726911524267e-08
1816,1.3442102897442965e-07,2.3176038865813098e-08
1817,1.1053801518556838e-07,6.694555632069665e-08
1818,1.7762553694566918e-07,4.291623878494022e-08
1819,1.7079232339511918e-07,3.933399084221634e-08
1820,1.0798497562802822e-07,3.559944161679596e-08
1821,1.400331290923873e-07,3.944595483584834e-08
1822,1.1128433641260926e-07,5.3135764233047666e-08
1823,1.462637607696493e-07,4.9413434788370125e-08
1824,1.3221146666353434e-07,3.789500802042767e-08
1825,1.5673689013340208e-07,4.49077601771819e-08
1826,1.1538459276927426e-07,2.6423953580767545e-08
1827,1.4747636600809244e-07,5.1616730445402936e-08
1828,1.2199160820403065e-07,5.228211574781483e-08
1829,8.74463982336593e-08,3.343538584887895e-08
1830,6.053364831615227e-08,4.2791027388133784e-08
1831,7.639690879912564e-08,4.5214498811674275e-08
1832,7.71208219507713e-08,5.006088543701992e-08
1833,1.1583628245492861e-07,2.6642345773986165e-08
1834,1.0641365477681575e-07,4.013848475814541e-08
1835,1.550433026409337e-07,5.7479468296151026e-08
1836,8.468145001883087e-08,3.427582589976552e-08
1837,9.393152344827627e-08,3.548524474261683e-08
1838,1.1677499323070606e-07,4.9234861076996594e-08
1839,1.1326189996996305e-07,3.49573757718602e-08
1840,9.427138925044432e-08,2.93005673057678e-08
1841,6.741575964142044e-08,4.365973094166975e-08
1842,7.714504635103481e-08,3.957876248961156e-08
1843,7.560846043697111e-08,2.5399717995533422e-08
1844,8.232841669508772e-08,3.512679080941439e-08
1845,7.812318997268974e-08,5.970843891534017e-08
1846,6.557041376531458e-08,2.4588906244460418e-08
1847,7.065122886729114e-08,4.260646591092154e-08
1848,6.75798647598036e-08,3.7812542708071106e-08
1849,6.703532084983976e-08,4.441089918039154e-08
1850,6.992665557703504e-08,4.20917745103111e-08
1851,6.384944617465749e-08,5.288539628445221e-08
1852,6.64075603395986e-08,7.487127207106425e-08
1853,1.361600512339578e-07,3.1054045557254994e-08
1854,8.78067258902604e-08,4.052618135519381e-08
1855,8.384960636931282e-08,4.351688431825096e-08
1856,6.885661679723043e-08,3.93466376702456e-08
1857,6.882927949813933e-08,3.9052071076906e-08
1858,7.780944633051234e-08,3.7681304521086645e-08
1859,7.027199155906771e-08,3.5645212559387573e-08
1860,6.316513795345813e-08,4.5771839818353754e-08
1861,5.4233584068086316e-08,4.291526956023972e-08
1862,4.9246050931595065e-08,3.9306481736112175e-08
1863,6.842630428938179e-08,3.9457504485973516e-08
1864,6.376988459511068e-08,3.7878350345188494e-08
1865,5.64821325821363e-08,4.236159789616778e-08
1866,5.936047775545461e-08,5.498142435778064e-08
1867,8.589476685472164e-08,3.833721073931429e-08
1868,1.0027944497004171e-07,3.013323102152299e-08
1869,5.71371735480497e-08,4.248661833461398e-08
1870,7.511604183108034e-08,5.44734621854559e-08
1871,7.22240054429335e-08,3.080141341982312e-08
1872,6.228759585891197e-08,4.2936107558233516e-08
1873,5.028243821314504e-08,4.130343034258743e-08
1874,6.03435516555173e-08,3.584765617681285e-08
1875,6.122034090783046e-08,3.146839949730307e-08
1876,6.227395332736307e-08,3.567148554317612e-08
1877,6.061119739442233e-08,3.896434108696667e-08
1878,6.52221585073498e-08,4.1669710681979666e-08
1879,5.254019630474005e-08,5.43729949953331e-08
1880,6.096953786283166e-08,4.1074216916570094e-08
1881,6.414706832380546e-08,5.2991057375439965e-08
1882,6.988154366283084e-08,5.856739004883593e-08
1883,6.192952090033899e-08,5.813791786879463e-08
1884,5.0172896060018957e-08,4.291103028464249e-08
1885,6.832373844467554e-08,4.640857664828246e-08
1886,4.0656823463436353e-08,6.195325441549215e-08
1887,5.8760320276185496e-08,5.1578506021776604e-08
1888,7.355113318396889e-08,5.833365590568462e-08
1889,3.696430755928404e-08,4.9494580878217675e-08
1890,4.653614438243636e-08,3.670456499849095e-08
1891,4.398211705947119e-08,4.0795008371397046e-08
1892,5.955086601616699e-08,5.3909207542446325e-08
1893,4.3108915770417866e-08,5.111485662512294e-08
1894,5.6713853835432815e-08,3.528861869384059e-08
1895,4.333402414680165e-08,3.7917270434562056e-08
1896,4.8945341502015793e-08,3.4202767673630063e-08
1897,3.7290966981018414e-08,4.020432486928627e-08
1898,2.4330925163518202e-08,3.67793068223321e-08
1899,4.2009595802028343e-08,3.758753308602536e-08
1900,3.062721309898819e-08,3.7375581518617196e-08
