year,on_PRON hérite_VERB,on_PRON mérite_VERB
1800,5.65949598296811e-08,1.0375742576229641e-07
1801,5.2386017301842e-08,1.5715804568827707e-07
1802,6.042168365638645e-08,1.2755688771903806e-07
1803,1.1702034896643454e-08,1.560271414291492e-07
1804,3.460591369019994e-08,2.051636229793985e-07
1805,2.55858996212055e-08,1.0234359471006371e-07
1806,5.4751712497136396e-08,1.2679343619481642e-07
1807,3.131650672116848e-08,1.3380688734798696e-07
1808,1.5862518409903714e-08,2.2887346862177083e-07
1809,4.969867006821005e-08,2.0331274441787173e-07
1810,6.552355102940055e-08,2.0125089861267043e-07
1811,7.270522672797597e-08,7.771937760026049e-08
1812,3.467370524035118e-08,1.1468995353425271e-07
1813,5.463909147351842e-08,5.7514834228555856e-08
1814,3.4613449440001887e-08,8.810695817373926e-08
1815,1.3486118000116676e-08,1.8071398244501324e-07
1816,5.0987287281145655e-08,9.965696889935316e-08
1817,2.4909974194464723e-08,1.5724421587037796e-07
1818,2.98029441125891e-08,1.5259106955767265e-07
1819,5.279035575345148e-08,1.645817011564077e-07
1820,4.6279275522920216e-08,1.8393045309039735e-07
1821,2.070912508145284e-08,1.9525747418924766e-07
1822,3.60922172149003e-08,1.6040985428844579e-07
1823,1.7788837070042973e-08,1.4824030003524058e-07
1824,2.6105449357771704e-08,1.0526390514797868e-07
1825,6.075755809575867e-08,1.1359021190315843e-07
1826,3.435113882233054e-08,1.338813646611925e-07
1827,9.217273166939322e-09,1.5208500059316066e-07
1828,3.0268594741755805e-08,1.238260640690214e-07
1829,2.4004892296147773e-08,1.2431105611554472e-07
1830,1.3567886592014133e-08,1.3254781805471794e-07
1831,2.3386808045700036e-08,9.666547473585752e-08
1832,1.352996914505411e-08,8.659180084080731e-08
1833,3.706761031452288e-08,7.297685744589444e-08
1834,2.8937045648547155e-08,9.894602470694736e-08
1835,5.218530674255817e-08,1.5579961853973145e-07
1836,1.68018754465038e-08,1.720512070590985e-07
1837,1.461157106419364e-08,1.3359150408120968e-07
1838,1.5149188570262595e-08,1.0225702151700489e-07
1839,2.4470162895973147e-08,8.249940641746889e-08
1840,2.0383004062374255e-08,8.025807662903617e-08
1841,2.7608358710295988e-08,1.0850726761546525e-07
1842,4.561620414733625e-08,1.1001554689471504e-07
1843,5.079943354857619e-08,1.2699858586984192e-07
1844,1.920996434146005e-08,9.93429587481387e-08
1845,3.292334549431786e-08,1.3392547426605006e-07
1846,2.86870562860031e-08,1.0713737186307526e-07
1847,1.995492660000764e-08,6.09434263054709e-08
1848,4.424871796748775e-08,6.999342971880651e-08
1849,4.9438549254432473e-08,7.792855671873156e-08
1850,3.4623878875095215e-08,6.992666268246239e-08
1851,2.7732586227458e-08,9.609663464971163e-08
1852,2.2135854926830234e-08,1.3737250803558254e-07
1853,3.1054046445433414e-08,9.853687821248514e-08
1854,2.338048954442229e-08,1.8756348652004817e-07
1855,2.600399184871094e-08,1.57085338514662e-07
1856,2.7439102545656624e-08,1.6929408275245805e-07
1857,1.5620829074691756e-08,8.005674967392906e-08
1858,2.985142422140541e-08,9.689478197572043e-08
1859,4.0228168352030025e-08,7.332729801134974e-08
1860,4.027921907123755e-08,7.643896893227975e-08
1861,4.4801653942272424e-08,1.334617731885146e-07
1862,2.078273753092219e-08,9.804030387527973e-08
1863,3.845858032036631e-08,1.0838327568762907e-07
1864,2.9727313943794798e-08,8.390774119959588e-08
1865,3.62427015065947e-08,1.030798895129692e-07
1866,5.838735361862746e-08,9.536601197623895e-08
1867,2.91168689159349e-08,7.813026670078216e-08
1868,3.210918064766588e-08,6.915823425046597e-08
1869,2.1487484236359933e-08,6.934597163166245e-08
1870,1.7202145929928747e-08,8.25703025952862e-08
1871,3.292564887402705e-08,6.691341369879922e-08
1872,2.660829245826335e-08,6.107812566824578e-08
1873,1.975381413998889e-08,4.728943459042512e-08
1874,3.823749672449139e-08,6.811054298339059e-08
1875,2.1741803024610817e-08,8.410644625200803e-08
1876,3.567148709748835e-08,9.673624012940252e-08
1877,1.979141139862861e-08,6.617752945636823e-08
1878,4.166971256935881e-08,9.420978619445464e-08
1879,2.932476039774201e-08,5.864952301593007e-08
1880,3.529815550962212e-08,5.326812502204348e-08
1881,1.6734018393194106e-08,6.484432368836224e-08
1882,2.3293847295491332e-08,8.18612342357028e-08
1883,5.1186645144696286e-08,8.404720530652554e-08
1884,5.809493508479591e-08,5.6114423330200225e-08
1885,2.320428871271929e-08,5.349877740812303e-08
1886,3.872078435662729e-08,4.259286101593318e-08
1887,3.721486918628614e-08,3.1991731930247624e-08
1888,3.6775564593583e-08,2.028996615166534e-08
1889,2.7566602334161416e-08,4.2602930960811136e-08
1890,3.539368675919974e-08,1.7696843102044113e-08
1891,3.6970476458009216e-08,3.6970475569830796e-08
1892,2.8835157372952835e-08,6.519252782055673e-08
1893,2.771287421765578e-08,4.803564856992182e-08
1894,2.457600389860204e-08,4.4740929627806736e-08
1895,3.55098237481144e-08,5.9584283951252814e-08
1896,4.422771837653272e-08,4.48174191092221e-08
1897,2.913356778044829e-08,4.661370978098489e-08
1898,1.810673611046809e-08,3.50818010197429e-08
1899,2.984892333302014e-08,4.698441813388854e-08
1900,2.2321529069557755e-08,4.360484773258122e-08
1901,2.123720777014171e-08,4.8622027737366125e-08
1902,1.8659078282468045e-08,3.535404236032491e-08
1903,3.780154167465355e-08,5.2922158211288206e-08
1904,2.8485513503540005e-08,3.815983973254333e-08
1905,2.373949170575429e-08,4.6446831825086576e-08
1906,2.726417824838734e-08,4.6812077769686766e-08
1907,2.417136418797483e-08,3.959989375301731e-08
1908,2.357466710734002e-08,6.188350409885857e-08
1909,2.640472107628966e-08,3.960708250261291e-08
1910,3.847788399014007e-08,3.580580787421184e-08
1911,2.8197983947819694e-08,4.362706640392844e-08
1912,2.240051122370801e-08,3.6986889107026855e-08
1913,2.0151360358156012e-08,4.9848103866878546e-08
1914,1.1384464315700171e-08,3.549274052438989e-08
1915,2.8273828611702356e-08,5.0657277483878715e-08
1916,5.493731025651982e-09,4.9443578120644815e-08
1917,2.4126133979507358e-08,6.68951898319392e-08
1918,3.445913066002504e-08,4.5945505178224266e-08
1919,2.3940406546074655e-08,4.880159565345821e-08
1920,1.2115570768855832e-08,3.256059510903242e-08
1921,3.2562813112591016e-08,5.3766507912555994e-08
1922,2.2133805899215986e-08,3.172512208493572e-08
1923,2.9724654737606215e-08,6.475728309141005e-08
1924,2.4494086647841584e-08,3.3518222752881854e-08
1925,1.6497267552040284e-08,5.719052609265418e-08
1926,2.7865346696742677e-08,5.684530535177146e-08
1927,3.1217830542829006e-08,4.7941666192485854e-08
1928,1.713906150335731e-08,4.341895509796245e-08
1929,1.2254446790649354e-08,4.3447585973410696e-08
1930,2.1007207084977608e-08,5.0417296337812445e-08
1931,1.7108034988666532e-08,3.307553342324354e-08
1932,1.0959536389520963e-08,2.191907289006423e-08
1933,1.9500125070237573e-08,5.276504477791377e-08
1934,1.3179738189705859e-08,2.6359476379411717e-08
1935,2.6330225111337313e-08,2.154291234290895e-08
1936,1.091224310911798e-08,3.273672799508631e-08
1937,1.2591118370153254e-08,2.8959572295761404e-08
1938,2.2040864244843306e-08,5.963998717106733e-08
1939,3.8235125288110794e-08,5.964679683501117e-08
1940,1.5214697057785997e-08,2.028626333583361e-08
1941,2.9515025978810172e-08,1.7709016475464523e-08
1942,4.8547388331598995e-08,4.8547389663866625e-08
1943,3.774205747930637e-08,4.645176376882887e-08
1944,7.069009200222354e-08,7.069009733129406e-08
1945,1.742803190651898e-08,4.7927088075994106e-08
1946,2.0881656404014848e-08,5.4292304874081765e-08
1947,2.6225915883415496e-08,4.4107222318956474e-08
1948,1.848220909650422e-08,5.3272249722624565e-08
1949,2.4542521348536184e-08,5.1048443694412526e-08
1950,2.4461331182834556e-08,5.424034199563721e-08
1951,1.8124383327489113e-08,4.797630936970165e-08
1952,3.374337342876288e-08,3.5852332214147964e-08
1953,3.5553631150264664e-08,4.201792791480585e-08
1954,2.5408594339637602e-08,5.863521845839159e-08
