year,aucun_DET arbre_NOUN,aucun_DET marbre_NOUN
1800,4.118855514434472e-07,0.0
1801,2.1192525601065881e-07,0.0
1802,2.9091921760482364e-07,1.3427040812530322e-08
1803,3.647134256823392e-07,9.751696339321825e-09
1804,4.251583529679692e-07,4.943701892301533e-09
1805,3.240880728228035e-07,1.1371510844071508e-08
1806,2.1324350996110297e-07,0.0
1807,3.9287981667968097e-07,5.693910232196231e-09
1808,4.3961834350625395e-07,1.1330369531492579e-08
1809,5.353902388094411e-07,9.036122072814123e-09
1810,2.9485596542144776e-07,0.0
1811,2.5572183304234386e-07,2.5070767684098882e-09
1812,4.0541566193041945e-07,0.0
1813,3.105801091862759e-07,2.300593315851529e-08
1814,2.1397405092216104e-07,2.2026739543434815e-08
1815,2.3735567733496055e-07,0.0
1816,2.248075752220302e-07,0.0
1817,1.8993854988824665e-07,6.227493631882908e-09
1818,2.6465012936682797e-07,3.5763530803478716e-08
1819,2.235826812579944e-07,4.140420006848444e-09
1820,3.180216960885218e-07,1.1866481131050932e-09
1821,3.1458148885832316e-07,2.1695274021737987e-08
1822,1.9349438673543773e-07,1.804610860745015e-08
1823,2.1840737574052582e-07,7.906149623870817e-09
1824,1.9115925553592206e-07,8.421112696055388e-10
1825,2.280609745497486e-07,7.044354433105582e-09
1826,3.0563706232555887e-07,1.5854371038237502e-08
1827,2.921875612571512e-07,9.217273055917019e-10
1828,2.091284674321514e-07,8.255071293206129e-09
1829,2.349050305383571e-07,3.0006115370184716e-08
1830,2.9536245804706596e-07,5.218417920005436e-09
1831,3.9601663459620795e-07,0.0
1832,2.3812745553186687e-07,4.058990810129615e-09
1833,4.2164407076938915e-07,0.0
1834,2.9310426796769207e-07,1.3068343074351674e-08
1835,1.9361504399739715e-07,7.563087933704082e-10
1836,2.0834324665486292e-07,1.1425274948351216e-08
1837,1.822967492515204e-07,5.5663127440652715e-09
1838,1.805278344590988e-07,3.1560809521380406e-09
1839,1.510158682549445e-07,1.25846553178377e-08
1840,1.5796828023439957e-07,0.0
1841,1.9775288784273926e-07,5.778493683550323e-09
1842,1.3416529753840223e-07,6.037438549100216e-09
1843,1.4708208606606377e-07,1.7720733214154905e-09
1844,1.1965063784202812e-07,3.293136763282689e-09
1845,1.2499710511093554e-07,3.3481367123222583e-09
1846,1.1123552745573306e-07,4.6836010625384006e-09
1847,1.315946578372973e-07,6.47186837454683e-09
1848,1.3435520429538883e-07,4.02261068899179e-09
1849,3.351765904824333e-07,2.513824481908955e-09
1850,1.5614690873633208e-07,4.752297222410107e-09
1851,1.6510563227711827e-07,9.029214709244116e-09
1852,1.5885730775266893e-07,0.0
1853,1.7856075729127951e-07,0.0
1854,1.314503101923492e-07,2.0782658372020535e-09
1855,1.507170139802838e-07,4.776243400783642e-09
1856,1.408195409169366e-07,1.2942972693608112e-08
1857,1.210614248847719e-07,7.322263684272912e-09
1858,1.213631648511182e-07,4.404308251437783e-09
1859,1.1151859791169727e-07,6.619825576592575e-09
1860,1.2541483940253784e-07,2.2885919548354394e-09
1861,1.2638782642682145e-07,1.4147891747029462e-09
1862,1.0391368654438793e-07,4.517986262886353e-10
1863,1.1687412815319931e-07,1.4983863039219614e-09
1864,1.1747083661362012e-07,2.397363974004918e-09
1865,1.2802616744522766e-07,1.506190172584354e-08
