year,un_DET arc_NOUN,un_DET mark_NOUN
1800,7.423372196058153e-06,2.2009152278457123e-08
1801,4.479004239499318e-06,0.0
1802,7.1857048453694006e-06,3.1329761895904085e-08
1803,5.1664484885804995e-06,1.950339223455444e-09
1804,7.773971375968358e-06,1.4831105232815389e-08
1805,6.459017967586078e-06,1.4214388555089386e-08
1806,6.59902246979982e-06,2.881669125542885e-09
1807,4.879681242186962e-06,5.693910232196231e-09
1808,7.398731611374387e-06,0.0
1809,5.717606470057035e-06,0.0
1810,7.902608423648871e-06,0.0
1811,6.89947538035085e-06,0.0
1812,5.606471702890303e-06,0.0
1813,5.662335126999096e-06,0.0
1814,7.898159879005107e-06,0.0
1815,4.695866277160121e-06,2.697223555614414e-09
1816,5.402334494419847e-06,2.3176038865813098e-09
1817,4.505591576275947e-06,1.556873407970727e-09
1818,3.725367847096095e-06,2.384235475716423e-09
1819,4.718008796089634e-06,0.0
1820,3.8174470233798274e-06,1.1866481131050932e-09
1821,4.211841645229697e-06,0.0
1822,4.146594690723759e-06,0.0
1823,3.6447350311163973e-06,9.882686891060644e-10
1824,3.6977105608571037e-06,0.0
1825,4.809533052707593e-06,0.0
1826,4.480621633717874e-06,0.0
1827,4.570845511864263e-06,0.0
1828,4.890670965096433e-06,0.0
1829,4.192283114434758e-06,1.714635211591542e-09
1830,5.5711830668769835e-06,1.0436835840010872e-09
1831,4.4356981447890576e-06,0.0
1832,5.160330530884494e-06,0.0
1833,5.213791098412912e-06,1.2741991461950875e-08
1834,5.141459745061638e-06,2.8003592777992026e-09
1835,4.8547461659609326e-06,7.563087933704082e-10
1836,4.349669495695707e-06,0.0
1837,4.743194352840874e-06,0.0
1838,4.582629458127485e-06,1.8936485712828244e-09
1839,4.47594253216721e-06,3.4957374772659477e-09
1840,4.535855232745689e-06,7.0066574764382494e-09
1841,4.644624816307896e-06,0.0
1842,4.706518957675598e-06,1.1404051036834062e-08
1843,4.5943954134486376e-06,5.31621990873532e-09
1844,4.422682629012797e-06,0.0
1845,5.38436208330495e-06,7.254296385816872e-09
1846,3.9371523570252975e-06,8.781752214304106e-09
1847,4.436465943058465e-06,5.393223645455691e-10
1848,4.932525634160356e-06,2.413566457803995e-09
1849,4.292774107739206e-06,0.0
1850,4.765875331713687e-06,0.0
1851,4.132155432046147e-06,3.8696632564949596e-09
1852,4.847100882443556e-06,0.0
1853,4.773962118065356e-06,1.7915795513800958e-09
1854,4.863661359877369e-06,2.5978321716024766e-09
1855,4.653122232411988e-06,4.776243400783642e-09
1856,4.5300405275838784e-06,4.6594703095870216e-09
1857,5.043575214358498e-06,3.4170564155999728e-09
1858,4.860399101858093e-06,0.0
1859,4.77238486951137e-06,5.092173349652285e-10
1860,4.7863613659160364e-06,0.0
1861,4.154292625457856e-06,0.0
1862,5.0524639618743095e-06,3.6143890103090826e-09
1863,3.9577375119392855e-06,5.9935452156878455e-09
1864,4.8043173848100196e-06,3.356309563606885e-09
1865,3.892089665669118e-06,0.0
1866,4.284658821518406e-06,0.0
1867,5.615673401848653e-06,0.0
1868,5.626022655746965e-06,5.433861360870651e-09
1869,4.585136096579845e-06,2.441759683335931e-09
1870,4.832082979078223e-06,0.0
1871,4.895300676821535e-06,0.0
1872,4.597187427179961e-06,1.0885210732780592e-08
1873,5.4430740803468325e-06,1.4366410616695191e-08
1874,5.025243730472084e-06,2.5093358835270863e-08
1875,5.341045707041303e-06,6.293679966073995e-09
1876,4.776956075147609e-06,1.1487427897804992e-08
1877,4.31638327569317e-06,1.1132669008873108e-08
1878,4.250310460918172e-06,1.509772123986508e-08
1879,4.169003346987665e-06,3.4823152361695975e-08
1880,4.031690792771769e-06,1.8611753915820373e-08
1881,4.309707051675105e-06,3.346803723047742e-08
1882,4.702695072467122e-06,4.6587696367339504e-08
1883,4.812808441556626e-06,4.549924170760278e-08
1884,5.006727050727022e-06,6.007544417485633e-08
1885,4.880635131598865e-06,6.96128674704255e-08
1886,5.152445623934909e-06,2.6459202329132125e-08
1887,5.129123067604269e-06,5.223139609711325e-08
1888,5.22403250613479e-06,1.7753721381907894e-08
