year,en_ADP or_NOUN,en_ADP morts_NOUN
1800,6.980045327509288e-06,1.7292904885835014e-07
1801,6.350614057737403e-06,5.2386017301842e-08
1802,7.655650733795483e-06,1.3427040812530322e-08
1803,5.9017265812144615e-06,3.90067853572873e-08
1804,7.0299442995747086e-06,3.9549615138412264e-08
1805,6.606847819057293e-06,2.5301611117356515e-07
1806,6.8151475716149434e-06,6.627838899930794e-08
1807,6.0241568462515716e-06,1.1672516109229036e-07
1808,6.4809714785951655e-06,9.517511045942229e-08
1809,7.76654724177206e-06,1.7620438086396462e-07
1810,5.911160315008601e-06,6.31834211617388e-08
1811,9.31880458665546e-06,2.757784400841956e-08
1812,6.8013810050615575e-06,6.401299401659344e-08
1813,6.634335932176327e-06,1.8692320225000003e-07
1814,5.903166311327368e-06,3.5872119497071253e-07
1815,1.0122679668711498e-05,1.537417375629957e-07
1816,5.3258536354405805e-06,3.7081662185300956e-08
1817,5.930131010245532e-06,1.370048607896024e-07
1818,5.1046481530647725e-06,1.3470931037318223e-07
1819,7.2146817728935275e-06,1.3042323132594902e-07
1820,6.727108029735973e-06,5.6959109429044474e-08
1821,6.427718290069606e-06,7.691961201317099e-08
1822,8.022498150239699e-06,1.4035862250239006e-08
1823,6.740980552422116e-06,6.324919610278812e-08
1824,6.967628451093333e-06,1.4315891405658476e-07
1825,7.2732959779386874e-06,2.201360693732113e-08
1826,8.379035534744617e-06,2.554315514657901e-08
1827,7.899203410488553e-06,6.728609491801762e-08
1828,6.4774790189403575e-06,5.228211819030548e-08
1829,6.618492079724092e-06,4.8009784592295546e-08
1830,8.751287168706767e-06,5.740259823028282e-08
1831,6.476586804637918e-06,1.5903030714525812e-07
1832,7.179001840995625e-06,1.0959275442701255e-07
1833,7.363712484220741e-06,2.20088942626262e-08
1834,6.873015081509948e-06,3.547121707470069e-08
1835,7.255270247696899e-06,6.579886502322552e-08
1836,6.864574061182793e-06,6.115882911217341e-08
1837,7.021207693469478e-06,4.800944708449606e-08
1838,7.056365575408563e-06,6.375283589932224e-08
1839,7.455709237547126e-06,5.942753844578874e-08
1840,7.969754733494483e-06,5.86011346115356e-08
1841,7.788125003571622e-06,4.687000298986277e-08
1842,7.114786058082245e-06,5.500777433553594e-08
1843,7.359420578723075e-06,4.016699506337318e-08
