year,ton_DET arc_NOUN
1800,8.489244152087849e-08
1801,3.5717739876872656e-08
1802,7.384872446891677e-08
1803,6.241085515057421e-08
1804,1.9033252840472414e-07
1805,6.538618890772341e-08
1806,7.492339904047185e-08
1807,3.131650672116848e-08
1808,9.290903335568146e-08
1809,5.1957701252547395e-08
1810,1.2870697219113936e-07
1811,4.011322829455821e-08
1812,5.067695729721322e-08
1813,8.339650747757332e-08
1814,9.440030979135372e-09
1815,2.6972236000233352e-08
1816,4.8669683394564345e-08
1817,7.784367150875937e-09
1818,5.0068943213688044e-08
1819,5.3825459644940565e-08
1820,6.05190555447166e-08
1821,4.339054981983281e-08
1822,7.318699601910339e-08
1823,5.929612356680991e-09
1824,1.0779024250950897e-07
1825,4.754939109119505e-08
1826,2.7304752237000685e-08
1827,3.779082058397165e-08
1828,6.879226077671774e-08
1829,2.3147575411996968e-08
1830,8.140732177253085e-08
1831,6.392394169552063e-08
1832,6.764985016616265e-08
1833,4.170106215894975e-08
1834,4.947301235347368e-08
1835,6.352993864311429e-08
1836,8.8041823775864e-08
1837,4.87052354003481e-08
1838,3.9135404694690124e-08
1839,4.1948849838213675e-08
1840,5.477932130126817e-08
1841,5.5216717864681186e-08
1842,8.586579092195734e-08
1843,6.261325868894829e-08
1844,3.512679308537159e-08
1845,3.069125442678455e-08
1846,3.9225158454669895e-08
1847,3.721324226546585e-08
1848,3.459445252484983e-08
1849,1.675882921325922e-08
1850,4.0055075700706766e-08
1851,2.7087642573420112e-08
1852,1.6276364034339963e-08
1853,1.6124216184465467e-08
1854,3.948705140643938e-08
1855,5.678422709820552e-08
1856,3.6240325740344304e-08
1857,5.174399575480493e-08
1858,4.6489920801917606e-08
1859,5.092173371856745e-08
1860,7.689669279109523e-08
1861,6.555189568935305e-08
1862,5.737842562192341e-08
1863,3.0467186995508655e-08
1864,4.938569642121138e-08
1865,3.2006542804996485e-08
1866,4.670988396071607e-08
1867,6.745407787889235e-08
1868,7.212216446284003e-08
1869,3.027781758646597e-08
1870,5.2753247992143315e-08
1871,1.805600113868877e-08
1872,5.5030788370658e-08
1873,1.496501056408306e-08
1874,2.9275584956245382e-08
1875,3.490131444960909e-08
1876,4.957732269161852e-08
1877,3.277952487223956e-08
1878,2.2344627925718896e-08
1879,1.9549841634436405e-08
1880,3.2089232604448625e-08
1881,2.7192779805673695e-08
1882,2.2628309892525067e-08
1883,2.401348808689363e-08
1884,2.508644758592027e-08
1885,1.9981470755769948e-08
1886,8.38950281467632e-09
1887,2.2851236569643163e-08
1888,2.1558090423923204e-08
1889,2.1927979154678923e-08
1890,1.5730528268864674e-08
1891,1.7210394887001712e-08
1892,2.9462007944403013e-08
1893,2.278614097406262e-08
1894,1.7014155417882648e-08
1895,1.5046536461227333e-08
1896,1.8870493112554954e-08
1897,1.4566783779201842e-08
1898,2.8291774589739305e-08
1899,1.8241008703512307e-08
1900,1.7130475704618675e-08
1901,1.5648469298135126e-08
1902,9.820567303808758e-09
1903,3.51014310950859e-08
1904,2.1498500757388683e-08
1905,2.270733984177653e-08
1906,1.4403716774857855e-08
1907,1.2857108266928208e-08
1908,1.5716445478375363e-08
1909,2.9705311987981986e-08
1910,9.0850561518252e-09
1911,3.883873089804979e-08
1912,3.229841050167437e-08
1913,1.6439267946921632e-08
1914,1.7411533825839598e-08
1915,4.712304768617059e-09
1916,1.098746182925936e-08
1917,1.973956464951243e-08
1918,2.067547821837934e-08
1919,2.301962176431971e-08
1920,2.6502810612782923e-08
1921,2.196096771100997e-08
1922,3.541409121510242e-08
1923,3.6094223165861195e-08
1924,5.672314840055037e-08
1925,3.739380427525418e-08
1926,3.343841403768977e-08
1927,3.7907363914513326e-08
1928,4.227635264086871e-08
1929,3.676334081603727e-08
1930,2.2057567772293396e-08
1931,2.8513391647777553e-08
1932,6.466126856174981e-08
1933,1.605892707701173e-08
1934,1.7972370258689807e-08
1935,4.4282652211791174e-08
1936,1.9399543305098632e-08
1937,8.813782592653752e-09
1938,5.704694316932546e-08
1939,4.129393449403551e-08
1940,1.0143131667916805e-08
1941,5.9030051069441924e-08
1942,3.3376331032286544e-08
1943,2.322588166236983e-08
1944,4.4984606262232774e-08
1945,4.574858536443571e-08
1946,4.037120149291695e-08
1947,3.69547006329185e-08
1948,2.8266908813634473e-08
1949,2.454252068240237e-08
1950,4.2541445033350556e-08
1951,2.1322804077961166e-08
1952,3.163441131270872e-08
1953,4.632745742583211e-08
1954,2.6385848173049453e-08
1955,3.0972504561077585e-08
1956,2.7907653077363648e-08
1957,2.5621609722747962e-08
1958,2.8952852393349104e-08
1959,3.2553141071645086e-08
1960,5.3982500247684584e-08
1961,3.057190056665604e-08
1962,3.0441391629665304e-08
1963,3.750310717531846e-08
1964,2.3727476761159494e-08
1965,2.7907422150974526e-08
1966,5.040558037627818e-08
1967,3.993571850990918e-08
1968,3.9524460038187215e-08
1969,2.952142652556944e-08
1970,2.3453497643988186e-08
1971,3.2885744127852945e-08
1972,3.33459553303328e-08
1973,2.701469825616698e-08
1974,2.0814615919739765e-08
1975,2.3988215858139483e-08
1976,2.9710338855792884e-08
1977,2.2331770932471073e-08
1978,2.495048323503113e-08
1979,2.6333880187578984e-08
1980,1.9329512213062117e-08
1981,2.150686839730298e-08
1982,2.8554509756695268e-08
1983,2.084054351314535e-08
1984,2.203623239438457e-08
1985,2.4663787123735403e-08
1986,2.4577391011249006e-08
1987,2.566543033655222e-08
1988,1.4391729530327524e-08
1989,2.57941739079115e-08
1990,3.378163487832708e-08
1991,2.9893472863751214e-08
1992,2.369276075331328e-08
1993,3.046564184261413e-08
1994,3.2177052078363744e-08
1995,4.0126134415174874e-08
