year,mon_DET an_NOUN,mon_DET man_NOUN
1800,1.8864986461863964e-08,0.0
1801,1.6668278313147766e-08,4.7623651688866175e-09
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,4.290746247193056e-08,1.950339223455444e-09
1804,7.4155528384522995e-09,7.4155526164076946e-09
1805,1.1371510844071508e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.562259604488304e-08,5.693910232196231e-09
1808,1.5862517521725295e-08,9.064295980465431e-09
1809,1.129515236897305e-08,0.0
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,1.7549537378869218e-08,0.0
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.4378708224072057e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,0.0
1815,3.236668266737297e-08,8.091670444798638e-09
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,4.670620334934483e-09,3.113746815941454e-09
1818,1.4305412632253933e-08,9.536942124910297e-09
1819,6.210630232317271e-09,1.035105001712111e-09
1820,2.254631414899677e-08,3.5599443393152796e-09
1821,2.7612166775270452e-08,8.875339574387908e-09
1822,7.017931125119503e-09,2.4061478143266868e-08
1823,5.929612023614084e-09,7.906149512848515e-09
1824,1.1789557774477544e-08,2.5263338088166165e-08
1825,1.8491430164857547e-08,6.163809906922779e-09
1826,1.0569581432307018e-08,2.906634755106552e-08
1827,3.6869092223668076e-09,1.9356273639470345e-08
1828,1.0089531266022078e-08,1.8344602503717056e-09
1829,1.5431717126368483e-08,7.715858174606183e-09
1830,1.8786305178153384e-08,8.349468672008697e-09
1831,7.795602829929749e-09,6.236482219534878e-09
1832,1.894195755802741e-08,1.2176972319366541e-08
1833,1.3900354645102198e-08,6.950177322551099e-09
1834,1.0267984462686286e-08,5.600718555598405e-09
1835,1.5126175867408165e-08,9.075705520444899e-09
1836,1.6129799718100912e-08,9.409049706032846e-09
1837,3.478945576063097e-09,7.653680356156656e-09
1838,3.1560809521380406e-09,1.1361890983607736e-08
1839,2.9364194964465185e-08,2.0974426639952526e-09
1840,9.554533331179726e-09,1.9109065441114126e-09
1841,2.0545755763379248e-08,3.852329122366882e-09
1842,1.0062398025922903e-08,8.720745015011744e-09
1843,2.953455535692484e-09,1.7720733325177207e-08
1844,4.939705144924034e-09,9.769639319756607e-08
1845,8.370341586516616e-09,5.580227835366713e-09
1846,1.0538102390711401e-08,8.196301637397596e-09
1847,4.853901280910122e-09,7.011190739092399e-09
