year,en_ADP air_NOUN,en_ADP mère_NOUN
1800,9.023752340908686e-07,1.1004575384276905e-07
1801,4.4528114284680953e-07,1.0239085179719609e-07
1802,2.506380951672327e-07,7.608656460433849e-08
1803,4.5442902552039754e-07,1.3652374342143503e-07
1804,3.8808059343864443e-07,1.8291696335381857e-07
1805,2.7575912708854844e-07,1.1655798415333152e-07
1806,3.7749865100522584e-07,1.9019016406218725e-07
1807,2.0498076924724273e-07,3.9857372513552036e-08
1808,2.062127402169267e-07,4.305540457494317e-08
1809,2.4397530085096264e-07,5.421673421324158e-08
1810,1.7550951270095538e-07,1.5678848797051614e-07
1811,2.0808736911348547e-07,9.27618373225414e-08
1812,1.3869483117545656e-07,8.268345474959915e-08
1813,2.0992913585260453e-07,1.1215392459185125e-07
1814,1.3530711839848664e-07,1.038403456554704e-07
1815,2.8320846801044297e-07,5.3944472000466703e-08
1816,1.7150268938337376e-07,4.1716871734820415e-08
1817,1.3077736582545185e-07,9.808302525726731e-08
1818,2.2888661255215936e-07,8.702459197706958e-08
1819,1.3870406800897683e-07,1.0247539816710116e-07
1820,1.8511710120350244e-07,9.493184816022904e-08
1821,8.776724769177235e-08,1.0453177323732632e-07
1822,1.0426640528748976e-07,1.1729970594842598e-07
1823,9.586206450862278e-08,8.795591421861815e-08
1824,1.4905369027928828e-07,1.2800091919729084e-07
1825,1.1270966804310945e-07,6.339918856568261e-08
1826,9.776862741617265e-08,5.2847904608022134e-08
1827,1.6222400611720644e-07,4.4242910390845935e-08
1828,1.4033620721054518e-07,9.630916020242353e-08
1829,1.3717081515096652e-07,1.0545006229323306e-07
1830,1.8786305133744463e-07,7.931995327226105e-08
1831,1.7306238930814288e-07,4.2096256702706114e-08
1832,1.1094574858816486e-07,1.0959275442701255e-07
1833,1.4247862734073635e-07,1.0425265295488373e-07
1834,1.474855890748472e-07,6.627516913049192e-08
1835,1.1722786297241328e-07,8.24376584773745e-08
1836,1.9624590608113834e-07,6.653542783396915e-08
1837,9.253994626146067e-08,7.305785487687899e-08
1838,1.7484688585867048e-07,5.807188929729534e-08
1839,1.3143973565110656e-07,9.019003055499297e-08
1840,1.1720227499623093e-07,7.898413795226489e-08
1841,1.4703056194775854e-07,7.38363050700741e-08
1842,1.1739464067517247e-07,7.312008953874738e-08
1843,1.9729083622355148e-07,6.320394707604038e-08
1844,1.5203314940315238e-07,6.586273526565378e-08
1845,1.9419193170167048e-07,8.258737499433622e-08
1846,1.0362467706137579e-07,1.0128287364352673e-07
1847,9.977463566457345e-08,5.501088029546963e-08
1848,7.562508130831702e-08,5.953464110586282e-08
1849,4.776266493422554e-08,6.200767033170962e-08
1850,1.0726613819400654e-07,7.807345525634446e-08
1851,9.28719168236114e-08,8.835731168943539e-08
1852,1.295598495154593e-07,8.528814410269092e-08
1853,1.8632426690423642e-07,7.703792315183478e-08
1854,1.5327209934579145e-07,1.0599155508828062e-07
1855,1.645150575768639e-07,1.294892655323565e-07
1856,1.0457922500206607e-07,9.940203593572505e-08
1857,1.649950125415245e-07,1.015353927602547e-07
1858,1.1793758891709416e-07,1.101077073961676e-07
1859,9.522363986214089e-08,1.2272137794866467e-07
1860,2.2016254042078742e-07,1.1671819111214177e-07
1861,1.787350306092783e-07,9.47908747050974e-08
1862,2.466820419877447e-07,9.849210225176819e-08
1863,1.4883970733681195e-07,8.840478704641441e-08
1864,9.829192038068868e-08,8.726404532310994e-08
1865,8.425251213362017e-08,8.943004581318803e-08
1866,1.7954111974916032e-07,5.936047853261073e-08
1867,1.465549051005155e-07,8.249779881452923e-08
1868,1.1262912769094413e-07,1.0818323925576578e-07
1869,1.3771524309813543e-07,7.911300992091697e-08
1870,1.2614906896857292e-07,1.055064990929111e-07
1871,1.115223595693493e-07,2.7615060016472626e-08
1872,1.5420715726577328e-07,7.680120739372853e-08
1873,7.302925214558442e-08,8.021245834211044e-08
1874,1.69081439682639e-07,1.081404228386873e-07
1875,1.0241533254795598e-07,8.296214087932796e-08
1876,1.6566080840441089e-07,6.408775821142854e-08
1877,1.0699732011509866e-07,1.1751150452710135e-07
1878,1.6547102504871347e-07,6.461824786363479e-08
1879,6.659164597522249e-08,9.897107089429369e-08
1880,1.1167052460514526e-07,5.840239936105718e-08
1881,1.1713813058422673e-07,9.13398505719698e-08
1882,1.0715170062347568e-07,7.65369270183669e-08
1883,1.131161653233903e-07,8.910267723649667e-08
1884,1.7296446674919252e-07,8.846274113238906e-08
1885,1.4180398011376383e-07,8.572695731068336e-08
1886,1.0906354014350583e-07,1.2390650716564977e-07
1887,8.161155939934162e-08,8.161155928831931e-08
1888,1.0715638998348709e-07,8.433017528730602e-08
1889,8.645888804892365e-08,7.455512873733028e-08
1890,1.7238036653655087e-07,8.192982969834617e-08
1891,2.42220368873447e-07,5.928024771062468e-08
1892,1.1847488301519604e-07,6.143142061709739e-08
1893,1.422594238520425e-07,7.698020765278812e-08
1894,1.9282710761459043e-07,7.372801213989533e-08
1895,1.0352017021375559e-07,6.861220702703008e-08
1896,7.194375445385148e-08,6.840553956610762e-08
1897,1.1070755412401212e-07,7.399926527096312e-08
1898,1.9181822974445595e-07,6.733442647899324e-08
1899,1.0060192678906787e-07,5.472302788689376e-08
1900,1.3496738171525635e-07,6.644548045109389e-08
1901,1.279821263411307e-07,7.433022419789381e-08
1902,2.533706344731712e-07,5.352209431208621e-08
1903,1.3608554705335507e-07,7.128290824276462e-08
1904,1.4135264425618743e-07,7.416982850116938e-08
1905,1.475977098319703e-07,9.39258126830822e-08
1906,2.052529679552606e-07,7.870602047876929e-08
1907,2.2062798410438234e-07,5.965698235410599e-08
1908,2.3329098763902323e-07,1.0166575226122632e-07
1909,3.15206349466024e-07,7.591357353842199e-08
1910,3.6340225884057276e-07,6.94739562545621e-08
1911,3.9902805815117404e-07,6.012022790713445e-08
1912,4.625965921434272e-07,9.897900454802766e-08
1913,5.09087001221431e-07,5.727228785668004e-08
1914,3.0202313938687553e-07,8.839701398644095e-08
1915,1.8377989163820274e-07,5.06572768177449e-08
1916,1.50528225217883e-07,6.812226649444142e-08
1917,1.381769423325352e-07,6.470190483387483e-08
1918,2.6303800471083605e-07,3.101321599530138e-08
1919,2.642652502382603e-07,6.261336787938276e-08
1920,2.854731246948461e-07,5.6791736646744084e-08
1921,2.6504616346123555e-07,5.982470507870374e-08
1922,2.751969887526684e-07,5.45967242526757e-08
1923,2.558443532585386e-07,6.263409613183057e-08
1924,2.2947091282699006e-07,5.285566095913907e-08
1925,3.277457034656095e-07,5.7190525870609576e-08
1926,2.920288224572687e-07,9.920063259727385e-08
1927,2.129501930347999e-07,9.253856481095113e-08
1928,2.31948637186008e-07,6.0558018155632e-08
1929,2.551153110985638e-07,6.015819353777374e-08
1930,2.468346705919444e-07,5.146765857944047e-08
1931,4.573547949249246e-07,5.7026782407376686e-08
1932,3.9563927378694075e-07,4.712600631950892e-08
1933,3.8082598163846626e-07,5.5059177217486877e-08
1934,3.774197683270586e-07,5.870974462141021e-08
1935,5.732808050495919e-07,6.223507842406661e-08
1936,4.692264652383926e-07,3.6374143252970725e-08
