year,un_DET être_NOUN,un_DET etre_NOUN
1800,1.3356410534015595e-05,1.282819094949872e-06
1801,1.1491586874967652e-05,7.310230805135376e-07
1802,1.1439839056492929e-05,7.183466834703722e-07
1803,1.1091579452227052e-05,7.177248315670681e-07
1804,1.158309319748696e-05,7.934641703677414e-07
1805,1.0436204377128888e-05,4.3780316172359335e-07
1806,1.0420115785336748e-05,2.5992655690032507e-06
1807,7.9572396742833e-06,2.334503101053542e-06
1808,9.148140776460423e-06,9.902743336454023e-07
1809,8.150581692234482e-06,4.292158006791169e-07
1810,8.464238177907646e-06,6.15453334518179e-07
1811,6.1623945555311366e-06,6.944602786163045e-07
1812,8.724437847718036e-06,4.3208774780367776e-07
1813,8.653106903011576e-06,2.5881674026173584e-07
1814,7.426158006751393e-06,2.832009409203806e-07
1815,9.451071065313954e-06,2.993918286620101e-07
1816,1.381060123151201e-05,5.492721122379862e-07
1817,1.26028898819186e-05,7.815504485808589e-07
1818,1.2027275516857117e-05,6.723544134779047e-07
1819,1.2462664045642668e-05,6.09676858331909e-07
1820,1.3935995099245702e-05,6.301101720396218e-07
1821,1.3456000374389987e-05,4.6447609003408274e-07
1822,1.0969026391194348e-05,3.9500926618529775e-07
1823,7.963469144556257e-06,3.874013163596146e-07
1824,9.86449128959066e-06,4.067397352258695e-07
1825,9.928137060910558e-06,3.486955391096558e-07
1826,1.0223427125310991e-05,2.8537868335121175e-07
1827,9.268889954228143e-06,2.461011880949826e-07
1828,1.0204185173279257e-05,3.1919607074160083e-07
1829,1.223563697294594e-05,3.009184683655519e-07
1830,1.2521071880655654e-05,3.9764344172965593e-07
1831,1.1796306978339999e-05,3.258562004671006e-07
1832,1.2286565123531545e-05,2.0024355029679697e-07
1833,1.2876361267899483e-05,2.1777221026475502e-07
1834,1.0897131005549454e-05,3.5471218740035226e-07
1835,1.1797660562251622e-05,3.615155961256278e-07
1836,1.1469632184457623e-05,1.6062592073096127e-07
1837,1.032550979118696e-05,1.7464306534265006e-07
1838,9.983946526403997e-06,2.354436379192748e-07
1839,1.0293548740492042e-05,1.9715959753696666e-07
1840,1.0842484485351633e-05,3.42052294932671e-07
1841,1.2671594618041127e-05,1.9133235040769137e-07
1842,1.3601006997987497e-05,2.77722177699502e-07
1843,1.6394040443401536e-05,9.049387852400059e-07
1844,1.1871209181890663e-05,1.83866798286747e-07
1845,1.304155107106908e-05,1.4396988579079562e-07
1846,1.2698413272005382e-05,2.6111076945056766e-07
1847,1.0789682804102085e-05,2.4431302758642914e-07
1848,1.11498731030224e-05,3.708847151617789e-07
1849,1.0738220673545129e-05,2.4551686284013385e-07
1850,1.2298266625521137e-05,2.315047673562276e-07
1851,1.1321344729253724e-05,2.624921542349057e-07
1852,1.1860260855200977e-05,3.222719893170023e-07
1853,1.3119737417355282e-05,2.7709764549577187e-07
1854,1.1154052131701064e-05,5.959427180624033e-07
1855,1.3922218755624272e-05,2.4199632520094383e-07
1856,1.2383836732965392e-05,4.162460149892411e-07
1857,1.2455170221414846e-05,2.4505175355571396e-07
1858,1.2716217469233015e-05,2.911737237987211e-07
1859,1.2633172929099601e-05,1.7466154389467192e-07
1860,1.2411949711577108e-05,1.519625049684059e-07
1861,1.3051901447624914e-05,1.457232740031955e-07
1862,1.1327043111464263e-05,1.341841926738585e-07
1863,1.323274798892271e-05,2.1077300438321345e-07
1864,1.640420248349983e-05,4.1857973975822915e-07
1865,1.22420311612359e-05,1.8827377090691044e-07
1866,1.3142020293344103e-05,2.661490232647168e-07
1867,1.073441903542971e-05,1.3830512557433394e-07
1868,1.219210292902062e-05,1.5807597042449828e-07
1869,1.4747250872915174e-05,3.0326654631984695e-07
1870,1.3123517774715765e-05,1.135341696212322e-07
1871,9.306275899234606e-06,9.559059743757814e-08
1872,1.2000945019963183e-05,9.312902793379152e-08
1873,1.0007401868961097e-05,1.2391029269309684e-07
1874,8.692458663972502e-06,1.057505846224771e-07
1875,1.1978589583350185e-05,1.8766609422016245e-07
1876,1.2495903206399817e-05,1.3663993825296927e-07
1877,9.70212113315938e-06,1.1503757679776072e-07
1878,1.0026094628301507e-05,8.515114924279032e-08
1879,1.1466593008435666e-05,8.614148683250278e-08
1880,1.0504089260621186e-05,1.232226471969966e-07
1881,9.069140773476647e-06,1.5409242198893836e-07
1882,9.362130512613476e-06,9.983077453590283e-08
1883,9.592124584401063e-06,1.0553296397874945e-07
1884,9.196163858860018e-06,1.0694748997508441e-07
1885,9.056762394266116e-06,6.76791734322002e-08
1886,9.059372715114478e-06,9.03484962400114e-08
1887,9.045171935895269e-06,8.422312497424755e-08
1888,9.489364259707145e-06,5.5163346779352196e-08
1889,9.142713771836952e-06,8.144678087518287e-08
1890,8.979509715345557e-06,1.2518878378386944e-07
1891,9.26365358111525e-06,1.0389978610803041e-07
1892,9.87729536916504e-06,7.835640247755293e-08
1893,9.870093819586145e-06,1.1700991298102537e-07
1894,9.408827935430963e-06,1.2288001394189507e-07
1895,9.795294978687252e-06,1.1615925998853527e-07
1896,1.095785886207068e-05,1.6393740981390792e-07
1897,9.380425836980066e-06,1.0954221607573089e-07
1898,1.004754089706239e-05,1.8163319515096532e-07
1899,9.987781439235732e-06,1.0612950340771476e-07
1900,9.693253360865128e-06,1.1316495807101035e-07
1901,1.0388348187007068e-05,1.3412973226545333e-07
1902,9.051617013255964e-06,1.0999035904291077e-07
1903,1.0256638390160333e-05,1.5390627705613724e-07
