year,bien_ADV uni_VERB,bien_ADV muni_VERB
1800,1.4463157071986643e-07,2.515331631869344e-08
1801,4.5718707042397e-07,7.381665767525192e-08
1802,1.1636768704192946e-07,4.0281122437590966e-08
1803,3.939685200293752e-07,4.6808139586573816e-08
1804,3.9302429399867833e-07,4.449331569844617e-08
1805,3.6388834701028827e-07,7.391481915419718e-08
1806,3.371552850239823e-07,5.187004603612877e-08
1807,2.932363827312656e-07,1.7081731584767113e-08
1808,1.7675377250725433e-07,3.6257183921861724e-08
1809,3.2755943379925156e-07,3.162642769893864e-08
1810,2.0827128821565566e-07,3.7442028144596406e-08
1811,1.42903374467096e-07,8.273353557797236e-08
1812,1.440292436427626e-07,8.801787032552966e-08
1813,1.4378707646756084e-07,1.121539270343419e-07
1814,1.7936059748535627e-07,7.237357557698942e-08
1815,1.2407228666688752e-07,6.473336622292436e-08
1816,2.2944279010062019e-07,8.111613603034584e-08
1817,2.5221348209925054e-07,6.694555487740672e-08
1818,1.3709353652302525e-07,5.722165008492652e-08
1819,1.521604389154163e-07,2.8982939270782992e-08
1820,1.8630375109296438e-07,6.051905643289501e-08
1821,1.4989461760706035e-07,6.311352507282209e-08
1822,1.6241497746705136e-07,7.21844344298006e-08
1823,2.174191138237802e-07,1.0772128611336029e-07
1824,1.9115925908863574e-07,9.010590407143582e-08
1825,1.6113961009978084e-07,4.3146670236637874e-08
1826,1.761596877258853e-07,5.6371099788066203e-08
1827,1.98171363763322e-07,3.594736597278825e-08
1828,1.8528048428834154e-07,3.3020285172824515e-08
1829,1.7317815093065292e-07,4.2008561629280905e-08
1830,2.640519483065873e-07,4.383470919577803e-08
1831,1.4343909526814969e-07,4.677361786775691e-08
1832,2.1512651926514081e-07,1.8941957335982806e-08
1833,2.2935584809147258e-07,4.2859426230279496e-08
1834,2.5389923052898666e-07,5.787409307345115e-08
1835,2.0193445493532636e-07,4.689114518896531e-08
1836,1.955738326842038e-07,5.107770206791429e-08
1837,2.2473987826288067e-07,6.262101859277891e-08
1838,1.5275432474481931e-07,1.0351945434194931e-07
1839,1.9016812302652397e-07,3.915226187700682e-08
1840,1.235719651049294e-07,7.834716908572403e-08
1841,1.207063178298995e-07,4.6227949468402585e-08
1842,1.4758182942387066e-07,6.238686456327969e-08
1843,1.3644964269587945e-07,4.725528790494593e-08
1844,1.2733461574043758e-07,4.281077892187568e-08
1845,1.311353514665825e-07,3.348136701220028e-08
1846,1.3465353276842507e-07,2.868705717418152e-08
1847,1.1056108206730642e-07,2.6426796750911308e-08
1848,1.078059739256787e-07,2.413566591030758e-08
1849,1.0055298105271504e-07,4.1897074254393374e-08
1850,1.330643186747693e-07,3.8018378667459274e-08
1851,1.7348990866139502e-07,2.773258667154721e-08
1852,1.5495098182327638e-07,3.1901672636891476e-08
1853,1.4929830172150105e-07,2.8068079416243563e-08
1854,1.3560683953528496e-07,5.507404310378661e-08
1855,1.1887539130839286e-07,7.588920425405377e-08
1856,1.2942973626195453e-07,3.468716841537045e-08
1857,1.1862066884305023e-07,5.857810947418329e-08
1858,1.3212925864536373e-07,5.627727261980908e-08
1859,1.2221215683894116e-07,5.9578429301154756e-08
1860,1.0390207449972877e-07,6.179197953315452e-08
1861,1.1837069280318246e-07,3.065376574795664e-08
1862,1.2605181609615101e-07,5.511943257374696e-08
1863,1.0588595955596247e-07,7.392038536835344e-08
1864,1.2226556123096088e-07,4.219360716373188e-08
1865,9.037141524004255e-08,4.424433719396603e-08
1866,1.114225369747146e-07,9.63391362240884e-08
1867,1.1161466773046413e-07,4.658699026549584e-08
1868,8.694178177393042e-08,4.9398739321304674e-08
1869,9.376356757684334e-08,5.323035878745941e-08
1870,9.289158953151855e-08,3.325748298976805e-08
1871,7.434824311758348e-08,3.823623728749226e-08
1872,9.736216100009187e-08,4.6564513689340004e-08
1873,9.038866721766681e-08,4.3697831131339626e-08
1874,8.304706966555386e-08,4.062734149101743e-08
1875,1.1271408340007838e-07,5.034943839632433e-08
1876,8.403960549685507e-08,3.0230073333470386e-08
1877,9.462768701951063e-08,2.8450153455317206e-08
1878,9.602150896625972e-08,4.7708802242141246e-08
1879,7.514469757552433e-08,4.215434534771134e-08
1880,1.5787901475050603e-07,2.888030792291829e-08
1881,1.1922988107926358e-07,3.486253774553916e-08
1882,1.1780031883290576e-07,3.394246306243076e-08
1883,1.0174135667284645e-07,2.5277355319985872e-08
1884,1.1024833668216161e-07,4.8192387858136954e-08
1885,7.02574283195645e-08,4.318575919093348e-08
1886,1.0325542376676822e-07,6.517998230037847e-08
1887,9.401651368534658e-08,6.333056745688737e-08
1888,8.813454144274147e-08,5.0090857683926515e-08
1889,7.016953418315097e-08,4.5735496889687255e-08
1890,8.979509402706753e-08,7.013193636939974e-08
1891,1.121862709396737e-07,3.059625708345948e-08
1892,6.143142172732041e-08,3.8864775842029076e-08
1893,7.328515749804865e-08,7.020594972040328e-08
1894,7.687877712214686e-08,4.7261544011689693e-08
1895,7.282523739604585e-08,5.416752912879019e-08
1896,7.13540515562272e-08,4.304831058288272e-08
1897,5.7684463428131494e-08,2.7968225069230357e-08
1898,8.657283245838698e-08,3.3384292663640736e-08
1899,7.572782578790793e-08,4.698441813388854e-08
1900,5.2429637520390315e-08,2.2321527737290126e-08
1901,2.9061443029831935e-08,5.253414420147706e-08
1902,5.9414436037741325e-08,3.682712873542826e-08
1903,8.316339261682515e-08,3.456140973412403e-08
1904,5.5896101969210576e-08,3.493506284257819e-08
1905,4.541468001661997e-08,4.0253922195532255e-08
1906,4.1153477070565714e-08,5.6586030527938647e-08
1907,4.885701088142014e-08,4.525702301805268e-08
1908,5.255186152908209e-08,2.6030362310081046e-08
1909,6.436150812305641e-08,3.4106097501762633e-08
1910,6.306098043751263e-08,4.435645073463945e-08
1911,7.129301593522541e-08,4.415910481725405e-08
1912,6.042928646365908e-08,2.6568049094066737e-08
1913,8.484783364792747e-08,4.5075413623862914e-08
1914,6.361906201846068e-08,7.098548593376108e-08
1915,2.9451904026700504e-08,7.775303201285055e-08
1916,5.493730981243061e-08,5.0542325880087446e-08
1917,5.9218692172180454e-08,2.522277586791688e-08
1918,5.054005569604669e-08,6.087779524932557e-08
1919,5.893022958503025e-08,3.2227467916534636e-08
