year,en_ADP amies_NOUN,en_ADP mamie_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,1.4287095950749062e-08,0.0
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,1.5643897199879575e-07,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,4.514932783195036e-08,1.556873407970727e-09
1818,4.768470773797162e-08,0.0
1819,3.1053151161586356e-08,0.0
1820,3.559944161679596e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,3.0076847679083585e-08,0.0
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,2.947389532437228e-08,0.0
1825,1.1447076175841175e-08,0.0
1826,1.8496766784892316e-08,0.0
1827,1.013900075008678e-08,9.217273055917019e-10
1828,1.2841221419535032e-08,9.172301251858528e-10
1829,4.115124596637543e-08,8.57317605795771e-10
1830,6.262101504006523e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,2.4353944638733083e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,9.334531370086552e-09,0.0
1835,7.563087933704082e-09,0.0
1836,8.064899859050456e-09,0.0
1837,1.1132625488130543e-08,0.0
1838,1.2624323808552163e-08,0.0
1839,2.0974426639952526e-09,0.0
1840,1.1465439264668476e-08,6.369688665408546e-10
1841,2.118781061710706e-08,0.0
1842,1.0733224087289273e-08,0.0
1843,2.953455480181333e-09,0.0
1844,1.4819115712327857e-08,0.0
1845,1.3392547515422848e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,1.4561703842730367e-08,0.0
1848,2.413566591030758e-08,0.0
1849,1.6758829879393033e-09,0.0
1850,2.1724787302446202e-08,0.0
1851,3.4826967976187007e-08,0.0
1852,1.3672145193766028e-08,0.0
1853,5.3747388761848924e-09,5.971931837933653e-10
1854,4.1565315633818045e-09,5.195664454227256e-10
1855,7.429711956774554e-09,0.0
1856,9.318940286107136e-09,0.0
1857,1.757343248698362e-08,4.881509085841174e-10
1858,2.104280660830682e-08,1.468102750479261e-09
1859,1.171199848215565e-08,0.0
1860,2.288591893773173e-08,0.0
1861,3.159695793897299e-08,0.0
1862,1.7168348520613108e-08,0.0
1863,5.494082966350788e-09,0.0
1864,8.63051052846231e-09,0.0
1865,1.7415324293779122e-08,0.0
1866,2.5301186923343266e-08,0.0
1867,2.3778776281346836e-08,0.0
1868,2.420538258718352e-08,0.0
1869,1.904572499711321e-08,0.0
1870,1.8922361455508963e-08,0.0
1871,3.18635318130589e-09,0.0
1872,1.5723081503438152e-08,1.2094678591978436e-09
1873,1.1972009161809183e-08,0.0
1874,2.1508592240593316e-08,0.0
1875,1.3159512590732447e-08,0.0
1876,1.3301232115736639e-08,0.0
1877,1.6699003069220453e-08,6.184815992682502e-10
1878,1.8117265465633636e-09,0.0
1879,1.8327975581655664e-08,0.0
1880,2.3746030919369332e-08,0.0
1881,2.8587281875047665e-08,0.0
1882,9.983077475794744e-09,6.655385131892899e-10
1883,2.211768546089843e-08,6.319338941018771e-10
1884,1.1883054540362536e-08,0.0
1885,2.1915161241281567e-08,0.0
1886,2.2587123282846733e-08,0.0
1887,1.8280989833030503e-08,0.0
1888,1.7119660356001987e-08,0.0
1889,7.51816386923565e-09,1.2530273485467092e-09
1890,1.3108772733971819e-08,0.0
1891,2.2947192590550003e-08,0.0
1892,1.3790726782758611e-08,0.0
1893,1.7243566574620672e-08,6.158416554491453e-10
1894,2.2055386850183822e-08,0.0
1895,1.5046536461227333e-08,0.0
