year,mon_DET être_NOUN,mon_DET etre_NOUN
1800,8.426360622593165e-07,9.432493897065797e-09
1801,1.0048590983746664e-06,0.0
1802,9.756983274655795e-07,0.0
1803,7.645329622718577e-07,1.950339223455444e-09
1804,1.0085151593841601e-06,0.0
1805,5.913185603390048e-07,0.0
1806,5.561621252425653e-07,5.76333825108577e-09
1807,7.971474538237544e-07,6.547997077888112e-08
1808,5.257291602056569e-07,0.0
1809,6.121972870865022e-07,0.0
1810,7.418201986020279e-07,2.3401267590372754e-09
1811,4.763445744515593e-07,1.504245972228091e-08
1812,5.867858021701977e-07,0.0
1813,6.125329665707113e-07,0.0
1814,4.4368147200657404e-07,0.0
1815,5.259585860173388e-07,5.394447111228828e-09
1816,5.284136772587544e-07,0.0
1817,9.419084019413049e-07,1.556873407970727e-09
1818,6.520884090477352e-07,0.0
1819,2.7751165987410786e-06,9.315945015409e-09
1820,9.232122337721194e-07,8.306536791735653e-09
1821,8.776724857995077e-07,5.916893086599373e-09
1822,8.060595177994401e-07,2.0051231786055723e-09
1823,7.273657782747023e-07,3.95307486744656e-09
1824,9.524278539174702e-07,5.052667617633233e-09
1825,7.141214020123243e-07,8.805443041381977e-10
1826,6.412212503192904e-07,8.807984341885344e-10
1827,6.415222166822332e-07,9.217273055917019e-10
1828,6.76915855368776e-07,9.172301140836225e-09
1829,5.581137387800084e-07,0.0
1830,8.693884208099689e-07,1.0436835840010872e-09
1831,7.437005455912526e-07,0.0
1832,9.092139503508179e-07,1.3529969367098715e-09
1833,9.429073681843647e-07,0.0
1834,9.390538266984549e-07,2.8003592777992026e-09
1835,8.939569866583952e-07,7.563087933704082e-10
1836,9.032687993126842e-07,0.0
1837,7.270995983077455e-07,3.4789453540184923e-09
1838,6.937066050483054e-07,0.0
1839,7.767529042190802e-07,6.9914751765765e-10
1840,6.395167559958281e-07,0.0
1841,8.577853094493548e-07,6.420548537278137e-09
1842,8.002960130149006e-07,6.708265054555795e-10
1843,8.222420042613976e-07,5.906911071384968e-10
1844,6.460036454658535e-07,2.7442806360689076e-09
1845,8.214095608138905e-07,0.0
1846,7.107364432545893e-07,5.854501328173001e-10
1847,5.312325273010288e-07,2.6966118227278457e-09
1848,8.455528242024002e-07,1.6090443422100975e-09
1849,6.904637901428146e-07,3.3517659758786067e-09
