year,un_DET arbre_NOUN,un_DET marbre_NOUN
1800,1.850969556471682e-05,1.474613185337148e-06
1801,1.2934583821788692e-05,1.3191750980467987e-06
1802,1.3720197443944926e-05,1.817126133119018e-06
1803,2.2362590016200556e-05,1.8177162068866437e-06
1804,1.59335509124503e-05,1.3496305761862004e-06
1805,1.7438211926901204e-05,1.427124644237665e-06
1806,1.3359417749825298e-05,2.5560404033342365e-06
1807,1.0565050331479142e-05,1.6056826739330177e-06
1808,1.546368920912755e-05,2.8053996743437892e-06
1809,1.8521790593695187e-05,2.0105371163481323e-06
1810,1.4698335917273653e-05,1.1139003204263531e-06
1811,1.2354874172615382e-05,1.7599679331681273e-06
1812,1.1031572853426042e-05,1.4616300703096385e-06
1813,1.0804161377109267e-05,1.2106871736250469e-06
1814,8.788669333625876e-06,1.10448370804761e-06
1815,8.849590557247211e-06,1.192172847552797e-06
1816,1.7268467274789145e-05,1.093909069993515e-06
1817,1.4685986982954091e-05,9.855008169523671e-07
1818,1.2241856865102818e-05,1.2922556020811271e-06
1819,9.291102344377578e-06,9.616125451472612e-07
1820,1.0398597282801347e-05,8.532000137506657e-07
1821,9.042984942198018e-06,1.7632341222650894e-06
1822,8.936833637562813e-06,7.388878913161534e-07
1823,9.373728715900143e-06,8.321222129126227e-07
1824,8.319217329244566e-06,8.884273761111672e-07
1825,9.6947928938107e-06,9.862096241874951e-07
1826,1.0389898520202223e-05,1.0014678597514148e-06
1827,8.748114183276812e-06,8.369284110187891e-07
1828,9.576799868682428e-06,7.27363513419732e-07
1829,9.200732705494374e-06,1.1102262700291021e-06
1830,9.888901672638895e-06,9.57057860517807e-07
1831,1.1698081834765617e-05,1.0321378312028173e-06
1832,1.1185225673671084e-05,1.2285212420692915e-06
1833,1.2452400824258802e-05,1.1143450677764122e-06
1834,9.700444962845722e-06,1.0183973309096928e-06
1835,1.0677567161110346e-05,9.733694241731428e-07
1836,1.0153036754445566e-05,7.943926672027146e-07
1837,9.935172727182362e-06,9.880205134038533e-07
1838,8.63188181199348e-06,1.015626803990699e-06
1839,8.497439239363302e-06,7.089355911205075e-07
1840,7.95892600535808e-06,7.433426638669971e-07
1841,8.443663077173369e-06,8.372395328137827e-07
1842,8.54498843239071e-06,7.513256594648965e-07
1843,8.854460119778196e-06,6.35583658592509e-07
1844,8.625274006135442e-06,6.158165870573384e-07
1845,8.711293659757757e-06,7.276617033369348e-07
1846,9.100236965764452e-06,7.411798677026127e-07
1847,7.490648215480178e-06,6.083556449709704e-07
