year,un_DET annuel_ADJ,un_DET manuel_NOUN
1800,2.829747991484055e-08,4.4018303668735825e-07
1801,3.333655484993869e-08,2.881230991569339e-07
1802,1.5664880947952042e-08,3.20011139365306e-07
1803,1.1702034896643454e-08,1.7748087577373894e-07
1804,2.4718509461507665e-09,2.2493843232496147e-07
1805,1.7057265822018053e-08,3.439881979261372e-07
1806,2.881669125542885e-09,1.8442682403474464e-07
1807,0.0,3.046241943138739e-07
1808,4.078933102391602e-08,3.6257183610999277e-07
1809,1.129515236897305e-08,2.3042111596538462e-07
1810,9.360507036149102e-09,4.422839450235472e-07
1811,3.5099073869560016e-08,1.780024518893697e-07
1812,2.6672082320544632e-09,5.067695396654415e-07
1813,1.1502966579257645e-08,2.846984177296008e-07
1814,1.8880061958270744e-08,1.8250726974144982e-07
1815,1.6183340889597275e-08,7.255531357941436e-07
1816,2.3176038865813098e-09,6.999163879584103e-07
1817,4.670620334934483e-09,3.020334347070275e-07
1818,4.768470951432846e-09,2.515368464628409e-07
1819,1.035105001712111e-09,2.7947834535524407e-07
1820,7.119888678630559e-09,3.5599444192513374e-07
1821,2.465372084259343e-08,3.5304128687130287e-07
1822,1.804610860745015e-08,3.559093642024891e-07
1823,3.9530747564242574e-09,3.755421005280368e-07
1824,1.431589158329416e-08,5.069509878552481e-07
1825,1.4088708866211164e-08,5.547429022811912e-07
1826,5.284790383086602e-09,5.918965571005685e-07
1827,1.1060727445055818e-08,6.608784790529398e-07
1828,5.503380862137419e-09,5.934479077041033e-07
1829,2.3147574523818548e-08,6.498467503002203e-07
1830,1.6698937344017395e-08,6.648264516684321e-07
1831,1.5591206103948707e-09,5.301010150837726e-07
1832,4.058990921151917e-09,5.723176939032015e-07
1833,3.4750886612755494e-09,4.645034898942413e-07
1834,6.534171426153534e-09,5.544711427774018e-07
1835,2.2689263801112247e-08,4.802560908956366e-07
1836,4.704525213838906e-09,4.41553281049778e-07
1837,1.7394727436226276e-08,5.454986427011477e-07
1838,6.312161904276081e-09,4.3175188269017895e-07
1839,1.11863602825224e-08,6.222412807233013e-07
1840,8.917564464638872e-09,5.618065568313568e-07
1841,6.420548537278137e-09,7.313004766196229e-07
1842,1.475818312002275e-08,5.507485472122653e-07
1843,3.5441467538532834e-09,5.753331375757398e-07
1844,1.701453911095996e-08,5.510515497242352e-07
1845,1.1718478631905782e-08,6.110349577426177e-07
1846,1.4636253764521712e-08,5.719847848695281e-07
1847,2.8044762956369595e-08,6.568946320228974e-07
1848,1.045878850192139e-08,6.58099127193168e-07
1849,1.6758828991214614e-08,6.351596528730852e-07
1850,1.2899092460827433e-08,5.580554622852674e-07
1851,4.514607354622058e-09,5.707753185646425e-07
1852,7.812654523320361e-09,6.32825013724414e-07
1853,3.1054046445433414e-08,5.846521311525521e-07
1854,9.352196350675968e-09,7.357060800572413e-07
1855,1.9104973603134567e-08,6.548760467239845e-07
1856,2.0708757375587084e-08,6.709637183632822e-07
1857,8.298565390418844e-09,7.795770047280826e-07
1858,1.2234189661342043e-08,6.949019901725251e-07
1859,1.1202780925145817e-08,6.716576681498054e-07
1860,3.982150076353719e-08,6.559104477332767e-07
1861,1.1789909493131745e-08,6.809851633704511e-07
1862,1.0843167308483004e-08,6.98480691951886e-07
1863,2.0477944673302773e-08,6.308206037530795e-07
1864,2.445311331200628e-08,7.20168138013122e-07
1865,1.553258677233771e-08,5.982399238213532e-07
1866,1.3623715933164249e-08,7.527103136339974e-07
1867,1.6014277903764196e-08,6.493061714962778e-07
1868,2.0253483778986947e-08,7.651864892821436e-07
1869,9.278686263769487e-09,7.715960137488764e-07
1870,8.601073631098188e-09,7.981795837608274e-07
1871,9.559059321873065e-09,7.413582032711474e-07
1872,1.0885210954825197e-08,8.224381220500732e-07
1873,2.21482157058972e-08,8.769496311344938e-07
1874,1.6131444624534197e-08,8.878269337486699e-07
1875,1.0870901512305409e-08,8.628063170590394e-07
1876,9.673623679873344e-09,9.310862694178468e-07
1877,2.4120781816350245e-08,8.572155021369099e-07
1878,1.509772218355465e-08,9.795401734180587e-07
1879,1.649517855639715e-08,1.1290033157251855e-06
1880,2.5029599726167362e-08,1.2700917615404705e-06
1881,2.091752193678076e-08,1.163711541352086e-06
1882,1.9300616216355593e-08,1.211280096669043e-06
1883,3.159669503816076e-08,1.3118948025692134e-06
1884,2.3105939384038265e-08,1.2992139986067741e-06
1885,2.1915161296792718e-08,1.285904332348764e-06
1886,1.4197620856748472e-08,1.3778145415699328e-06
1887,3.1338837969130395e-08,1.2692230058064524e-06
1888,1.9655905347804037e-08,1.3327972041565772e-06
1889,1.4409814674820609e-08,1.1803517558917065e-06
1890,2.8839300725280737e-08,1.384286406391766e-06
1891,1.6572972327821844e-08,1.3118145076873589e-06
1892,1.191017329205124e-08,1.2900598704845834e-06
1893,2.0322774574310642e-08,1.3825645375220574e-06
1894,3.0877544077156927e-08,1.380037112141963e-06
1895,2.5880042997528108e-08,1.3812719856787226e-06
1896,1.2383760683576384e-08,1.5013835259480857e-06
1897,2.9716238358901137e-08,1.4805679242613223e-06
1898,2.319925584970406e-08,1.599051103085003e-06
1899,1.4371703827009696e-08,1.552144027527902e-06
1900,3.0627212765921286e-08,1.5926150673806205e-06
1901,1.620734302321125e-08,1.5134304547359534e-06
1902,8.838511256215043e-09,1.393538507699077e-06
1903,1.8900770726304472e-08,1.555263494879e-06
1904,1.289910045443321e-08,1.7988870197882534e-06
1905,9.805441791854719e-09,1.6442178143449837e-06
1906,7.201858387428928e-09,1.6641436815234556e-06
1907,1.9542804707839423e-08,1.661138377073712e-06
1908,9.822778146428846e-09,1.7543481831694407e-06
1909,2.915521307711444e-08,1.8648334858539783e-06
1910,7.481810726517324e-09,1.8672462616109442e-06
1911,2.0217422402879492e-08,1.8578746079356279e-06
1912,1.4586379215586476e-08,1.8514283262049958e-06
1913,7.954484182448596e-09,2.2410434752373476e-06
1914,1.2723813114234872e-08,1.7183844818191574e-06
1915,2.945190558101274e-08,1.195747367788158e-06
1916,1.4283700444650549e-08,1.3382728809574473e-06
1917,1.3159709100207806e-08,1.5111732949435464e-06
1918,5.743188147278033e-09,1.403635142338544e-06
1919,1.8415697411455767e-08,1.4760180420125835e-06
1920,1.4387239843927091e-08,1.831722876488584e-06
1921,1.9689142760626055e-08,1.7871683510861658e-06
1922,7.377935595798135e-09,1.7404549730315466e-06
1923,6.369568872344189e-09,1.872653221823839e-06
1924,2.578324886925998e-09,2.0059367074054535e-06
1925,8.798542339150117e-09,1.870790100610975e-06
1926,1.0031524944054127e-08,1.6384823524617786e-06
1927,2.2298449753321847e-09,1.868610134181381e-06
1928,7.998228745975666e-09,1.7630381208277868e-06
1929,7.798284684668033e-09,1.9573693990082575e-06
1930,3.1510811737689437e-09,1.9148069583252436e-06
1931,1.1405356659111021e-08,1.9457538087408466e-06
1932,1.0959536389520963e-08,1.8444900504732686e-06
1933,5.735331320977366e-09,1.8490707631713121e-06
1934,4.7926320689839486e-09,1.8787117284091437e-06
1935,3.590485242455088e-09,2.0477734281598714e-06
1936,1.2124714565686645e-09,1.7980951483309582e-06
1937,1.2591118370153254e-08,1.9491050906594865e-06
1938,1.5558256905023882e-08,1.925334395025402e-06
1939,9.176430282309411e-09,1.8291684327209623e-06
1940,1.5214697057785997e-08,1.9626959470997463e-06
1941,0.0,1.9214281792301335e-06
1942,0.0,1.5231743297761113e-06
1943,5.806470415592457e-09,1.8029090611548781e-06
1944,6.4263723231761105e-09,1.786531470315822e-06
1945,8.714016175304096e-09,1.372457575143926e-06
1946,2.7842208538686464e-09,1.7805091871991863e-06
1947,3.5762612871081956e-09,1.8310457505776867e-06
1948,3.2615663503321457e-09,1.8558312362415563e-06
