year,son_DET archer_NOUN,son_DET marché_NOUN
1800,0.0,3.04983969190431e-07
1801,0.0,3.35746757063049e-07
1802,0.0,5.482708331783215e-07
1803,0.0,3.8616717645822973e-07
1804,0.0,2.8179102073977447e-07
1805,0.0,3.269309303277623e-07
1806,0.0,3.313919592073944e-07
1807,4.270432718556094e-08,3.7295112065294234e-07
1808,0.0,5.121327260049213e-07
1809,0.0,4.043664567632277e-07
1810,9.360507036149102e-09,2.7847509720402286e-07
1811,0.0,2.8580674671374595e-07
1812,0.0,2.880584886177928e-07
1813,0.0,3.16331588923191e-07
1814,0.0,3.776012533762696e-07
1815,0.0,4.2076686668224283e-07
1816,0.0,1.5064425262778514e-07
1817,9.341240669868967e-09,2.8179408229078717e-07
1818,1.1921177378582115e-09,4.5777321311391006e-07
1819,0.0,4.1093669267411315e-07
1820,2.3732962262101864e-09,2.966620273880949e-07
1821,0.0,4.5757304523164066e-07
1822,0.0,3.248299549341027e-07
1823,0.0,4.694276141137266e-07
1824,0.0,4.724244142551015e-07
1825,0.0,4.631662982035323e-07
1826,0.0,4.38637632660388e-07
1827,1.013900075008678e-08,5.272280185764089e-07
1828,0.0,4.3018093620617037e-07
1829,0.0,6.035515731639407e-07
1830,1.3567886369969528e-08,5.21841792888722e-07
1831,0.0,3.0558763430832414e-07
1832,1.7588959622116818e-08,6.372615697358697e-07
1833,1.1583628500844156e-09,5.30530204656543e-07
1834,7.467624740797874e-09,4.5365819922871253e-07
1835,1.5126175867408165e-09,5.347103098074513e-07
1836,6.048674894287842e-09,4.2004689215779933e-07
1837,9.741046858025015e-09,5.044471116377736e-07
1838,1.5780404760690203e-08,4.538444517976359e-07
1839,2.7965900706306e-09,5.404410146070404e-07
1840,7.006657365415947e-09,4.4141943078557233e-07
1841,1.2841097074556274e-08,4.63563609720552e-07
1842,4.695785538189057e-09,5.279404629021656e-07
1843,5.906910960362666e-09,5.351661336305824e-07
1844,1.097712254427563e-09,4.840910969861056e-07
1845,3.9061593959388574e-09,4.743193811052038e-07
1846,3.5127007969038004e-09,5.310032689109789e-07
1847,1.6179670936367074e-09,5.091203192364446e-07
1848,6.43617736884039e-09,6.347679768481385e-07
1849,3.3517659758786067e-09,6.024799290571536e-07
1850,1.3577992064028876e-09,5.750279452598761e-07
1851,7.739326512989919e-09,5.507820795003227e-07
1852,4.557381805270211e-09,5.162862795060619e-07
1853,5.971931837933653e-09,5.535980562854093e-07
1854,1.0391328908454511e-09,8.442954797516222e-07
1855,0.0,5.933155620141406e-07
1856,4.141751386299575e-09,5.052936824512244e-07
1857,0.0,6.619326402557135e-07
1858,6.8511463169329545e-09,5.911560485571954e-07
1859,3.055304009791371e-09,5.407887897490582e-07
1860,9.154367819341758e-10,4.728230864614602e-07
1861,0.0,4.7442596029512174e-07
1862,1.536115412648087e-08,7.680576903368319e-07
1863,6.493007020935693e-09,4.1705085251919627e-07
1864,5.274200631788517e-09,4.881033230930143e-07
1865,1.4120533631256649e-09,5.111633010201899e-07
1866,2.919367858567057e-09,4.807225497671652e-07
1867,3.396968040192405e-09,4.974131844193153e-07
1868,1.0373735648272486e-08,5.374583000872235e-07
1869,8.790334682373668e-09,4.5905079204544563e-07
1870,6.307453670473251e-09,6.049421528153687e-07
1871,0.0,5.894753201118874e-07
1872,7.256807044164759e-09,6.289233045464471e-07
1873,7.183205474881049e-09,7.506449839489449e-07
1874,8.961914044203212e-09,6.524273450381202e-07
1875,6.293679799540541e-09,5.412564645368434e-07
1876,9.069021977836655e-09,6.009738582335444e-07
1877,1.6699003069220453e-08,6.475502534186717e-07
1878,3.0195443923020093e-09,6.437668611525282e-07
1879,1.588424503040642e-08,6.579743412338246e-07
1880,2.5671385017744797e-09,6.077700316353685e-07
1881,1.1853263259808955e-08,6.840029680432735e-07
1882,1.3310770263785798e-09,5.237788034406776e-07
1883,6.319338829996468e-09,4.587840098935203e-07
1884,1.1222884843675729e-08,4.812637106610396e-07
1885,5.156508553483263e-09,5.755952612318538e-07
1886,3.2267318816892043e-09,5.833931071563825e-07
1887,1.8933882017790893e-08,6.861899510823832e-07
1888,7.60873763994141e-09,6.194780510782039e-07
1889,3.132568426877924e-09,6.070917448752766e-07
1890,0.0,6.777235386223879e-07
1891,2.5496880162734215e-09,6.488955923700246e-07
1892,3.1342561879199593e-09,7.75414982001621e-07
1893,2.463366621796581e-09,6.404753225552895e-07
1894,1.575384822594117e-08,6.232222546920241e-07
1895,3.611168697403855e-09,7.956608634174245e-07
1896,1.7101383420481397e-08,6.899523867787138e-07
1897,1.7480140668268973e-09,7.487327078337103e-07
1898,3.3950129374460403e-09,7.565220334626588e-07
1899,5.527578395003729e-10,6.445156639500738e-07
1900,0.0,6.208499332416295e-07
1901,2.235495566438317e-09,7.293304076227969e-07
1902,2.455141867585553e-09,7.350694950503112e-07
1903,3.7801541896698154e-09,7.490105744523134e-07
1904,1.6123875568041512e-09,6.981637845626665e-07
1905,3.6125313851442797e-09,7.803067916256623e-07
1906,5.144184633820714e-09,8.565067339816324e-07
1907,5.142843484406967e-09,6.505696905634295e-07
1908,1.4734167219643268e-09,5.554781274952347e-07
1909,5.500983557560346e-10,5.880551618986374e-07
1910,6.947395991829808e-09,5.493786687793545e-07
1911,3.7242617878519013e-09,7.73050354396787e-07
1912,4.688479049441696e-09,8.126696968702163e-07
1913,5.30298971401777e-10,6.692372789274259e-07
1914,5.357394972094198e-09,6.375300269922946e-07
1915,2.3561523843085297e-09,7.174483789285091e-07
1916,1.3184954461564757e-08,9.383292400855225e-07
1917,1.0966424435210342e-09,9.847849291588773e-07
1918,0.0,7.626953593131702e-07
1919,0.0,6.040348692337716e-07
1920,4.543339038320937e-09,6.284952469570726e-07
1921,9.0872969149558e-09,6.770036478087604e-07
1922,1.2542490601674672e-08,7.245132467303961e-07
1923,3.1847844361720945e-09,5.552141071341055e-07
1924,2.578324886925998e-09,5.878580990881233e-07
1925,0.0,7.467762532797906e-07
1926,1.0031524277920312e-08,5.684530535177146e-07
1927,6.689535148041159e-09,6.656087006007283e-07
1928,1.1426041224282812e-09,6.592825769757837e-07
1929,0.0,5.993538514381669e-07
1930,4.201441416995522e-09,7.226479006305908e-07
1931,4.5621426636444085e-09,8.360126599882278e-07
1932,0.0,7.244253428240199e-07
1933,5.735331320977366e-09,8.109758269370104e-07
1934,0.0,8.267290532160132e-07
1935,1.196828414151696e-09,7.216875292925806e-07
1936,0.0,8.317554289760665e-07
