year,aucun_DET or_NOUN,aucun_DET mort_NOUN
1800,0.0,4.7162467708972144e-08
1801,4.7623651688866175e-09,1.4287095950749062e-08
1802,1.3427040812530322e-08,0.0
1803,1.950339223455444e-09,5.070882025393075e-08
1804,2.4718509461507665e-09,1.2359254730753833e-08
1805,1.7057265822018053e-08,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,2.2660739951163578e-09,2.4926814390369145e-08
1809,4.518061036407062e-09,9.036122294858728e-09
1810,7.020380277111826e-09,3.042164919975221e-08
1811,1.7549536490690798e-08,1.2535383397960231e-08
1812,2.1337665856435706e-08,8.00162425207418e-09
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,0.0,6.293354282149721e-09
1815,8.091670444798638e-09,1.0788894222457657e-08
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.5568734412774177e-08,3.113746815941454e-09
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,1.035105001712111e-09,1.5526575580793178e-08
1820,1.0679833017945839e-08,9.493184904840746e-09
1821,9.861488403650753e-09,1.0847637343935901e-08
1822,7.017931125119503e-09,2.606660132187244e-08
1823,9.882686891060644e-10,2.668325471688604e-08
1824,1.51580028528997e-08,2.863178316658832e-08
1825,9.68598712347557e-09,7.924898959288385e-09
1826,3.5231937367541377e-09,1.4973572604048968e-08
1827,3.6869092223668076e-09,5.530363722527909e-09
1828,5.5033806956039655e-09,2.9351363395324626e-08
1829,2.571952817387313e-09,8.573175946935407e-09
1830,2.922314124020886e-08,3.5485243188304594e-08
1831,1.5591206103948707e-09,3.4300654760954785e-08
1832,2.8412935226818092e-08,6.764984572527055e-09
1833,5.791814250422078e-09,2.3167256557599103e-08
1834,1.1201437333241415e-08,2.333632664885954e-08
1835,6.050470346963266e-09,2.571449897459388e-08
1836,1.2097350121642592e-08,9.409050205633207e-09
1837,4.174734336004349e-09,1.8090515752078318e-08
1838,1.8936486156917454e-08,6.312161904276081e-09
1839,5.5931801412612e-09,1.3283802502428443e-08
1840,7.64362617644565e-09,1.1465439264668476e-08
1841,4.494383976094696e-09,2.43980835534785e-08
1842,6.708265054555795e-09,2.2137274680034125e-08
1843,2.953455480181333e-09,2.7762481258353233e-08
1844,3.293136707771538e-09,1.2074834465636286e-08
1845,5.580227946389016e-10,7.812318791877715e-09
1846,7.610851504580296e-09,3.1614305839866574e-08
1847,2.7505439703645607e-08,1.5640349459999925e-08
1848,4.34441957963827e-08,2.2526621346052877e-08
1849,6.703531951757213e-09,1.9272654583346593e-08
1850,1.0183494048021657e-08,2.987158254086353e-08
1851,1.0319102239364497e-08,4.063146485933089e-08
1852,2.018269107395554e-08,1.6927417689771573e-08
1853,1.4929829816878737e-08,8.360704351062509e-09
1854,6.754363734984281e-09,1.5067426972770193e-08
1855,1.0613874223963649e-09,2.7065379271107304e-08
1856,1.1907535180100126e-08,7.248064815001953e-09
1857,1.2691923956253959e-08,1.7085282633111376e-08
1858,9.787352261980686e-09,2.00640708492017e-08
1859,4.073738679721828e-09,1.9859475841599306e-08
1860,1.0985241161165504e-08,1.785101755302776e-08
1861,4.7159637306393165e-09,3.819930594062271e-08
1862,7.228778020618165e-09,1.4457556096747481e-08
1863,1.1987090431375691e-08,8.990317212909105e-09
1864,5.274200631788517e-09,1.9178912680217763e-08
1865,1.4120533631256649e-09,1.1296426127849202e-08
1866,4.379051787850585e-09,2.3841502994059738e-08
1867,9.7056229719783e-10,5.82337378318698e-09
1868,9.87974813071446e-10,1.6301584748745768e-08
