year,ton_DET arbre_NOUN,ton_DET marbre_NOUN
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-08,0.0
1803,1.1702035340732664e-08,0.0
1804,7.4155526164076946e-09,9.887403784603066e-09
1805,2.2743021688143017e-08,1.1371510844071508e-08
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,2.562259560079383e-08,0.0
1808,0.0,0.0
1809,2.0331274441787173e-08,4.518061036407062e-09
1810,4.680253518074551e-09,4.680253518074551e-09
1811,6.016983888912364e-08,2.5070767684098882e-09
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,1.4378708002027452e-08,5.751483289628823e-09
1814,9.440031423224582e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,4.6352077731626196e-09
1817,9.341240669868967e-09,4.670620334934483e-09
1818,1.192117715653751e-08,2.384235475716423e-09
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,1.5426425470366212e-08,0.0
1821,0.0,4.930744257336528e-09
1822,1.4035862250239006e-08,6.015369535816717e-09
1823,1.1859224713361982e-08,5.929612356680991e-09
1824,1.6842225392110777e-08,2.5263338088166165e-09
1825,1.4088708644166559e-08,7.924898959288385e-09
1826,3.5231937367541377e-09,7.0463874735082754e-09
1827,1.8434546111834038e-09,0.0
1828,6.420610709767516e-09,0.0
1829,4.286588028978855e-09,1.714635211591542e-09
1830,2.0873670791843324e-08,2.0873671680021744e-09
1831,9.35472388441383e-09,0.0
1832,1.8941957335982806e-08,4.058990921151917e-09
1833,1.50587169400751e-08,1.7375443306377747e-08
1834,1.586870257419548e-08,9.334530925997342e-10
1835,1.1344631900556124e-08,1.5126175867408165e-09
1836,8.736974921319529e-09,8.064899859050456e-09
1837,1.3219993100221927e-08,1.530735971311259e-08
1838,3.471689069556305e-08,7.574594063086693e-09
1839,9.788065469251706e-09,2.09744255297295e-09
1840,1.4013315396965709e-08,2.1019972595848202e-08
1841,2.439808488574613e-08,4.494383976094696e-09
1842,2.1466448618667755e-08,6.708265054555795e-09
1843,1.0632439872981791e-08,2.953455480181333e-09
1844,7.1351295982680085e-09,3.2931368743049916e-09
1845,1.0602433153650281e-08,7.254296274794569e-09
1846,5.269051195355701e-09,2.3418005312692003e-09
1847,1.4022381478184798e-08,3.775256551818984e-09
1848,1.367687652020777e-08,3.218088684420195e-09
1849,8.379414939696517e-10,2.513824481908955e-09
1850,1.2899092460827433e-08,4.073397619208663e-09
1851,1.2898877077560655e-08,6.449438760824933e-10
1852,5.859490670445666e-09,1.3021090872200602e-09
1853,1.2541056859660671e-08,2.388772735173461e-09
1854,1.454786069388092e-08,5.7152309551611324e-09
1855,2.4942604426314574e-08,3.1841622671890946e-09
1856,1.6049286344355096e-08,4.659470143053568e-09
1857,2.147863942258965e-08,1.5620829074691756e-08
1858,8.319249178434518e-09,9.297984604472731e-09
1859,9.675129586383946e-09,2.5460866748261424e-09
1860,1.647786279646013e-08,9.15436793036406e-09
1861,7.545541802489453e-09,4.2443675241088386e-09
1862,6.77697964412971e-09,6.325180823552046e-09
1863,1.2486552458668143e-08,9.989241434027463e-09
1864,2.8288895115302637e-08,7.1920918109924514e-09
1865,8.47231973466478e-09,4.23615986733239e-09
1866,1.9462451761320665e-08,3.4059290943133647e-09
1867,1.2132028714972876e-08,2.426405742994575e-09
1868,6.421836395986702e-09,5.9278488784286765e-09
1869,2.8324410816793488e-08,9.767038733343725e-09
1870,1.0894692259455496e-08,5.160643912205387e-09
1871,6.372706140567175e-09,4.248470908407853e-09
1872,1.4513614199351821e-08,1.4513614310374123e-08
1873,1.1373408659309803e-08,2.3944017879529156e-09
1874,9.559374625212058e-09,2.9873046258899194e-09
1875,2.689117817311626e-08,6.293679799540541e-09
1876,1.813804395567331e-08,1.4510435519810017e-08
1877,1.2988113695655557e-08,1.48435581603934e-08
1878,6.039088784604019e-09,1.0266450800600069e-08
1879,9.774920428640144e-09,6.720258016734704e-09
1880,3.8507077526617195e-09,1.8611754359909582e-08
1881,1.1156011725521608e-08,8.367009307619355e-09
1882,3.9932310791357395e-09,1.8635078813389327e-08
1883,1.3902545781263598e-08,2.9700892856254768e-08
1884,1.4523733327109767e-08,1.4523733327109767e-08
1885,7.7347630522695e-09,1.0957580620640783e-08
1886,7.098810428374236e-09,2.2587122783246372e-08
1887,1.5016526688782506e-08,1.9586774424595887e-09
1888,3.804368819970705e-09,3.804368819970705e-09
1889,2.380751951136517e-08,8.771191772893872e-09
1890,1.7041404731799048e-08,6.554386366985909e-09
1891,9.561329838980726e-09,1.3385861752368555e-08
1892,1.2537024751679837e-09,6.268512375839919e-09
1893,6.158416498980301e-09,6.774258043407144e-09
1894,4.411077725308132e-09,9.452309157609307e-09
1895,1.8055843487019274e-09,4.213029924926559e-09
1896,8.255840344695287e-09,1.0614652268259306e-08
1897,1.7480140668268973e-09,5.244042311502994e-09
1898,1.0750874079867856e-08,5.6583546736987955e-09
1899,4.9748205555033564e-09,2.7637891975018647e-09
1900,7.26747462209687e-09,5.19105292084987e-09
1901,9.500856101851696e-09,4.470991132876634e-09
1902,1.4730852093691738e-09,7.856454153909453e-09
1903,1.0800440097824549e-08,3.2401321625741275e-09
