year,son_DET argot_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,3.105315005136333e-09
1820,1.1866481131050932e-08
1821,3.94459531705138e-09
1822,2.0051231786055723e-09
1823,0.0
1824,8.421112696055388e-10
1825,0.0
1826,8.807984341885344e-10
1827,9.217273055917019e-10
1828,1.8344602503717056e-09
1829,3.429270423183084e-09
1830,3.1310507520032616e-09
1831,0.0
1832,6.764984572527055e-09
1833,2.4325620628928846e-08
1834,8.401078055442213e-09
1835,3.2521278114927554e-08
1836,1.747394939854985e-08
1837,1.2524203896191466e-08
1838,1.4517972601879592e-08
1839,8.38977065598101e-09
1840,9.554533164646273e-09
1841,3.338685417020315e-08
1842,1.341653010911159e-08
1843,2.0674189471492355e-08
1844,9.330554107123135e-09
1845,2.17628883802945e-08
1846,5.269050973311096e-09
1847,1.7258315665458213e-08
1848,8.045221711050488e-10
1849,1.4245005175439474e-08
1850,1.6293590476834652e-08
1851,2.5152811389261842e-08
1852,1.6927417689771573e-08
1853,1.5527023222716707e-08
1854,6.234797567117312e-09
1855,2.5473298137512757e-08
1856,4.34883880018333e-08
1857,1.8061584228235006e-08
1858,2.2510910469009104e-08
1859,2.5460866748261424e-08
1860,1.876645328025006e-08
1861,9.903524222920623e-09
1862,7.228778020618165e-09
1863,2.3974180862751382e-08
1864,2.3973639962093785e-08
1865,3.671338433264282e-08
1866,2.6760870852626795e-08
1867,2.9602150064533816e-08
1868,1.432563490055827e-08
1869,2.9301114423674335e-08
1870,1.834895613228582e-08
1871,9.559059321873065e-09
1872,1.5118347462816928e-08
1873,2.993002112816612e-08
1874,2.5690820137924675e-08
1875,2.8607635371713513e-08
1876,9.673623679873344e-09
1877,2.535774612510977e-08
1878,1.5701630218245555e-08
1879,2.6270098985037293e-08
1880,2.759673911612026e-08
1881,2.5798277292210514e-08
1882,1.0648616211028639e-08
1883,2.8437025179073316e-08
1884,1.7164412113856997e-08
1885,2.4493415295978593e-08
1886,3.420335814574571e-08
1887,2.415702088365279e-08
1888,3.550744054336974e-08
1889,1.4409814119709097e-08
1890,2.228491402522792e-08
1891,2.358461337337303e-08
1892,2.5074049059270465e-08
1893,2.4017824173938607e-08
1894,1.1342770278588432e-08
1895,2.6481902892783182e-08
1896,1.2383760683576384e-08
1897,5.826713334045053e-09
1898,1.810673611046809e-08
1899,1.713549302451156e-08
1900,2.906989848838748e-08
1901,4.4151036826534096e-08
1902,1.9641135384773634e-08
1903,2.8621167658116065e-08
1904,1.3974025492302644e-08
1905,2.5287718585786934e-08
1906,1.0288368823552219e-08
1907,1.7485666858885196e-08
1908,1.96455567369469e-08
1909,3.795678793494517e-08
1910,2.0307773018757302e-08
1911,2.021742140367877e-08
1912,2.0316742677106703e-08
1913,5.2499597558153255e-08
1914,3.750176302830255e-08
1915,3.416420912838447e-08
1916,1.2086208478478966e-08
1917,1.6449636319748606e-08
1918,4.479686666059024e-08
1919,4.1435317399418636e-08
1920,4.467616854242351e-08
1921,3.483463828501954e-08
1922,1.9920426197472807e-08
1923,2.866305992554885e-08
1924,2.4494086758863887e-08
1925,4.5092531042456585e-08
1926,1.8948435376309192e-08
