year,son_DET matin_NOUN
1800,9.432493897065797e-09
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,5.265915881125238e-08
1804,9.887403784603066e-09
1805,8.528632911009026e-09
1806,1.152667650217154e-08
1807,1.1387820464392462e-08
1808,9.064295980465431e-09
1809,4.518061036407062e-09
1810,1.4040760110134443e-08
1811,1.504245972228091e-08
1812,2.6672083208723052e-08
1813,1.7254450312975678e-08
1814,1.5733386149463513e-08
1815,5.394447111228828e-09
1816,3.7081662185300956e-08
1817,2.3353100786493997e-08
1818,1.3113295338484932e-08
1819,1.1386154796788617e-08
1820,2.8479554714522237e-08
1821,9.86148829262845e-10
1822,1.1028177482330648e-08
1823,1.8777105204037525e-08
1824,2.7789671008804362e-08
1825,9.68598712347557e-09
1826,7.927186018719112e-09
1827,1.93562739170261e-08
1828,1.742737271159811e-08
1829,1.2002446148073886e-08
1830,7.305785310052215e-09
1831,3.274153215215847e-08
1832,4.058990654698391e-08
1833,2.7800708068959068e-08
1834,6.440826183506942e-08
1835,6.352993864311429e-08
1836,4.032450107160912e-08
1837,3.270208637218275e-08
1838,2.9035945203759184e-08
1839,2.7965900040172187e-08
1840,3.50332875487247e-08
1841,3.274479842829692e-08
1842,3.6224630406422875e-08
1843,1.7130041496393744e-08
1844,1.5367971784030487e-08
1845,2.511102614732863e-08
1846,2.1076203893244383e-08
1847,1.7258315665458213e-08
1848,2.654923214606697e-08
1849,1.3407063903514427e-08
1850,2.7834883731259197e-08
1851,2.257303499675345e-08
1852,3.385483737794459e-08
1853,4.299790834494388e-08
1854,4.260444780301853e-08
1855,3.343370380548549e-08
1856,2.1744195499717733e-08
1857,2.391939490919981e-08
1858,4.404308290295589e-08
1859,3.666364989385329e-08
1860,3.478659821309904e-08
1861,2.9238975685075275e-08
1862,3.072230667089393e-08
1863,5.344244319305247e-08
1864,3.116573232819775e-08
1865,2.118079989177346e-08
1866,2.6760870852626795e-08
1867,3.445496155052297e-08
1868,2.865126935702733e-08
1869,2.8812762731256214e-08
1870,3.096386302914311e-08
1871,1.0621176826930423e-08
1872,2.8422494136037812e-08
1873,1.4366410727717494e-08
1874,3.7042575673496e-08
1875,2.8607635982336177e-08
1876,3.8089892795412084e-08
1877,2.3502300994238112e-08
1878,2.657199105193797e-08
1879,2.5048233043278856e-08
1880,2.1820676598949262e-08
1881,2.3009275207375168e-08
1882,2.3293848627758962e-08
1883,1.0742876033198456e-08
1884,1.9805090900604227e-08
1885,1.4180398633101277e-08
1886,2.194177767256278e-08
1887,2.023966672037858e-08
1888,3.9311810695608074e-08
1889,2.568706081174099e-08
1890,2.0974037173715487e-08
1891,1.976008190407441e-08
1892,1.4417578686476418e-08
1893,3.756634170404283e-08
1894,2.2685541445355284e-08
1895,1.444467434552621e-08
1896,1.061465249030391e-08
1897,1.5732126712464378e-08
1898,1.3580051305694951e-08
1899,1.9346524382513053e-08
1900,1.7649580574818913e-08
1901,2.1796081495217834e-08
1902,1.7185993184121173e-08
1903,2.052083747372535e-08
1904,1.5048950530172078e-08
1905,1.548227707148797e-08
1906,2.0576737980171345e-08
1907,9.771402076363955e-09
1908,2.3083527977973972e-08
1909,4.0157179526101316e-08
1910,3.313373519997498e-08
1911,3.6710582129728664e-08
1912,1.979580122046798e-08
1913,3.446943203089248e-08
1914,2.6786975526604806e-08
1915,3.769843803791417e-08
1916,1.8678685265172135e-08
1917,2.6319419199616334e-08
1918,3.675640503075783e-08
1919,3.130668407846926e-08
1920,2.953170330499688e-08
1921,4.0135559875587035e-08
1922,3.172512252902493e-08
1923,4.2463791594116174e-08
1924,2.3204923760289375e-08
1925,3.959344052617553e-08
1926,2.452150482668003e-08
1927,4.905658779197353e-08
1928,1.8281665736807895e-08
1929,2.1166771890790415e-08
1930,1.05036033204442e-08
1931,2.0529641986399838e-08
