year,aucun_DET hôtel_NOUN
1800,5.0306631749208464e-08
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,1.3596443970698147e-08
1809,2.710836710662079e-08
1810,0.0
1811,0.0
1812,0.0
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,0.0
1820,2.610625848831205e-08
1821,1.1833785507064931e-08
1822,0.0
1823,0.0
1824,1.2631669044083083e-08
1825,5.283265824829186e-09
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,1.4675682002973645e-08
1829,5.143905745796928e-09
1830,0.0
1831,0.0
1832,2.705993873419743e-09
1833,3.4750886612755494e-09
1834,7.467624740797874e-09
1835,3.025235173481633e-09
1836,3.36037508930076e-09
1837,1.3219993100221927e-08
1838,4.418513555037862e-09
1839,6.9914751765765e-10
1840,8.280595042986505e-09
1841,5.778493683550323e-09
1842,0.0
1843,8.269675610961258e-09
1844,8.232841963717874e-09
1845,5.580227835366713e-09
1846,2.9272506640865004e-09
1847,7.550513103637968e-09
1848,4.82713291560799e-09
1849,9.217356655710773e-09
1850,3.394498016007219e-09
1851,3.8696632564949596e-09
1852,1.3021090872200602e-09
1853,7.166318205520383e-09
1854,5.195664454227256e-10
1855,8.491099379170919e-09
1856,2.0708756931497874e-09
1857,6.345961978126979e-09
1858,9.787352261980686e-09
1859,4.073738679721828e-09
1860,1.8308735638683515e-09
1861,5.187560159214399e-09
1862,1.1746764450037972e-08
1863,4.495158911765884e-09
1864,6.233146443435089e-09
1865,6.589582213223366e-09
1866,6.811858188626729e-09
1867,1.261730986357179e-08
1868,4.44588676984381e-09
1869,2.4417595723136287e-09
1870,1.7202146818107167e-08
1871,2.5490825672491724e-08
1872,1.7537283625301825e-08
1873,1.0774807712721213e-08
1874,1.0156835372754358e-08
1875,5.721527140956084e-09
1876,5.441413541973361e-09
1877,1.1132668453761596e-08
1878,1.1474268646338714e-08
1879,4.887460103297769e-09
1880,7.059630657835214e-09
1881,7.669758217421219e-09
1882,1.3310770263785798e-08
1883,8.847074628448581e-09
1884,1.3203393933736152e-08
1885,1.933690718658454e-08
1886,9.680195756089915e-09
1887,7.834709769838355e-09
1888,1.9655905347804037e-08
1889,7.518164035769104e-09
1890,1.2453334363726754e-08
1891,1.0836173736095134e-08
1892,7.522214628963297e-09
1893,1.2932674597898597e-08
1894,1.1342770722677642e-08
1895,6.6204761672850054e-09
1896,9.435246584033052e-09
1897,1.5149455467877715e-08
1898,9.05336783318944e-09
1899,8.291367592505594e-09
1900,1.349673794948103e-08
1901,3.3532433496574754e-09
1902,1.7185993794743837e-08
1903,1.2420506845245427e-08
1904,1.4511488011237361e-08
1905,1.2385821701599298e-08
1906,9.259531807970234e-09
1907,1.645709940545359e-08
1908,1.0805055739027125e-08
1909,7.70137675853988e-09
1910,1.2291546447329438e-08
1911,1.0108710868372839e-08
1912,1.0418842455450772e-08
1913,1.007568084521182e-08
1914,3.348371857558874e-09
1915,1.8849218852423633e-08
1916,2.197492410260793e-09
1917,5.483212217605171e-09
1918,5.743188147278033e-09
1919,2.3019620654096684e-08
1920,6.057785384427916e-09
1921,1.5145495080304272e-08
1922,1.475587119159627e-08
1923,8.492758496458919e-09
1924,7.734974660777993e-09
1925,5.499088961968823e-09
1926,7.802296586589819e-09
1927,1.7838760246746688e-08
1928,6.85562484559199e-09
1929,1.0026365737658693e-08
1930,1.0503603875555712e-08
1931,2.0529642874578258e-08
1932,1.205549005067752e-08
1933,2.7529590163055673e-08
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,1.2124715009775855e-08
