year,mon_DET matin_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,2.0130190847567064e-08
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,7.152706427149269e-09
1819,8.280840235741493e-09
1820,1.1866481131050932e-09
1821,0.0
1822,6.015369535816717e-09
1823,5.929612023614084e-09
1824,3.3684450784221553e-09
1825,8.805443041381977e-10
1826,6.1655889282974385e-09
1827,0.0
1828,9.172301251858528e-10
1829,4.286587973467704e-09
1830,1.2524203008013046e-08
1831,2.8064171431196883e-08
1832,1.7588959622116818e-08
1833,5.791814139399776e-09
1834,1.4935249481595747e-08
1835,9.075705520444899e-09
1836,2.6882999715205358e-09
1837,6.957891152126194e-09
1838,3.1560809521380406e-09
1839,6.9914751765765e-10
1840,2.547875410652267e-09
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,5.906911071384968e-10
1844,2.195424508855126e-09
1845,3.3481367123222583e-09
1846,5.854501328173001e-10
1847,8.089835468183537e-09
1848,2.413566457803995e-09
1849,8.379414939696517e-09
1850,7.467895635215882e-09
1851,1.1608989325395669e-08
1852,1.3021090872200602e-08
1853,1.0152284346531815e-08
1854,5.715230788627679e-09
1855,4.776243400783642e-09
1856,1.5531567143511893e-09
1857,9.274867096564776e-09
1858,1.9574704079872163e-09
1859,7.129042689513199e-09
1860,8.238931037407582e-09
1861,6.602349111872741e-09
1862,8.13237543972889e-09
1863,7.491931519609807e-09
1864,3.835782358407869e-09
1865,4.706844358715045e-10
1866,2.919367858567057e-09
1867,6.308654931785895e-09
1868,8.397785911107292e-09
1869,2.9301114867763545e-09
1870,9.747882945276842e-09
1871,1.3807530674370128e-08
1872,1.8142017887967654e-09
1873,7.183205474881049e-09
1874,5.974609140757536e-10
1875,1.7164581422868253e-09
1876,4.232210359944588e-09
1877,8.658742611800108e-09
1878,4.831270938865373e-09
1879,3.054662633950045e-09
1880,1.2835692508872398e-09
1881,1.3945015142624584e-09
1882,3.9932310791357395e-09
1883,6.319338941018771e-10
1884,6.601696966868076e-09
1885,6.445635691854079e-10
1886,4.5174246565693466e-09
1887,1.5016526688782506e-08
1888,1.268122939990235e-09
1889,6.265136853755848e-09
1890,9.831579994568074e-09
1891,3.824531802365527e-09
1892,6.268512375839919e-10
1893,3.6950498771837204e-09
1894,2.520615716150587e-09
1895,9.629783193076946e-09
1896,5.89702897624278e-10
1897,2.330685422435863e-09
1898,5.092519295146758e-09
1899,2.2110313580014918e-09
1900,1.038210628578895e-09
1901,2.794369402536745e-09
1902,4.419255628107521e-09
1903,6.48026410310365e-09
1904,2.6873125946735854e-09
1905,5.1607592088664944e-09
1906,7.201858442940079e-09
1907,1.5428529565042481e-09
1908,5.402527980535865e-09
1909,6.601180269072415e-09
1910,3.7409054742809644e-09
1911,9.044636151145369e-09
1912,5.2094211167030835e-09
1913,1.3787773589513108e-08
1914,9.375441145653696e-09
1915,1.1780761921542648e-09
1916,0.0
1917,3.289927441585405e-09
1918,9.189101035644853e-09
1919,3.6831394045755417e-09
1920,5.300562211374427e-09
1921,1.2116395886607734e-08
1922,9.591315908163978e-09
1923,8.492758496458919e-09
1924,1.418078654502608e-08
1925,1.9796720263087764e-08
1926,1.8948435376309192e-08
