year,son_DET or_NOUN
1800,1.25452167765161e-06
1801,1.0381955606320048e-06
1802,9.95838888684375e-07
1803,1.0044246694373982e-06
1804,1.2977217114240602e-06
1805,9.950072372699736e-07
1806,7.578790048867745e-07
1807,9.394952158459091e-07
1808,1.0741191260876803e-06
1809,9.82678247218871e-07
1810,9.407309633502337e-07
1811,1.0178731670862362e-06
1812,6.107906798114016e-07
1813,8.655982277616658e-07
1814,9.471498465529749e-07
1815,1.1220449911419905e-06
1816,1.0614625640670283e-06
1817,9.761595762824982e-07
1818,8.750144031566265e-07
1819,1.1613878356797613e-06
1820,1.301752971194503e-06
1821,8.924646834884697e-07
1822,8.431543250253526e-07
1823,9.872803836685762e-07
1824,1.142745000848322e-06
1825,1.0997997854644836e-06
1826,1.026130223347188e-06
1827,6.885303113213226e-07
1828,7.989074619629832e-07
1829,9.207591245008473e-07
1830,7.723258761416218e-07
1831,6.89131281594868e-07
1832,8.104451931778556e-07
1833,1.0911778209887757e-06
1834,9.455880087827495e-07
1835,8.417716941266917e-07
1836,8.078341666717392e-07
1837,9.170500074873189e-07
1838,9.076888827230789e-07
1839,7.858418245021426e-07
1840,8.917564064958583e-07
1841,8.539329705570253e-07
1842,1.0042272644561479e-06
1843,9.297478165137818e-07
1844,9.270180119091975e-07
1845,8.05226888278554e-07
1846,8.418772874385638e-07
1847,8.612977966393487e-07
1848,8.302668921267298e-07
1849,8.320759299351721e-07
1850,8.106061244461671e-07
1851,8.010203007557948e-07
1852,7.747549211067906e-07
1853,8.181546871099954e-07
1854,6.785537687292731e-07
1855,8.761753029773445e-07
1856,6.947788167011026e-07
1857,8.630508023799166e-07
1858,8.015841483910435e-07
1859,9.57837786197402e-07
1860,9.07655541837471e-07
1861,8.328392091527803e-07
1862,8.588691873256948e-07
1863,8.161210391932627e-07
1864,7.091402398629043e-07
1865,8.458199216576645e-07
1866,8.037992778042735e-07
1867,8.201251535666643e-07
1868,6.871364561789051e-07
1869,7.676892104235833e-07
1870,7.012741516376764e-07
1871,6.691341827291808e-07
1872,6.839540471759165e-07
1873,5.596914229855088e-07
1874,6.10007602652729e-07
1875,6.60264239726871e-07
1876,6.511557675281665e-07
1877,6.957918161631937e-07
1878,5.284202395650084e-07
1879,6.763023017164471e-07
1880,6.052028771463824e-07
1881,6.066081423838909e-07
1882,6.442412558982369e-07
1883,5.207135540530317e-07
1884,6.03395125864381e-07
1885,5.240301841347161e-07
1886,6.434103374530764e-07
1887,4.642065440929599e-07
1888,5.788981156662487e-07
1889,4.836685678633046e-07
1890,4.771593222763215e-07
1891,5.341596658325898e-07
1892,5.353309795452788e-07
1893,5.129961102579017e-07
1894,4.801772890417055e-07
1895,6.157042493626363e-07
1896,4.876842885082056e-07
1897,4.876959378563583e-07
1898,4.6002423870206144e-07
1899,5.162758043297799e-07
1900,5.684203263633947e-07
1901,4.4989349268220735e-07
1902,4.104997359810625e-07
1903,3.866557785059399e-07
1904,3.568751072435816e-07
1905,4.2576262693216904e-07
1906,4.0381847998816056e-07
1907,3.908560906040748e-07
1908,4.543034899384679e-07
1909,4.2357574336904236e-07
1910,4.6440669576597315e-07
1911,4.080726885291597e-07
1912,4.3550760508992425e-07
1913,4.5923891800470074e-07
1914,5.156492521862788e-07
1915,7.056676145644758e-07
1916,8.735032057671788e-07
1917,7.204940737359777e-07
1918,6.133725038992566e-07
1919,5.312928510470272e-07
1920,6.125935283485262e-07
1921,4.369475385956889e-07
1922,5.179310766934009e-07
1923,5.509677052373263e-07
1924,5.053516742847819e-07
1925,5.279125154800113e-07
1926,5.305561736612674e-07
1927,4.86106193520186e-07
1928,4.821789429954038e-07
1929,3.7654574125411955e-07
1930,4.190937912262882e-07
1931,4.5621427080533294e-07
1932,5.446889931315368e-07
1933,3.590317374513319e-07
1934,4.52903742953481e-07
1935,4.1769310410444405e-07
1936,4.38914678824176e-07
1937,4.0669312006968994e-07
1938,4.200729367687117e-07
1939,3.8235127419739e-07
1940,4.057252613876017e-07
1941,4.899494241428215e-07
1942,3.9444752530926053e-07
1943,4.412917617990786e-07
1944,4.3378013181438746e-07
1945,4.5530733450149796e-07
1946,4.329463472174666e-07
1947,3.7073909719964604e-07
1948,4.533577246945697e-07
1949,3.7402802854913375e-07
1950,3.935083658923588e-07
1951,4.2219152396327786e-07
1952,3.4481507549255497e-07
1953,3.436851003790764e-07
