year,ton_DET auteur_NOUN
1800,2.2009150946189493e-08
1801,2.619300909501021e-08
1802,5.147032311469957e-08
1803,9.75169611727722e-09
1804,3.707776397021689e-08
1805,9.665784261869703e-08
1806,2.0171683878800195e-08
1807,3.9857372513552036e-08
1808,1.1330369531492579e-08
1809,1.355418288717658e-08
1810,9.360507036149102e-09
1811,0.0
1812,5.3344164641089264e-09
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,4.585280044544504e-08
1816,6.952811659743929e-09
1817,1.0898114077839693e-08
1818,2.2650237241350624e-08
1819,3.2088255608186955e-08
1820,2.3732961373923445e-08
1821,1.7750679148775816e-08
1822,3.408709403629473e-08
1823,9.882686891060644e-09
1824,3.3684450784221553e-08
1825,1.937197424695114e-08
1826,1.7615968905815294e-08
1827,9.217272889383565e-09
1828,2.0179061976932644e-08
1829,9.430493552731178e-09
1830,3.1310508408211035e-08
1831,1.5591206548037917e-08
1832,1.623596324051846e-08
1833,2.6642345218874652e-08
1834,1.0267983796552471e-08
1835,1.8151411040889798e-08
1836,1.8146025126952736e-08
1837,2.6439984868176225e-08
1838,8.837027110075724e-09
1839,6.292327769941153e-09
1840,1.0191502031187127e-08
1841,1.5409316933556738e-08
1842,6.708265054555795e-09
1843,1.2995204023980023e-08
1844,8.781698035420504e-09
1845,1.4508592549589139e-08
1846,7.025401593807601e-09
1847,1.240441438454809e-08
1848,3.218088684420195e-09
1849,2.011059585527164e-08
1850,6.1100964288129944e-09
1851,2.1283147688677673e-08
1852,2.148479971708639e-08
1853,1.19438634538227e-08
1854,1.4028294137435893e-08
1855,1.963566731433275e-08
1856,1.1389815923745772e-08
1857,8.298565390418844e-09
1858,9.297984604472731e-09
1859,1.0184346477259965e-08
1860,1.9681890062184237e-08
1861,9.431927239234028e-09
1862,2.439712612489764e-08
1863,2.0977406756106376e-08
1864,1.917891112590553e-08
1865,1.3179163982357522e-08
1866,1.3137154475373336e-08
1867,1.261730986357179e-08
1868,1.4325635011580573e-08
1869,1.4162205741463652e-08
1870,1.548193129252695e-08
1871,1.0621176826930423e-08
1872,1.693255047285902e-08
1873,1.1972009161809183e-08
1874,2.3898436563030145e-09
1875,1.0298748520654044e-08
1876,1.0278225381910033e-08
1877,3.154256233983688e-08
1878,1.5701630218245555e-08
1879,1.3440516033469407e-08
1880,5.776061406947974e-09
1881,8.367009307619355e-09
1882,1.0648616211028639e-08
1883,1.3902546058819354e-08
1884,1.386356363042296e-08
1885,1.0957580676151935e-08
1886,7.098810372863085e-09
1887,6.528924512139156e-09
1888,5.706553229956057e-09
1889,2.506054641582267e-09
1890,3.9326319978272295e-09
1891,3.824532024410132e-09
1892,6.268512375839919e-09
1893,3.695050043717174e-09
1894,3.150769645188234e-09
1895,2.4074457982692365e-09
1896,1.3563166589847242e-08
1897,6.4093849116986235e-09
1898,6.7900258748920805e-09
1899,2.2110313580014918e-09
1900,4.671947717582725e-09
1901,8.383108485165991e-09
1902,1.9641135384773634e-09
1903,9.1803746826713e-09
1904,8.061937784020756e-09
1905,1.290189799441066e-08
1906,9.773950870872739e-09
1907,3.599990305858114e-09
1908,8.349361202419914e-09
1909,6.051082024338683e-09
1910,2.191101766690906e-08
1911,9.576673676292558e-09
1912,4.1675369266691575e-09
1913,6.36358749028787e-09
1914,4.018046229070649e-09
1915,4.712304768617059e-09
1916,4.394984820521586e-09
1917,7.676497215669542e-09
1918,0.0
1919,7.366278753639932e-09
1920,7.572231730534895e-09
1921,9.844572046446842e-09
1922,7.377935484775833e-10
1923,1.0615948120573648e-08
1924,2.0626598873363378e-08
1925,1.0998178368026856e-08
1926,5.57306911730393e-09
1927,6.689535148041159e-09
1928,5.713020723163709e-09
1929,6.684243825105796e-09
1930,4.201441416995522e-09
1931,6.843213995466613e-09
1932,4.383814644626227e-09
1933,3.4411986593596566e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,4.849885826274658e-09
1937,6.295559185076627e-09
1938,5.186085783037697e-09
1939,0.0
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,8.709705623388686e-09
1944,1.2852744646352221e-08
1945,1.3071024262956144e-08
1946,8.352662561605939e-09
1947,3.5762612871081956e-09
1948,2.174377566888097e-09
1949,5.890204768377316e-09
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,3.163441175679793e-09
1953,9.69644453618912e-09
1954,4.886268278880834e-09
1955,8.447047061821422e-09
1956,3.488456634670456e-09
1957,5.301022620862739e-09
1958,5.790570467567591e-09
1959,7.750747821333448e-09
1960,4.844583290086746e-09
1961,4.863711378089164e-09
1962,2.5367825617905737e-09
1963,5.819447923549603e-09
1964,4.258777719368112e-09
1965,5.472043373977442e-09
1966,4.985167390003653e-09
1967,9.367637721080513e-09
1968,5.838840522187638e-09
1969,2.2708788738334817e-09
1970,5.058597374318907e-09
1971,6.679916730867319e-09
1972,5.130146973897354e-09
1973,1.2129048210240967e-08
1974,3.937900228123681e-09
1975,5.140332159925265e-09
1976,2.8567634369203176e-09
1977,7.052138428775834e-09
1978,4.158413835497754e-09
1979,4.681578791299046e-09
1980,6.2536656408873625e-09
1981,8.85576922904363e-09
1982,9.9320033308814e-09
1983,6.315316269933646e-09
1984,9.278413870550395e-09
1985,6.015558051686298e-09
1986,3.5966913891627428e-09
1987,7.944062296871834e-09
1988,4.1975875553212916e-09
1989,6.585746614717891e-09
1990,3.814055737905164e-09
1991,3.5168792322792797e-09
1992,5.509944278614398e-09
1993,6.093128335216136e-09
1994,3.692448680148175e-09
1995,2.7112254663563817e-09
1996,5.871901409548741e-09
1997,6.712852052004337e-09
1998,8.105819682135973e-09
1999,5.027221222642098e-09
2000,3.5344251969604557e-09
2001,4.8193330159929104e-09
2002,7.448076544402937e-09
2003,5.833692307000149e-09
2004,8.809582507929292e-09
2005,6.3052495447024626e-09
2006,8.235780057930242e-09
2007,1.1583990683350365e-08
2008,2.9802078582719105e-09
2009,5.721831231042529e-09
2010,9.919965349158844e-09
2011,8.412738006224885e-09
2012,9.531907818605134e-09
2013,1.171432534308181e-08
2014,1.3642304286243245e-08
2015,1.4851054747078152e-08
2016,1.3463710424321818e-08
2017,8.804639961557115e-09
2018,1.1100306895883705e-08
2019,1.7091617399156434e-08
