year,bien_ADV être_VERB,bien_ADV etre_VERB,bien_ADV mettre_VERB
1800,4.974068360752426e-06,0.0,4.244622004989651e-07
1801,4.698073098552413e-06,0.0,5.595779271061474e-07
1802,4.844923751079477e-06,4.475680270843441e-09,4.0281122437590966e-07
1803,4.183477813057834e-06,3.900678446910888e-09,4.212732847008738e-07
1804,4.674270257964963e-06,7.4155526164076946e-09,4.572924297008285e-07
1805,5.142765985510778e-06,1.421438877713399e-08,5.827899371979584e-07
1806,4.80374228573055e-06,2.0171682990621775e-08,4.6394873720601026e-07
1807,4.264738890924491e-06,3.701041828563234e-08,4.014206638203177e-07
1808,4.937775429425528e-06,4.5321479902327155e-09,3.9203081314553856e-07
1809,4.210832685203059e-06,2.259030518203531e-09,3.5466780445858603e-07
1810,4.3666764213412534e-06,7.020380277111826e-09,4.516444676028186e-07
1811,3.973716502514435e-06,7.521229861140455e-09,3.1839874736760976e-07
1812,4.90232878291863e-06,5.3344164641089264e-09,3.9741402702020423e-07
1813,5.213719759922242e-06,5.751483289628823e-09,5.435151706478791e-07
1814,4.534361778496532e-06,3.1466772298927026e-08,3.492811515570793e-07
1815,4.2346409827587195e-06,8.091670444798638e-09,3.128779439975915e-07
1816,4.197180714982096e-06,1.3905623319487859e-08,3.4532297377154464e-07
1817,5.193729521124624e-06,3.113746815941454e-09,4.141283227454551e-07
1818,4.794697360921418e-06,5.960588467246453e-09,4.863840104007977e-07
1819,4.6331301746249665e-06,2.070210003424222e-09,3.9748033486830536e-07
1820,4.67420704808319e-06,1.0679833017945839e-08,5.173785666556796e-07
1821,5.552017682930455e-06,3.94459531705138e-09,6.054953587408818e-07
1822,5.43388387086452e-06,7.017931125119503e-09,4.7621676912967814e-07
1823,6.071923053241335e-06,9.882686891060644e-10,3.8740131458325777e-07
1824,4.9061404752137605e-06,3.3684450784221553e-09,5.574776764660783e-07
1825,5.159109150554286e-06,1.3208164117983756e-08,4.754939197937347e-07
1826,4.849676315643592e-06,0.0,4.782735345543188e-07
1827,4.304466528992634e-06,9.217273055917019e-10,3.355087301315507e-07
1828,5.2548111852956936e-06,4.586150570418113e-09,4.1917417092918186e-07
1829,5.0410276344337035e-06,8.57317605795771e-10,5.366808295548253e-07
1830,5.212155883782543e-06,9.39315203396518e-09,3.433719086842757e-07
1831,5.265150321065448e-06,3.1182412207897414e-09,3.2273797501147783e-07
1832,6.168313120724633e-06,5.411987746839486e-09,6.034366606399999e-07
1833,5.1720899136853404e-06,2.3167257001688313e-09,4.784038765137666e-07
1834,4.805416665476514e-06,1.0267983796552471e-08,4.1912042547664896e-07
1835,5.139118457009317e-06,1.0588323107185715e-08,3.5395251529735106e-07
1836,4.858430202148156e-06,1.0753200108126748e-08,4.79189452562423e-07
1837,5.120311925566057e-06,1.113262537710824e-08,4.397386987875507e-07
1838,4.463960976863746e-06,1.199310784016916e-08,4.582629458127485e-07
1839,4.285075192456134e-06,7.690622361167243e-09,4.935981223752606e-07
1840,4.319922936701914e-06,1.4013315285943406e-08,4.210364181744808e-07
1841,4.9804193622549064e-06,1.2841097074556274e-08,4.3467113641781907e-07
1842,4.349638857092941e-06,1.475818312002275e-08,4.487829414756561e-07
1843,4.767467999045039e-06,1.2404512972352677e-08,4.4124624309915816e-07
1844,4.81346842207131e-06,9.879410234336916e-09,4.143863634453737e-07
1845,4.4742268983100075e-06,1.1160455670733427e-08,4.073566515216953e-07
1846,4.890850505034905e-06,7.025401593807601e-09,4.6660375119245145e-07
1847,4.409499524626881e-06,8.089835468183537e-09,4.379297706691432e-07
1848,4.725763119495241e-06,2.0917576726287024e-08,4.199605712074117e-07
1849,4.35059246228775e-06,1.0893239199560867e-08,4.6002986664461787e-07
1850,4.4257467379793525e-06,9.504594444820214e-09,6.245876420507557e-07
1851,4.742272267321823e-06,4.514607354622058e-09,4.3920678649556066e-07
1852,4.776787136506755e-06,7.161600201754936e-09,3.971432818161702e-07
1853,4.828306828130735e-06,1.1346670270029335e-08,5.183636631045374e-07
1854,4.465673555387184e-06,1.3508727303435109e-08,5.897078949601564e-07
1855,4.399981662572827e-06,7.960405667972736e-09,5.349392608877679e-07
1856,4.5222745939099696e-06,9.836659486950339e-09,4.928684234073444e-07
1857,4.873210400546668e-06,1.3180074809326925e-08,6.458236612161272e-07
1858,4.9974219109572005e-06,1.6638498356869036e-08,6.283480047386547e-07
1859,4.784606062457897e-06,1.171199848215565e-08,4.832472768612206e-07
1860,4.54514383818605e-06,7.781212646440494e-09,4.934204298479017e-07
1861,4.877249466517242e-06,1.0375120318428799e-08,5.206424020798295e-07
1862,5.35742810825468e-06,1.1294965851504912e-08,5.222792083259264e-07
1863,4.940179678669665e-06,1.7980635647063536e-08,5.504072078110767e-07
1864,5.016723662265576e-06,1.6781548595190543e-08,5.231048021414608e-07
1865,5.063152457296383e-06,1.0355057256106193e-08,4.819808623324207e-07
1866,5.09235042045475e-06,6.811858188626729e-09,5.006715468880429e-07
1867,5.065364803158445e-06,1.3102591012170706e-08,5.46426576875092e-07
1868,4.7630264816689305e-06,1.4325635011580573e-08,6.40207701962936e-07
1869,5.357220288715325e-06,1.6115612622158437e-08,6.21183630755695e-07
1870,4.880822416453157e-06,1.1468097582678638e-08,6.295985599535925e-07
1871,4.910170446237316e-06,1.3807530230280918e-08,6.107176773184619e-07
