year,ancien_ADJ arbre_NOUN,ancien_ADJ marbre_NOUN
1800,1.5720821977538435e-08,2.5153315874604232e-08
1801,0.0,0.0
1802,1.1189200677108602e-08,3.3567602031325805e-08
1803,0.0,7.606323038089613e-08
1804,0.0,0.0
1805,5.685755422035754e-09,2.55858996212055e-08
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,2.4926814390369145e-08
1809,6.7770917766551975e-09,0.0
1810,0.0,2.574139479349924e-08
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,2.490997452753163e-08,1.556873407970727e-09
1818,3.5763532135746345e-09,7.152706427149269e-09
1819,0.0,2.173720581311045e-08
1820,3.5599443393152796e-09,9.493184904840746e-09
1821,5.9168927535324656e-09,9.86148829262845e-10
1822,5.012807946513931e-09,0.0
1823,6.917880934764753e-09,9.882686891060644e-10
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,0.0,7.924898959288385e-09
1826,0.0,7.927186018719112e-09
1827,5.530363722527909e-09,4.608636583469661e-09
1828,2.7516904310687096e-09,8.255071293206129e-09
1829,0.0,1.7146351893870815e-08
1830,1.0436836106464398e-07,9.39315203396518e-09
1831,3.1182412207897414e-09,1.4032085715598441e-08
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,8.401078055442213e-09
1835,1.0588323107185715e-08,3.025235173481633e-09
1836,6.720750067579218e-10,1.1425274948351216e-08
1837,1.3915781860163179e-09,9.045257876039159e-09
1838,6.943378316748294e-09,2.5248647617104325e-09
1839,2.0974426639952526e-09,1.4682098203877558e-08
1840,1.2739377330817092e-09,1.2102408852854296e-08
1841,3.852329122366882e-09,2.5682194149112547e-09
1842,6.708265054555795e-10,4.695785538189057e-09
1843,5.906911071384968e-10,1.7720733769266417e-09
1844,5.488561161115513e-09,2.7442805805577564e-09
1845,6.138250796539069e-09,4.464182357111213e-09
1846,1.1709002656346001e-09,9.367202125076801e-09
1847,3.775256551818984e-09,1.6179670936367074e-09
1848,2.976732105253177e-08,3.218088684420195e-09
1849,1.3407063903514427e-08,1.0893239199560867e-08
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,8.384270167027807e-09,1.1608989325395669e-08
1852,1.9531636308300904e-09,7.812654523320361e-09
1853,2.9859659189668264e-09,3.5831591027601917e-09
1854,3.63696517347023e-09,6.754363734984281e-09
1855,4.776243400783642e-09,1.0083180512765466e-08
1856,9.318940286107136e-09,3.6240324075009767e-09
1857,3.4170564155999728e-09,3.905207268672939e-09
1858,1.0766087576996597e-08,2.4468380654951716e-09
1859,3.055304009791371e-09,7.638259802433822e-09
1860,8.696649622663699e-09,1.373155145145688e-09
1861,4.715963730639317e-10,7.545541969022906e-09
1862,1.8071945051545413e-09,0.0
1863,4.994620828036034e-10,1.4983863039219614e-09
1864,4.794727948009836e-10,0.0
1865,5.6482134525026595e-09,6.589582213223366e-09
1866,2.919367858567057e-09,1.4596839292835284e-09
1867,1.455843445796745e-09,9.7056229719783e-09
1868,1.4819622196071691e-09,9.87974813071446e-10
1869,5.371870948067681e-09,9.767038289254515e-10
1870,5.734048791339319e-10,1.7202146374017957e-09
1871,7.434824311758348e-09,1.0621177271019633e-09
1872,5.442605477412599e-09,6.047339295989218e-10
1873,5.986004469882289e-10,5.387403856360606e-09
1874,2.3898436563030145e-09,0.0
1875,7.437985338754061e-09,5.721527140956084e-10
1876,0.0,1.813804395567331e-08
1877,4.9478527941460015e-09,9.27722432209066e-09
1878,4.831270938865373e-09,6.039088673581716e-10
1879,6.10932526790009e-10,1.832797580370027e-09
1880,6.417846254436199e-09,5.134277003548959e-09
1881,1.3945015142624584e-09,0.0
1882,2.6621540527571597e-09,1.9966155395678697e-09
1883,1.516641390253426e-08,8.21514056781325e-09
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,7.7347630522695e-09,1.933690763067375e-09
1886,4.5174246565693466e-09,2.5813855497602844e-09
1887,2.6115698492645834e-09,6.528924623161458e-10
1888,1.268122939990235e-09,1.9021844099853524e-09
1889,9.397704836544563e-09,2.5060546970934183e-09
1890,6.554386366985909e-09,1.3108772956016423e-09
1891,3.1871101313640793e-09,0.0
1892,1.8805537127519756e-09,0.0
1893,1.0469308087124318e-08,0.0
1894,3.150769645188234e-09,1.2603078580752936e-09
1895,1.8055843487019274e-09,0.0
1896,1.179405795248556e-09,6.486732040400511e-09
1897,1.7480140668268973e-09,0.0
1898,5.6583548957434e-10,5.6583548957434e-10
1899,2.7637891975018647e-09,0.0
1900,5.191053142894475e-10,0.0
1901,0.0,5.588738916095792e-10
1902,6.38336894454028e-09,7.365425602756659e-09
1903,8.640352433531007e-09,0.0
1904,1.289910045443321e-08,5.374625189347171e-10
1905,6.192911072844254e-09,0.0
