year,ton_DET or_NOUN,ton_DET mort_NOUN
1800,8.489243885634323e-08,0.0
1801,5.000483582762172e-08,0.0
1802,8.727576528144709e-08,0.0
1803,1.677291692203653e-07,0.0
1804,1.038177401824214e-07,2.4718509461507665e-09
1805,1.5635827521620627e-07,0.0
1806,5.187004248341509e-08,0.0
1807,1.2526602510831708e-07,5.693910232196231e-09
1808,4.5321478125970316e-08,6.798221985349073e-09
1809,5.1957703028904234e-08,2.0331274441787173e-08
1810,2.574139346123161e-08,2.3401267590372754e-09
1811,1.0279014617253779e-07,0.0
1812,5.3344165529267684e-08,0.0
1813,8.339650747757332e-08,0.0
1814,6.293354370967563e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,3.580808893843823e-08,0.0
1818,7.629553699928238e-08,0.0
1819,6.003609098748086e-08,0.0
1820,6.76389415588119e-08,3.5599443393152796e-09
1821,1.4003314019461754e-07,0.0
1822,7.21844344298006e-08,1.0025615893027862e-08
1823,6.917880635004536e-08,9.882686891060644e-10
1824,7.242156652154108e-08,0.0
1825,7.220463604795668e-08,1.7610886082763955e-09
1826,5.196710661792281e-08,3.5231937367541377e-09
1827,4.7929820112813104e-08,0.0
1828,1.0915038473058303e-07,1.559291185060374e-08
1829,5.572564276690173e-08,0.0
1830,4.696576283436116e-08,3.1310507520032616e-09
1831,1.1225668572478753e-07,3.1182412207897414e-09
1832,7.441482807735156e-08,4.058990921151917e-09
1833,1.1699465041203894e-07,1.1583628500844156e-09
1834,1.0267983929779234e-07,1.8669061851994684e-09
1835,6.958040899007756e-08,1.0588323107185715e-08
1836,1.1694105372939134e-07,6.048674894287842e-09
1837,7.862416850912268e-08,7.653680356156656e-09
1838,4.1660269900489766e-08,6.312161682231476e-09
1839,9.50840624014404e-08,6.9914751765765e-10
1840,5.6690229399691816e-08,6.369688665408546e-10
1841,7.255219980351058e-08,2.1829865914924085e-08
1842,9.056157512787877e-08,1.0062397137744483e-08
1843,1.1636614738463891e-07,2.3627644285539873e-09
1844,4.8299337418455934e-08,1.097712254427563e-09
1845,7.644912036752771e-08,2.2320911785556063e-09
1846,8.196302081486806e-08,1.7563503984519002e-09
1847,5.662884650092792e-08,1.5101026207275936e-08
1848,4.263967567919025e-08,2.413566457803995e-09
1849,5.614208120618969e-08,0.0
1850,3.937617609750532e-08,6.788996032014438e-10
1851,7.22337163416853e-08,1.9348316282474798e-09
1852,5.9245962802378926e-08,0.0
1853,5.4344578614973216e-08,3.5831591027601917e-09
1854,5.6632741163298306e-08,1.0391328908454511e-09
1855,8.331890910540096e-08,3.714855978387277e-09
1856,4.245295315286057e-08,5.177189232874468e-10
1857,1.1081025430570435e-07,0.0
1858,9.542668333306636e-08,1.4191660291373864e-08
1859,6.517981754328162e-08,7.638259802433822e-09
1860,8.833965159382728e-08,7.323494144451104e-09
1861,8.064297785104202e-08,9.431927239234028e-09
1862,9.713670667821361e-08,4.517986429419807e-09
1863,7.541877550254483e-08,1.4983863039219614e-09
1864,1.0212770851225628e-07,3.548098559402746e-08
1865,6.636650229374652e-08,0.0
1866,8.855415245534459e-08,1.0217787504984699e-08
1867,6.551295683721037e-08,2.91168689159349e-09
1868,6.4218362849644e-08,2.9639244392143382e-09
1869,7.422949188651273e-08,0.0
1870,4.185855440042019e-08,5.734048791339319e-10
1871,8.072094370703553e-08,1.0621177271019633e-09
1872,5.3821318624081016e-08,6.047339295989218e-10
1873,4.968383748860106e-08,5.986004469882289e-10
1874,7.82673765797881e-08,2.3898436563030145e-09
1875,6.808617553089036e-08,5.721527140956084e-10
1876,6.227395310531847e-08,4.836811839936672e-09
1877,4.51491583008945e-08,1.8554447978047506e-09
1878,3.2611077338540184e-08,1.2078177347163432e-09
1879,5.803859082220697e-08,2.5659165459046562e-08
1880,6.610381309002378e-08,6.417846254436199e-10
1881,4.183504487276224e-08,1.3945015142624584e-09
1882,6.389169482368118e-08,1.9966155395678697e-09
1883,6.256145379524014e-08,5.687404991405742e-09
1884,6.931781992847164e-08,6.601696966868076e-10
1885,4.383032448096458e-08,0.0
1886,6.711602551501272e-08,3.872078380151578e-09
1887,4.635536360320103e-08,1.9586774424595887e-09
1888,5.516334833366443e-08,3.1703073499755874e-09
1889,4.9494580878217675e-08,6.265136853755848e-09
1890,3.8015443237782165e-08,4.5880703680722945e-09
1891,6.756673087693343e-08,3.1233678754460925e-08
1892,4.387958751905785e-08,3.1342561879199593e-09
1893,5.234654043562159e-08,6.158416554491453e-10
1894,2.6466464575491955e-08,1.8904617871129403e-09
1895,6.921406359161608e-08,6.018614495673091e-09
1896,3.597187570036908e-08,5.307326134129653e-09
1897,2.855089586972781e-08,2.913356778044829e-09
1898,2.82917743676947e-08,5.6583548957434e-10
1899,4.09040801230276e-08,1.6582735185011188e-09
1900,6.333085078580325e-08,0.0
1901,4.3592162823902214e-08,5.588738916095792e-10
1902,3.338993082024899e-08,4.910283846193408e-10
1903,3.186129982069019e-08,0.0
1904,2.1498500757388683e-08,3.7622376325430196e-09
1905,2.993240255655394e-08,1.5482277682110634e-09
1906,4.012463905578301e-08,0.0
1907,2.159994205719329e-08,2.5714217422034835e-09
1908,3.5362001771233054e-08,1.4734167219643268e-09
1909,4.510806661528477e-08,5.500983391026892e-09
1910,6.626746884563772e-08,0.0
1911,4.894744243255644e-08,2.6601871816467337e-09
1912,4.7405731506966475e-08,2.0837684910901544e-09
1913,6.045408240673567e-08,4.772690687104841e-09
1914,4.620753313311354e-08,3.3483718020477227e-09
1915,6.479418912519463e-08,0.0
1916,4.065361070004769e-08,1.0987461607214755e-08
1917,4.386569774084137e-08,1.0966424435210342e-09
1918,4.364822903113463e-08,4.594550517822427e-09
