year,en_ADP arrêts_NOUN,en_ADP marais_NOUN
1800,0.0,2.421006684016902e-07
1801,7.143547975374531e-09,3.238408412542526e-07
1802,6.713520406265161e-09,1.0741632650024258e-07
1803,0.0,2.5744477127886967e-07
1804,4.943701892301533e-09,2.447132352312309e-07
1805,3.695740957709859e-08,9.381496113292087e-08
1806,2.881669125542885e-08,1.4120178093435243e-07
1807,8.540865792383556e-09,2.0782772836014374e-07
1808,1.3596443970698147e-08,1.4729480968256325e-07
1809,1.129515236897305e-08,2.3268013649158092e-07
1810,0.0,1.708292529656319e-07
1811,2.5070767684098882e-09,1.1031137603367824e-07
1812,5.3344164641089264e-09,1.040211228264809e-07
1813,0.0,1.2365688917270745e-07
1814,0.0,2.0768068509369186e-07
1815,2.1577788444915313e-08,8.091670955501229e-08
1816,2.3176038865813098e-09,9.038654980031424e-08
1817,3.269434145636296e-08,9.341240314597599e-08
1818,1.5497530370112145e-08,1.3470930793069158e-07
1819,1.9666995143552413e-08,1.387040668987538e-07
1820,1.4239777357261119e-08,1.0679833195581523e-07
1821,1.4792232327920374e-08,1.1044866710108181e-07
1822,2.0051231786055723e-09,1.233150754842427e-07
1823,6.917880934764753e-09,1.4824029825888374e-07
1824,1.6842225392110777e-08,1.0863235555547135e-07
1825,2.289415235168235e-08,2.2189716153420136e-07
1826,2.1139161532346407e-08,1.1890779005874208e-07
1827,1.566936447261469e-08,1.2258972503786936e-07
1828,1.2841221419535032e-08,1.3299836609803606e-07
1829,3.5150023336427694e-08,1.6889157450350467e-07
1830,1.461157062010443e-08,1.669893663347466e-07
1831,1.091384405071949e-08,1.9177183308016765e-07
1832,3.6530916958099624e-08,1.2582871988797706e-07
1833,1.50587169400751e-08,1.8417969072093143e-07
1834,1.3068342852307069e-08,1.3348379468425264e-07
1835,7.563087933704082e-09,1.5353068505419287e-07
1836,1.2769425516978572e-08,1.5995385549416596e-07
1837,1.2524203896191466e-08,1.6698937777004375e-07
1838,1.8936485712828244e-09,1.3508026119879446e-07
1839,8.38977065598101e-09,1.9715960286603718e-07
1840,1.592422194107712e-08,1.1401742483485577e-07
1841,7.0626033910059505e-09,1.5409316045378318e-07
1842,3.957876515414682e-08,1.0397810967788246e-07
1843,2.1855571574747046e-08,1.1636614516419286e-07
1844,1.0977122322231025e-08,1.8880651353470057e-07
1845,1.0602432709561072e-08,1.3950570121323835e-07
1846,1.6392604607062822e-08,1.270426821520232e-07
1847,3.613459753637471e-08,1.86066208662794e-07
1848,1.689496542667257e-08,1.7297226406753907e-07
1849,1.005529792763582e-08,1.5753300108833912e-07
1850,6.788996032014438e-09,1.4528451064421688e-07
1851,1.9348316726564008e-08,1.289887814337476e-07
1852,9.765818376195057e-09,1.3672145215970488e-07
1853,2.030456869306363e-08,1.5168707534485293e-07
1854,7.79349651480743e-09,1.4651773821983127e-07
1855,2.0166361025530932e-08,1.5018631671637195e-07
1856,8.28350277259915e-09,1.1700447871687558e-07
1857,1.2203773103180993e-08,1.2399033266774495e-07
1858,1.9574704523961373e-08,1.1500138441533636e-07
1859,5.092173349652285e-09,1.0133425032421428e-07
1860,8.696649622663699e-09,1.299920249220321e-07
1861,1.226150558863992e-08,1.6364394639367674e-07
1862,8.132375661773494e-09,1.2605182322933395e-07
1863,2.946826249683454e-08,1.433456162658331e-07
1864,2.7329949858767577e-08,1.4575972784314217e-07
1865,1.4120533187167439e-08,1.5485517895763579e-07
1866,1.8489329178805747e-08,1.2164031792938346e-07
1867,9.7056229719783e-09,1.319964777479754e-07
1868,1.6301584082611953e-08,1.1707501812452392e-07
1869,1.6115613732381462e-08,1.3283171540479088e-07
1870,4.587239033071455e-09,1.462182379619037e-07
1871,6.37270636261178e-09,1.4657224611802633e-07
1872,2.116568786902917e-08,1.0885210555144909e-07
1873,1.5563610844537834e-08,1.2570609841944247e-07
1874,4.779687312606029e-09,1.2606424881766998e-07
1875,7.437985338754061e-09,1.6306351824368903e-07
1876,1.5115036333668286e-08,1.7533443630313172e-07
1877,2.535774612510977e-08,1.9605867351835116e-07
1878,2.5968081018845623e-08,1.256130406357414e-07
