year,en_ADP air_NOUN,en_ADP mers_NOUN
1800,9.023752340908686e-07,1.4777572943103223e-07
1801,4.4528114284680953e-07,7.381665767525192e-08
1802,2.506380951672327e-07,6.042168365638645e-08
1803,4.5442902552039754e-07,1.0726865440346955e-07
1804,3.8808059343864443e-07,2.521287925105753e-07
1805,2.7575912708854844e-07,5.685755510853596e-08
1806,3.7749865100522584e-07,8.645007198992971e-08
1807,2.0498076924724273e-07,6.547996633798903e-08
1808,2.062127402169267e-07,1.4276265858370607e-07
1809,2.4397530085096264e-07,2.710836710662079e-08
1810,1.7550951270095538e-07,2.152916604991617e-07
1811,2.0808736911348547e-07,5.0141537144554604e-08
1812,1.3869483117545656e-07,5.067695596494559e-08
1813,2.0992913585260453e-07,8.339650747757332e-08
1814,1.3530711839848664e-07,1.8880061958270744e-08
1815,2.8320846801044297e-07,4.5852800667489646e-08
1816,1.7150268938337376e-07,3.9399267848239106e-08
1817,1.3077736582545185e-07,1.4323235575375293e-07
1818,2.2888661255215936e-07,6.199012148044858e-08
1819,1.3870406800897683e-07,8.384350336232416e-08
1820,1.8511710120350244e-07,7.713212824000948e-08
1821,8.776724769177235e-08,8.57949515875589e-08
1822,1.0426640528748976e-07,5.3135764233047666e-08
1823,9.586206450862278e-08,4.5460360809101985e-08
1824,1.4905369027928828e-07,7.747424035642325e-08
1825,1.1270966804310945e-07,6.956300069305144e-08
1826,9.776862741617265e-08,6.165588928297439e-08
1827,1.6222400611720644e-07,8.203373330628594e-08
1828,1.4033620721054518e-07,4.1275356466030644e-08
1829,1.3717081515096652e-07,5.658296231558779e-08
1830,1.8786305133744463e-07,1.982998831806526e-08
1831,1.7306238930814288e-07,6.548306430431694e-08
1832,1.1094574858816486e-07,5.411987658021644e-08
1833,1.4247862734073635e-07,6.950177322551099e-08
1834,1.474855890748472e-07,8.214387037241977e-08
1835,1.1722786297241328e-07,7.487457054367042e-08
1836,1.9624590608113834e-07,3.8308275662757296e-08
1837,9.253994626146067e-08,4.731365699228718e-08
1838,1.7484688585867048e-07,5.049729523420865e-08
1839,1.3143973565110656e-07,1.8876983531868063e-08
1840,1.1720227499623093e-07,3.821813265858509e-08
1841,1.4703056194775854e-07,2.632424900284036e-08
1842,1.1739464067517247e-07,3.018719141323345e-08
1843,1.9729083622355148e-07,3.9576305843613824e-08
1844,1.5203314940315238e-07,2.9089374464774664e-08
1845,1.9419193170167048e-07,3.7387527573873314e-08
1846,1.0362467706137579e-07,2.4003455667553908e-08
1847,9.977463566457345e-08,1.5101026207275936e-08
1848,7.562508130831702e-08,2.896279838182636e-08
1849,4.776266493422554e-08,3.351765998083067e-08
1850,1.0726613819400654e-07,2.851378333446064e-08
1851,9.28719168236114e-08,2.579775504329973e-08
1852,1.295598495154593e-07,3.059956199535918e-08
1853,1.8632426690423642e-07,3.523439673358553e-08
1854,1.5327209934579145e-07,4.260444780301853e-08
1855,1.645150575768639e-07,4.139410947345823e-08
1856,1.0457922500206607e-07,2.3815070804289462e-08
1857,1.649950125415245e-07,3.172980811427806e-08
1858,1.1793758891709416e-07,2.0553439838977283e-08
1859,9.522363986214089e-08,4.430190947424251e-08
1860,2.2016254042078742e-07,2.6089948951257824e-08
1861,1.787350306092783e-07,9.431927516789784e-09
1862,2.466820419877447e-07,2.4397126097142063e-08
1863,1.4883970733681195e-07,2.8469338886338846e-08
1864,9.829192038068868e-08,2.1096802527154068e-08
1865,8.425251213362017e-08,1.7415324293779122e-08
1866,1.7954111974916032e-07,1.216403244796993e-08
1867,1.465549051005155e-07,2.329349513274792e-08
1868,1.1262912769094413e-07,2.1735445443482604e-08
1869,1.3771524309813543e-07,1.4650557211837167e-08
1870,1.2614906896857292e-07,1.7202147262196377e-08
1871,1.115223595693493e-07,1.1683295220166201e-08
1872,1.5420715726577328e-07,1.9956219787786722e-08
1873,7.302925214558442e-08,3.412022664406322e-08
