year,en_ADP arche_NOUN,en_ADP marche_NOUN
1800,3.144164484325529e-09,8.171683475666214e-06
1801,4.7623651688866175e-09,6.183930963743478e-06
1802,0.0,7.492288659705082e-06
1803,1.950339223455444e-09,6.568742719537113e-06
1804,1.9774807569206132e-08,4.642135991161922e-06
1805,2.842877711017877e-09,7.505197118007345e-06
1806,5.76333825108577e-09,8.97639893082669e-06
1807,0.0,8.686060027685016e-06
1808,2.2660739951163578e-09,7.797561011102516e-06
1809,4.518061036407062e-09,9.46759701037081e-06
1810,4.680253518074551e-09,7.238012130983407e-06
1811,5.0141535368197765e-09,9.677316484157927e-06
1812,1.8670457180292033e-08,6.79071217746241e-06
1813,0.0,6.898904302943265e-06
1814,0.0,1.1318597898934968e-05
1815,0.0,8.558290574001148e-06
1816,3.476405652236281e-08,6.15092085354263e-06
1817,9.341240669868967e-09,8.461606739729177e-06
1818,1.7881765401739358e-08,1.1469364835647866e-05
1819,8.280840013696888e-09,8.531334970030002e-06
1820,1.1866481131050932e-09,1.0103121894644573e-05
1821,3.94459531705138e-09,8.015417733986396e-06
1822,1.0025615893027862e-09,7.897177965787705e-06
1823,9.882686891060644e-10,9.663291166361887e-06
1824,6.736890156844311e-09,1.093565697374288e-05
1825,5.283265824829186e-09,9.192001925839577e-06
1826,2.642395191543301e-09,9.166469681076705e-06
1827,0.0,8.56837687024381e-06
1828,3.668920500743411e-09,9.131025763053913e-06
1829,8.573175946935407e-09,8.003917173482478e-06
1830,1.1480519646056564e-08,7.13670851837378e-06
1831,1.2472964883158966e-08,8.692097253515385e-06
1832,2.705993873419743e-09,7.27777069187141e-06
1833,1.2741991461950875e-08,7.028945674392162e-06
1834,5.600718555598405e-09,6.939290415175492e-06
1835,2.0420337421001022e-08,8.327716386702377e-06
1836,1.747394939854985e-08,9.174495971819852e-06
1837,2.0873671680021744e-09,7.970264050527476e-06
1838,1.8936486156917454e-08,9.284559382649604e-06
1839,1.1885507689157748e-08,8.172335583367385e-06
1840,7.64362617644565e-09,1.0624004062265158e-05
1841,1.0272877659645019e-08,9.16533281269949e-06
1842,2.683306021822318e-09,9.082320502784569e-06
1843,5.31621990873532e-09,6.331617896648822e-06
1844,1.3172547497219966e-08,8.12252164905658e-06
1845,7.812318791877715e-09,8.152154805429745e-06
1846,8.196301637397596e-09,7.202792858151952e-06
1847,1.294373674909366e-08,8.833560968923848e-06
1848,5.63165514222419e-09,7.468379408237524e-06
1849,2.513824481908955e-09,7.508793714805506e-06
1850,1.0862393651223101e-08,8.317198989971075e-06
1851,1.2898877521649865e-08,8.209490260924213e-06
1852,3.906327261660181e-09,6.0912661865586415e-06
1853,7.763511611358354e-09,7.114959771570284e-06
1854,5.195664343204953e-09,7.378882855846314e-06
1855,2.175844215912548e-08,6.320562079054071e-06
1856,5.177189343896771e-09,7.222179192467593e-06
1857,1.9526036842965055e-08,8.984905434772372e-06
1858,9.787352261980686e-09,8.004096343938727e-06
1859,1.0693564034269798e-08,8.897045518097002e-06
1860,1.2816115280145368e-08,9.022087397170253e-06
1861,1.1789909493131745e-08,7.5295079113857355e-06
1862,1.7620147119146168e-08,8.66369009600021e-06
1863,1.4983863039219614e-08,8.04583487479249e-06
1864,3.835782536043553e-08,6.590832981601125e-06
1865,4.236159922843541e-09,7.440108674927615e-06
1866,1.1190909532388105e-08,7.617116807523416e-06
1867,1.4073153309368536e-08,7.53544554754626e-06
1868,2.6181332657415624e-08,9.290914931625593e-06
1869,1.12320943657096e-08,7.75600528868381e-06
1870,1.2614907340946502e-08,7.281668786163209e-06
1871,1.4869647957382881e-08,9.28928147914121e-06
1872,1.3304146673220885e-08,8.823672942526173e-06
1873,1.0774807712721213e-08,7.785995876474772e-06
1874,1.0156835705821265e-08,8.791636901150923e-06
1875,7.437985338754061e-09,7.43741293263156e-06
1876,2.0556450763820067e-08,7.396090040856507e-06
1877,1.6699003291265058e-08,7.166346222220454e-06
1878,1.2682086270032755e-08,7.0234600570984185e-06
1879,1.0385853066452455e-08,7.291479505511234e-06
1880,1.4761046607247863e-08,7.073750111885602e-06
1881,6.9725074602899895e-09,7.376215762633365e-06
1882,1.6638463051776853e-08,7.778814506309573e-06
1883,8.847074184359371e-09,7.584470495203277e-06
1884,5.281357573494461e-09,8.053410056163557e-06
1885,8.379326565943757e-09,8.842122952046338e-06
1886,2.065108462012688e-08,8.716693628230132e-06
1887,5.027272109714431e-08,8.847998287819792e-06
1888,1.8387781741679987e-08,9.221155778504908e-06
1889,4.385595886446936e-09,8.693503332324326e-06
1890,4.5880703680722945e-09,9.14992324396735e-06
1891,8.92390783491237e-09,9.938046787283383e-06
