year,mon_DET or_NOUN,mon_DET mort_NOUN
1800,1.1633408414368773e-07,3.144164484325529e-09
1801,1.0715321963061797e-07,2.3811825844433088e-09
1802,1.0070280609397742e-07,0.0
1803,9.361628405812894e-08,1.3652374342143503e-08
1804,1.3842365897964726e-07,0.0
1805,1.0518647619583987e-07,2.842877711017877e-09
1806,1.210301006082659e-07,0.0
1807,1.1387820464392462e-07,8.540865792383556e-09
1808,4.305540501903238e-08,0.0
1809,1.0165637687187257e-07,0.0
1810,6.318342293809565e-08,0.0
1811,9.777599174753959e-08,2.5070767684098882e-09
1812,8.001624962616916e-08,2.6672082320544632e-09
1813,3.7384642270765767e-08,0.0
1814,7.866693074731756e-08,0.0
1815,1.4295284955778698e-07,0.0
1816,5.0987283728431976e-08,0.0
1817,7.161617898709949e-08,0.0
1818,8.225612324608278e-08,1.1921177378582115e-09
1819,9.212434293193184e-08,2.070210003424222e-09
1820,2.088500679064964e-07,4.746592452420373e-09
1821,1.8145138369618508e-07,9.86148829262845e-10
1822,8.120748873352568e-08,4.010246357211145e-09
1823,1.413224272051039e-07,9.882686891060644e-10
1824,1.381062544325573e-07,8.421112696055388e-10
1825,6.427973353595462e-08,8.805443041381977e-10
1826,7.134467594482885e-08,1.7615968683770689e-09
1827,5.806882030778837e-08,9.217273055917019e-10
1828,1.1190207510614059e-07,7.3378408349533686e-09
1829,9.77342076158294e-08,7.715858174606183e-09
1830,1.0436835840010872e-07,3.1310507520032616e-09
1831,8.263339257297275e-08,1.4032085715598441e-08
1832,1.637126312292736e-07,2.705993873419743e-09
1833,2.2356402618051163e-07,1.1583628500844156e-09
1834,1.3255034403414356e-07,5.600718555598405e-09
1835,1.0890846624533879e-07,2.2689263801112247e-09
1836,1.2298972573709932e-07,4.032450096058682e-09
1837,1.6072728514782142e-07,1.0436836284100082e-08
1838,9.278878199125984e-08,1.704283669745621e-08
1839,1.0836786323853431e-07,2.7965901816529026e-09
1840,1.0127805277759805e-07,1.2739377330817092e-09
1841,1.1107548747446572e-07,1.926164472365599e-08
1842,1.422152213770289e-07,5.366612043644636e-09
1843,8.919435912080331e-08,4.134837805480629e-09
1844,7.46444339672081e-08,4.9397050894128824e-09
1845,1.2778722091599803e-07,5.022205318283568e-09
1846,8.606117085641074e-08,9.367202347121406e-09
1847,1.2512278502185836e-07,1.1865092020002521e-08
1848,9.010648333029891e-08,4.02261068899179e-09
1849,5.530413860199701e-08,5.865590679832167e-09
1850,1.1405512978512888e-07,1.3577992064028876e-09
1851,6.578427780290497e-08,6.449438760824933e-10
1852,9.375185161530908e-08,4.557381805270211e-09
1853,7.70379240400132e-08,7.1663179834757784e-09
1854,8.313062949127925e-08,2.0782657816909023e-09
1855,1.475328552658084e-07,4.776243400783642e-09
1856,1.0250834381331231e-07,1.0354378410237786e-08
1857,9.323682181872073e-08,2.928905395993553e-09
1858,7.634134790990288e-08,1.0766087576996597e-08
1859,1.5989423940432346e-07,1.5276520048956854e-09
1860,9.200139317044886e-08,6.408057640072684e-09
1861,9.007490908707894e-08,6.602349444939648e-09
1862,1.084316711974509e-07,6.3251809068187725e-09
1863,1.2536498195103718e-07,8.490855130105501e-09
1864,1.1027873991764636e-07,3.548098559402746e-08
1865,7.53095128480652e-08,4.706844469737348e-09
1866,1.196940804248925e-07,1.5569961542283295e-08
1867,1.0142376005717324e-07,4.85281148598915e-10
1868,5.829051508143834e-08,9.87974813071446e-10
1869,1.4455216934550208e-07,1.51389094593668e-08
1870,8.429052034131246e-08,4.013834153937523e-09
1871,8.072094637157079e-08,4.248470908407853e-09
1872,6.10781268894911e-08,3.628403577593531e-09
1873,7.183205408267668e-08,1.1373408881354408e-08
1874,8.42419886071255e-08,4.182226565063729e-09
1875,1.1900776364370813e-07,5.721527140956084e-10
1876,9.61316373171428e-08,2.3579457941735882e-08
1877,6.617753400828263e-08,6.184816214727107e-09
1878,4.5897075418022126e-08,5.435179861734696e-09
