year,bon_ADJ auteur_NOUN,bon_ADJ moteur_NOUN
1800,1.1633408592004457e-07,0.0
1801,7.381665945160876e-08,0.0
1802,1.0294064622939914e-07,8.951360541686881e-09
1803,1.2872238741579167e-07,0.0
1804,2.0021993307750563e-07,0.0
1805,1.194008660831969e-07,0.0
1806,1.2679344507660062e-07,5.76333825108577e-09
1807,1.252660255524063e-07,0.0
1808,1.291662181657216e-07,0.0
1809,4.969867051229926e-08,0.0
1810,1.7316938638600732e-07,0.0
1811,6.518399464638946e-08,0.0
1812,1.3069320914382843e-07,0.0
1813,8.627224912238773e-08,0.0
1814,2.5173416684509675e-08,0.0
1815,7.552225866902518e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,1.4478922594207688e-07,0.0
1818,1.2636447843661358e-07,0.0
1819,1.0040518516607477e-07,0.0
1820,1.0323838406378627e-07,0.0
1821,1.311577904061778e-07,0.0
1822,1.2732532184145384e-07,0.0
1823,1.1760397067295258e-07,9.882686891060644e-10
1824,6.821101283804865e-08,6.736890156844311e-09
1825,6.427973175959778e-08,0.0
1826,6.517908746062062e-08,0.0
1827,6.359918103271411e-08,2.7651818612639545e-09
1828,7.613009955775851e-08,9.172301251858528e-10
1829,1.0545006290385572e-07,0.0
1830,6.888311365749189e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,8.253281436054749e-08,0.0
1833,6.834340493533375e-08,0.0
1834,5.414027981487379e-08,0.0
1835,4.840376277570613e-08,0.0
1836,8.064900319793011e-08,0.0
1837,3.618103228131275e-08,1.3915781860163179e-09
1838,5.6809456916440126e-08,0.0
1839,6.292327725532232e-08,0.0
1840,3.7581162348754305e-08,0.0
1841,5.5216718308770396e-08,0.0
1842,3.4212153110502186e-08,0.0
1843,2.8943864194275193e-08,0.0
1844,3.3480223038395707e-08,1.097712254427563e-09
1845,4.464182268293371e-08,0.0
1846,8.781752192099646e-08,1.1709002656346001e-09
1847,4.0449179117274525e-08,0.0
1848,2.574470947536156e-08,4.82713291560799e-09
1849,2.011059585527164e-08,8.379414939696517e-10
1850,5.2275268558332755e-08,6.788996032014438e-10
1851,4.127640806927957e-08,1.9348316282474798e-09
1852,2.7344290387532055e-08,6.510545436100301e-10
1853,8.121827432816531e-08,0.0
1854,4.3124013693329744e-08,5.195664343204953e-09
1855,5.73149208094037e-08,0.0
1856,5.332504926514048e-08,5.177189232874468e-10
1857,6.053071122114062e-08,9.763018171682347e-10
1858,4.600055447667728e-08,4.893676130990343e-09
1859,4.83756465996521e-08,3.055304009791371e-09
1860,3.8448344952257685e-08,1.1900677776566226e-08
1861,3.678451881983236e-08,1.8863854922557266e-09
1862,7.906476193197953e-08,9.035972858839614e-09
1863,3.895804240316991e-08,0.0
1864,3.7878351788478426e-08,0.0
1865,5.6482132748669756e-08,9.41368871743009e-10
1866,4.7683007764476315e-08,1.9462451650298362e-09
1867,3.785192959071537e-08,3.396968040192405e-09
1868,4.643481732458099e-08,7.903798504571569e-09
1869,5.225365407035554e-08,1.4650557433881772e-09
1870,3.899153089292895e-08,1.1468097582678638e-09
1871,5.735435770759523e-08,0.0
1872,3.023669647994609e-08,5.442605477412599e-09
1873,4.549363552541763e-08,2.9930022904522957e-09
1874,5.1979100745835893e-08,1.1949218281515073e-09
1875,4.8060828816698375e-08,3.432916173551348e-09
1876,5.018192350547679e-08,8.464420275799966e-09
1877,4.886004489890183e-08,1.1132669008873108e-08
1878,6.28065197627592e-08,3.6234530931267273e-09
1879,3.7266884467257455e-08,8.55305515301552e-09
1880,6.867095314611049e-08,5.134277003548959e-09
1881,6.554157239158087e-08,3.4862537301449947e-09
1882,6.189508239273778e-08,7.986462158271479e-09
1883,3.6652167079154196e-08,8.847074184359371e-09
1884,5.149323722974941e-08,6.601696966868076e-10
