year,son_DET air_NOUN,son_DET maire_NOUN
1800,3.744699938579288e-06,6.91716168788048e-08
1801,3.2907943818827334e-06,6.191074675143682e-08
1802,3.01660844570506e-06,1.4769744893783354e-07
1803,3.2161094338789553e-06,9.556662439180741e-08
1804,5.203246075780044e-06,8.898663672596285e-08
1805,4.591247318330716e-06,7.391481826601876e-08
1806,3.316801098662836e-06,9.797674849210125e-08
1807,2.9067411730920867e-06,1.395008073501458e-07
1808,3.6189201750858047e-06,6.798222029757994e-08
1809,3.3411062361210497e-06,4.969867184456689e-08
1810,4.701314708199789e-06,1.310471020588011e-07
1811,3.123817577943555e-06,7.521229994367218e-08
1812,3.5740591215471795e-06,1.2535878246566767e-07
1813,3.830487941058891e-06,1.1502966867915632e-07
1814,2.712435588136941e-06,2.391474573926189e-07
1815,2.5192067028001475e-06,1.0519171844691755e-07
1816,2.336144632408832e-06,1.2051540032587127e-07
1817,3.154225424850665e-06,1.0742426526100246e-07
1818,3.2509049674445123e-06,1.0490636270787945e-07
1819,3.006980080044741e-06,2.0391569233169093e-07
1820,2.8004895398225926e-06,2.1596995036787803e-07
1821,3.0501582557462825e-06,2.228696310835332e-07
1822,3.708475276198442e-06,8.622029668003961e-08
1823,3.294887733318319e-06,1.7591182521758952e-07
1824,3.3566554122899106e-06,1.4736946685189878e-07
1825,3.051086025607219e-06,1.5057307223287353e-07
1826,2.971813813701374e-06,1.7087489423417423e-07
1827,2.367917545598175e-06,2.2029282698010633e-07
1828,2.8690957378785242e-06,2.1554907903009735e-07
1829,3.1334958237039245e-06,2.974892190366063e-07
1830,3.266729635242882e-06,2.181298726089409e-07
1831,2.6598597173688177e-06,2.6972786137946514e-07
1832,3.1470708279357495e-06,1.9077256574462353e-07
1833,2.992051236105908e-06,1.7607115521123262e-07
1834,2.660341408500244e-06,3.099064191935952e-07
1835,3.758854660418365e-06,1.6185008888669472e-07
1836,3.0209770613964793e-06,2.621092392018909e-07
1837,2.594597589222758e-06,2.0317042181972056e-07
1838,2.1821143860734082e-06,1.9693945807475188e-07
1839,2.5903414666572644e-06,2.1883316891901927e-07
1840,2.4211187366063314e-06,2.025560942864324e-07
1841,2.19454339855929e-06,2.2536124788530287e-07
