year,son_DET arc_NOUN,son_DET mark_NOUN
1800,1.4274506625611139e-06,0.0
1801,9.024681801861334e-07,0.0
1802,1.6739043928737374e-06,4.475680270843441e-09
1803,1.328181038928733e-06,1.950339223455444e-09
1804,2.4520761172652783e-06,2.4718509461507665e-09
1805,1.6971979546198668e-06,0.0
1806,1.5330479428143917e-06,0.0
1807,1.0163630186355022e-06,0.0
1808,1.554526804170564e-06,0.0
1809,1.1385514113726458e-06,2.259030518203531e-09
1810,1.872101432098816e-06,0.0
1811,1.3086941272888453e-06,2.5070767684098882e-09
1812,1.31493369792679e-06,0.0
1813,1.575906409811978e-06,0.0
1814,1.2555241752920665e-06,0.0
1815,8.03772610247222e-07,0.0
1816,7.856676980111388e-07,0.0
1817,7.690954415551232e-07,3.113746815941454e-09
1818,8.654775029981465e-07,0.0
1819,1.1883005655022316e-06,0.0
1820,1.1439287774805962e-06,1.1866481131050932e-09
1821,1.273118115818761e-06,9.86148829262845e-10
1822,9.935385492099158e-07,1.0025615893027862e-09
1823,7.155065269159877e-07,0.0
1824,1.4037995370586032e-06,0.0
1825,1.0548921096642516e-06,0.0
1826,8.93129598722453e-07,0.0
1827,8.111200351379466e-07,0.0
1828,8.062452723223146e-07,2.7516904310687096e-09
1829,7.92161451101947e-07,8.57317605795771e-10
1830,8.798252641994964e-07,1.0436835840010872e-09
1831,7.60850834780058e-07,0.0
1832,9.295088965188825e-07,0.0
1833,1.1317204808847237e-06,1.1583628500844156e-09
1834,1.164949495091605e-06,1.8669061851994684e-09
1835,1.2017747224035702e-06,3.025235173481633e-09
1836,1.0974985151790406e-06,6.720750067579218e-10
1837,9.323573904040927e-07,6.957890930081589e-10
1838,8.458297084956712e-07,3.1560809521380406e-09
1839,8.347821456311522e-07,2.0974426639952526e-09
1840,8.516273908298899e-07,5.095750932326837e-09
1841,1.0972716957269313e-06,1.926164561183441e-09
1842,8.38533130931296e-07,6.708265054555795e-10
1843,8.240141182724869e-07,2.3627644285539873e-09
1844,7.343694807815382e-07,3.2931368743049916e-09
1845,8.839081164779827e-07,1.1160455892778032e-09
1846,7.318126922228885e-07,0.0
