year,en_ADP eau_NOUN,en_ADP mot_NOUN
1800,3.1787503758096136e-06,4.4018302336468196e-08
1801,2.576439555923571e-06,5.952956638743956e-08
1802,1.4859258499200223e-06,4.699464284385613e-08
1803,2.201932985057553e-06,5.655983681407406e-08
1804,3.030489324373775e-06,2.719036085174764e-08
1805,2.771805839074659e-06,3.695740913300938e-08
1806,1.8154515828427975e-06,4.034336686942197e-08
1807,1.3608445215140819e-06,6.263301344233696e-08
1808,1.4004336890138802e-06,3.172503637571822e-08
1809,2.3855361632740824e-06,5.1957702140725814e-08
1810,1.8884823020925978e-06,3.042164786748458e-08
1811,1.5669229469494894e-06,3.5099075201827645e-08
1812,1.2935960285176407e-06,2.6672082764633842e-08
1813,4.155446731601842e-06,5.176335093892703e-08
1814,1.2838443126383936e-06,2.2026740431613234e-08
1815,1.4484090797850513e-06,4.5852800667489646e-08
1816,2.1762300548289204e-06,4.4034473845044886e-08
1817,1.3918448757976876e-06,2.8023721343473085e-08
1818,1.5902850138971303e-06,2.980294322441068e-08
1819,1.3725492635785486e-06,6.314140676977331e-08
1820,9.97971028482425e-07,4.865257086095198e-08
1821,1.6942037053269132e-06,3.4515208469088066e-08
1822,1.7294187273364514e-06,4.411270992932259e-08
1823,1.5199573006885458e-06,2.964806111727114e-08
1824,1.6134852103277808e-06,4.968456579490521e-08
1825,9.906123521474797e-07,5.195211372210906e-08
1826,1.0745741292339517e-06,2.6423953025656033e-08
1827,1.295948550250614e-06,6.544263858598853e-08
1828,1.5776357807917307e-06,4.3109814218400544e-08
1829,1.1325165587550146e-06,4.543783305166471e-08
1830,1.4121038334202751e-06,2.7135773628117477e-08
1831,1.3642305702887825e-06,4.053713498208822e-08
1832,1.2853470745533002e-06,3.788391311765338e-08
1833,1.4502702546659307e-06,3.243416024645285e-08
1834,1.1350789714814624e-06,3.4537765314368585e-08
1835,1.5663155323863975e-06,3.1764969321557146e-08
1836,1.5007434512881446e-06,6.317505218955688e-08
1837,1.0840394311095736e-06,6.888311820940629e-08
1838,1.4972448525440996e-06,6.943377983681387e-08
1839,1.4038881772648892e-06,4.963947397573776e-08
1840,1.4242623365134932e-06,3.567025608219865e-08
