year,en_ADP ondes_NOUN,en_ADP mondes_NOUN
1800,2.7354229814591235e-07,5.65949598296811e-08
1801,2.500241578218265e-07,1.1905912700171939e-08
1802,1.7007585029205075e-07,2.2378401354217203e-09
1803,2.86699872731333e-07,5.851017448321727e-09
1804,1.7302956223375077e-07,2.4718509461507665e-09
1805,8.24434565060983e-08,0.0
1806,6.916006078938608e-08,1.4408345627714425e-08
1807,3.9857372513552036e-08,5.693910232196231e-09
1808,7.704651494577774e-08,6.798221985349073e-09
1809,7.228897658251299e-08,0.0
1810,1.0296557917399696e-07,2.3401267590372754e-09
1811,5.264861258069686e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,5.463909147351842e-08,0.0
1814,9.440030979135372e-09,0.0
1815,8.90083740046066e-08,2.697223555614414e-09
1816,1.5064425440414198e-07,1.1588019432906549e-08
1817,4.981994905506326e-08,4.670620334934483e-09
1818,1.3351719019283337e-07,5.9605886892910576e-09
1819,6.83169290027763e-08,3.0018044272495104e-08
1820,6.882559233645225e-08,1.1866481131050932e-09
1821,1.1439326641493608e-07,2.070912508145284e-08
1822,6.917674966189225e-08,4.010246357211145e-09
1823,7.41201550136239e-08,0.0
1824,3.9579230559638745e-08,8.421112696055388e-10
1825,1.1182912373897125e-07,8.805443485471187e-09
1826,3.963592831723872e-08,2.642395191543301e-09
1827,4.147772969531616e-08,4.608636583469661e-09
1828,6.695779575238703e-08,5.503380862137419e-08
1829,5.3153691226270894e-08,8.57317605795771e-10
1830,4.905312778191728e-08,5.218417697960831e-09
1831,5.456922025359745e-08,4.677361609140007e-09
1832,2.2189149717632972e-07,1.6235963684607668e-08
1833,4.40177885252524e-08,2.6642345218874652e-08
1834,9.427876079826092e-08,2.5203233278148218e-08
1835,8.24376584773745e-08,7.563087933704082e-09
1836,7.05678786516728e-08,2.016224964762614e-09
1837,6.262101948095733e-08,7.653680356156656e-09
1838,9.341999884782126e-08,6.312161904276081e-10
1839,3.915226187700682e-08,1.1885507911202353e-08
1840,5.923810419972142e-08,1.6561190641084522e-08
1841,7.31942506604355e-08,9.630822361827995e-09
1842,2.817471411731276e-08,6.037438549100216e-09
1843,5.0208743829216473e-08,1.2404513027863828e-08
1844,5.1043620885593555e-08,3.2931368743049916e-09
1845,4.8547981634783355e-08,1.7298706467272496e-08
1846,3.39561074813588e-08,4.0981511517657054e-09
1847,5.3392915866368185e-08,6.47186837454683e-09
1848,4.505324113779352e-08,8.045221711050488e-10
1849,6.452149392544015e-08,0.0
1850,7.060555873295016e-08,6.1100964288129944e-09
1851,6.191461210391935e-08,6.449438760824933e-09
1852,4.492276417522589e-08,1.9531636308300904e-09
1853,6.569124955113637e-08,3.5831591027601917e-09
1854,4.7800114089113777e-08,2.0782657372819813e-08
1855,5.7845614520601885e-08,1.2736649068756378e-08
1856,4.866558001026533e-08,8.28350277259915e-09
1857,6.199516822125162e-08,1.4644527368545823e-08
1858,1.0815023898658183e-07,1.3702292633865909e-08
1859,6.568903643255908e-08,1.0693564256314403e-08
1860,8.650877703075821e-08,1.2358396972445007e-08
