year,en_ADP être_NOUN,en_ADP mètres_NOUN
1800,9.118077182179718e-08,3.9302057075474295e-07
1801,9.048493865293494e-08,3.3812793276410957e-07
1802,4.0281122437590966e-08,4.184761053238617e-07
1803,3.90067853572873e-08,2.0868630201675842e-07
1804,7.168367943677367e-08,3.238124737237058e-07
1805,4.5486043376286034e-08,7.761056186605941e-07
1806,7.780506905419315e-08,4.1784202942096726e-07
1807,2.562259560079383e-08,7.373613564176651e-07
1808,8.157866204783204e-08,7.342079695327186e-07
1809,6.551188391767937e-08,9.98491515247224e-07
1810,1.2168659679900884e-07,9.500914508464575e-07
1811,5.766276700569506e-08,1.0880713148253562e-06
1812,3.467370746079723e-08,8.348361602017462e-07
1813,3.163315653864629e-08,7.016809366877652e-07
1814,1.2586708564299443e-08,5.317884106403881e-07
1815,5.664169577812572e-08,1.3755840200246894e-07
1816,8.343373814057031e-08,7.648092825718322e-07
1817,1.074242625964672e-07,4.6706201750623677e-07
1818,7.033494853203592e-08,3.552510809967657e-07
1819,1.521604389154163e-07,3.964452242044558e-07
1820,1.1747816586193949e-07,3.749808001884958e-07
1821,9.467028405651945e-08,3.3923519371370503e-07
1822,5.81485721795616e-08,4.591732221115308e-07
1823,4.5460360809101985e-08,1.7788836581544842e-07
1824,7.915846111927749e-08,3.3431818469153995e-07
1825,6.60408261410339e-08,2.985045224335181e-07
1826,5.549030035467695e-08,3.311802174721379e-07
1827,5.438191053031005e-08,4.783764775417865e-07
1828,4.861319524707142e-08,3.788160491957626e-07
1829,6.515613648616636e-08,3.1377824072365e-07
1830,7.618889985572252e-08,3.9138134688698756e-07
1831,6.392394169552063e-08,4.70854436107615e-07
1832,5.953186388296672e-08,6.940874008876108e-07
1833,4.865124125785769e-08,4.494447995995188e-07
1834,5.414027981487379e-08,5.675394936233147e-07
1835,7.865611451052246e-08,4.878191504076312e-07
1836,7.325617551456887e-08,3.7232954408494834e-07
1837,4.1051556820548285e-08,7.034427484953198e-07
1838,5.302215910774066e-08,6.817134643455347e-07
1839,4.6842885126352485e-08,7.690622805256453e-07
1840,3.885510224677091e-08,8.325183142865455e-07
1841,5.1364389630492724e-08,3.4157319372951633e-07
1842,6.171603672555648e-08,4.333539336265346e-07
1843,5.9069112268161916e-08,4.4419971478859566e-07
1844,5.598332558642838e-08,5.290972922011861e-07
1845,2.622707206967334e-08,6.813458164334207e-07
1846,8.313391930414582e-08,3.9108068894400105e-07
1847,5.2853592613644196e-08,6.326251318355958e-07
1848,2.413566591030758e-08,4.038701320041582e-07
1849,3.5193544078993e-08,5.748278479877911e-07
1850,4.6844071732721204e-08,2.851378413382122e-07
1851,3.418202609850596e-08,3.218269930549411e-07
1852,6.445440292601745e-08,4.1927912297623493e-07
1853,4.060913738612726e-08,4.962675310693498e-07
1854,6.806320096419682e-08,7.107669045547382e-07
1855,7.641989441253827e-08,5.280402284313368e-07
1856,5.7466799319172424e-08,7.144521090296507e-07
1857,3.905207179855097e-08,5.857810863041379e-07
1858,4.893675864536817e-08,5.901773261207666e-07
1859,5.855999241077825e-08,3.7121944140849905e-07
1860,3.6159752692110914e-08,4.6229557160160084e-07
1861,5.6119969671364345e-08,6.319391174791633e-07
1862,5.602302977081308e-08,5.295079721356899e-07
1863,6.542953423505082e-08,6.438066377789653e-07
1864,5.130358926574985e-08,6.607134932501424e-07
1865,6.495445564747016e-08,6.547220765540374e-07
1866,4.427707733789532e-08,4.2768737407161694e-07
1867,7.133633062039735e-08,5.221625158924326e-07
1868,6.026646237611288e-08,4.890475199248456e-07
1869,6.836926647046937e-08,4.141224270171051e-07
1870,4.873941605865184e-08,6.794847617896949e-07
1871,6.160282595146782e-08,6.967492147680332e-07
1872,4.898344840853497e-08,6.440416536745985e-07
1873,3.71132280463371e-08,6.847988869296273e-07
1874,4.95892557017541e-08,7.820763130439445e-07
1875,4.748867610260277e-08,4.130942512503566e-07
1876,4.957732135935089e-08,6.100428917577005e-07
1877,4.0201303619369355e-08,6.858961167921507e-07
1878,4.5293163830617544e-08,6.534293981452777e-07
1879,3.665595116331133e-08,5.834405367721729e-07
1880,4.428314070992201e-08,7.284255669759432e-07
1881,3.765154232837631e-08,6.909754782236099e-07
1882,4.658769525711648e-08,6.262717167082599e-07
1883,4.6131175601704655e-08,6.363574511780712e-07
1884,3.564916273290919e-08,5.730272780724022e-07
1885,2.8360796378024133e-08,7.012851349630367e-07
1886,4.1947515683204983e-08,6.35666209225505e-07
1887,3.068594583988116e-08,7.260164365252564e-07
1888,3.8043688865840863e-08,8.274501901439635e-07
1889,3.3831739187917265e-08,6.854059351191211e-07
1890,3.736000159237918e-08,6.921432144091355e-07
1891,4.653180718516836e-08,9.03227005633056e-07
1892,6.080456671497814e-08,9.521870527606779e-07
1893,4.618812354806323e-08,9.139089920395804e-07
1894,3.780923507612499e-08,1.0498364453326303e-06
1895,4.1528441130367355e-08,8.805232729613977e-07
1896,3.3023361822870356e-08,6.923111834922224e-07
1897,4.3700350005337896e-08,7.061977079780846e-07
1898,4.809601605870739e-08,1.0281230998776536e-06
1899,4.8089930260175606e-08,8.788849683583067e-07
1900,5.087231969014283e-08,7.859254187447817e-07
1901,2.794369535763508e-08,9.361137753849391e-07
