year,ton_DET être_NOUN,ton_DET etre_NOUN,ton_DET mètre_NOUN
1800,1.6349656073444407e-07,3.144164484325529e-09,0.0
1801,1.4048977448055666e-07,0.0,0.0
1802,3.088219386881974e-07,0.0,0.0
1803,1.09218993626925e-07,1.5602713787643552e-08,0.0
1804,1.1123329235473989e-07,1.4831105232815389e-08,0.0
1805,1.6204402797370676e-07,0.0,0.0
1806,1.123850950079941e-07,2.881669125542885e-08,0.0
1807,1.195721210933698e-07,0.0,0.0
1808,9.064295625194063e-08,0.0,0.0
1809,7.002994295568499e-08,0.0,0.0
1810,1.1700633706368535e-07,0.0,0.0
1811,4.512738271955641e-08,0.0,0.0
1812,1.120227479667335e-07,0.0,0.0
1813,9.489947672136623e-08,0.0,0.0
1814,1.0384034254684593e-07,0.0,0.0
1815,9.170560089089008e-08,0.0,0.0
1816,4.1716869958463576e-08,0.0,0.0
1817,1.3700485945733476e-07,0.0,0.0
1818,7.987188821445557e-08,1.1921177378582115e-09,0.0
1819,6.417651177148542e-08,0.0,0.0
1820,1.51890952260203e-07,1.1866481131050932e-09,0.0
1821,1.4792232383431525e-07,6.903041693817613e-09,0.0
1822,1.0526896687679255e-07,5.012807946513931e-09,0.0
1823,8.004976526088114e-08,0.0,0.0
1824,1.204219133299489e-07,4.210556348027694e-09,0.0
1825,1.0918749637767178e-07,8.805443041381977e-10,0.0
1826,1.2155018724868683e-07,0.0,0.0
1827,8.387718669622402e-08,0.0,0.0
1828,9.997808092521154e-08,0.0,0.0
1829,4.972441980388709e-08,0.0,0.0
1830,9.184415872276475e-08,1.0436835840010872e-09,0.0
1831,9.510635834431014e-08,0.0,0.0
1832,1.0147477091937418e-07,2.705993873419743e-09,0.0
1833,1.1120283116561325e-07,1.1583628500844156e-09,0.0
1834,1.0734710698123706e-07,0.0,0.0
1835,6.579886502322552e-08,2.2689263801112247e-09,0.0
1836,8.60256040291496e-08,1.3441500135158435e-09,0.0
