year,aucun_DET arrêt_NOUN,aucun_DET marais_NOUN
1800,2.829747991484055e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,4.4756802708434407e-08,0.0
1803,4.485780058516298e-08,1.5602713787643552e-08
1804,3.460591235793231e-08,1.4831105232815389e-08
1805,2.55858996212055e-08,3.4114531644036106e-08
1806,5.76333825108577e-08,4.610670600868616e-08
1807,2.0498076702679668e-07,2.8469551160981155e-09
1808,2.3113955371911743e-07,2.2660739951163578e-09
1809,1.4909601420143304e-07,2.25903047379461e-08
1810,1.2870697219113936e-07,4.680253518074551e-09
1811,1.2535383575595915e-07,0.0
1812,3.227321982990361e-07,0.0
1813,1.984261785992203e-07,5.751483289628823e-09
1814,9.754699448194515e-08,6.293354282149721e-09
1815,1.2137506200105008e-07,1.6183340889597275e-08
1816,1.205154021022281e-07,0.0
1817,4.514932749888345e-08,0.0
1818,9.179306892370676e-08,0.0
1819,2.525656169760637e-07,1.035105001712111e-09
1820,5.57724622041178e-08,4.746592452420373e-09
1821,8.48088004268277e-08,1.0847637454958203e-08
1822,1.3334069137727056e-07,9.023054303725075e-09
1823,9.685033441897417e-08,0.0
1824,8.421112696055388e-08,8.421112696055388e-10
1825,1.2063456811262085e-07,8.805443041381977e-10
1826,2.0698763769644302e-07,5.284790383086602e-09
1827,2.543967226875665e-07,9.217273055917019e-10
1828,1.770254126620685e-07,3.668920500743411e-09
1829,2.6576845157944007e-07,0.0
1830,1.96212514014249e-07,1.0436835840010872e-09
1831,1.3408437116169125e-07,1.5591206103948707e-09
1832,1.5018266541488856e-07,2.705993873419743e-09
1833,9.614411489167196e-08,1.9692167896323554e-08
1834,1.0828055874156917e-07,0.0
1835,8.31939672707449e-08,7.563087933704082e-09
1836,7.796069745324985e-08,2.688300027031687e-09
1837,8.975679022249494e-08,1.2524203896191466e-08
1838,8.268932027988285e-08,1.8936485712828244e-09
1839,1.3773205465028582e-07,6.9914751765765e-10
1840,9.809320555831391e-08,3.1848443882154243e-09
1841,9.759234043116294e-08,8.346713542550788e-09
1842,6.708264965737953e-08,1.341653010911159e-09
1843,8.624090330755507e-08,0.0
1844,9.330553935038566e-08,4.390849017710252e-09
1845,6.919482908873675e-08,8.37034175305007e-09
1846,7.318126993283158e-08,8.781752214304106e-09
1847,1.0139260275821016e-07,5.9325460100012606e-09
1848,1.0700144947861645e-07,1.045878850192139e-08
1849,6.703532218210739e-08,1.6758829879393033e-09
1850,1.0115604087701513e-07,3.394498016007219e-09
1851,8.900225556551788e-08,1.9348316282474798e-09
1852,8.2032872938953e-08,1.2370036550635177e-08
1853,8.480143387501471e-08,3.5831591027601917e-09
1854,9.508065712537928e-08,6.234797567117312e-09
1855,1.2259024728678014e-07,3.1841622671890946e-09
1856,1.0457922061668512e-07,7.248064815001953e-09
