year,un_DET être_NOUN,un_DET etre_NOUN,un_DET maître_NOUN
1800,1.3356410534015595e-05,1.282819094949872e-06,8.023907923870865e-06
1801,1.1491586874967652e-05,7.310230805135376e-07,8.096020735592901e-06
1802,1.1439839056492929e-05,7.183466834703722e-07,7.919716040305502e-06
1803,1.1091579452227052e-05,7.177248315670681e-07,8.064652874395506e-06
1804,1.158309319748696e-05,7.934641703677414e-07,9.410336645032658e-06
1805,1.0436204377128888e-05,4.3780316172359335e-07,8.355217744338006e-06
1806,1.0420115785336748e-05,2.5992655690032507e-06,7.230107684108589e-06
1807,7.9572396742833e-06,2.334503101053542e-06,7.729483371576862e-06
1808,9.148140776460423e-06,9.902743336454023e-07,9.247847799542797e-06
1809,8.150581692234482e-06,4.292158006791169e-07,7.752992758014443e-06
1810,8.464238177907646e-06,6.15453334518179e-07,9.404969915749462e-06
1811,6.1623945555311366e-06,6.944602786163045e-07,7.729317644589173e-06
1812,8.724437847718036e-06,4.3208774780367776e-07,9.492593889603995e-06
1813,8.653106903011576e-06,2.5881674026173584e-07,8.68473931348035e-06
1814,7.426158006751393e-06,2.832009409203806e-07,9.839659441013282e-06
1815,9.451071065313954e-06,2.993918286620101e-07,8.240018146921102e-06
1816,1.381060123151201e-05,5.492721122379862e-07,7.657363269686357e-06
1817,1.26028898819186e-05,7.815504485808589e-07,9.034536148533334e-06
1818,1.2027275516857117e-05,6.723544134779047e-07,8.702459211917812e-06
1819,1.2462664045642668e-05,6.09676858331909e-07,1.0533228191889066e-05
1820,1.3935995099245702e-05,6.301101720396218e-07,8.103620054100702e-06
1821,1.3456000374389987e-05,4.6447609003408274e-07,9.702718223536522e-06
1822,1.0969026391194348e-05,3.9500926618529775e-07,9.06115148779918e-06
1823,7.963469144556257e-06,3.874013163596146e-07,8.59793794916186e-06
1824,9.86449128959066e-06,4.067397352258695e-07,7.979846571970484e-06
1825,9.928137060910558e-06,3.486955391096558e-07,8.499894569524713e-06
1826,1.0223427125310991e-05,2.8537868335121175e-07,8.828242897607197e-06
1827,9.268889954228143e-06,2.461011880949826e-07,8.553629399443707e-06
1828,1.0204185173279257e-05,3.1919607074160083e-07,7.764352908168348e-06
1829,1.223563697294594e-05,3.009184683655519e-07,8.373421032104034e-06
1830,1.2521071880655654e-05,3.9764344172965593e-07,7.986266794546282e-06
1831,1.1796306978339999e-05,3.258562004671006e-07,7.677109714165908e-06
1832,1.2286565123531545e-05,2.0024355029679697e-07,7.948857202677573e-06
1833,1.2876361267899483e-05,2.1777221026475502e-07,7.800415438907748e-06
1834,1.0897131005549454e-05,3.5471218740035226e-07,7.858741696509242e-06
1835,1.1797660562251622e-05,3.615155961256278e-07,8.044856549815904e-06
1836,1.1469632184457623e-05,1.6062592073096127e-07,7.133403983061726e-06
1837,1.032550979118696e-05,1.7464306534265006e-07,7.277953741890997e-06
1838,9.983946526403997e-06,2.354436379192748e-07,7.059521770713673e-06
