year,en_ADP être_NOUN,en_ADP mètre_NOUN
1800,9.118077182179718e-08,5.345079756580162e-08
1801,9.048493865293494e-08,1.0715321963061797e-07
1802,4.0281122437590966e-08,4.4756802708434407e-08
1803,3.90067853572873e-08,4.4857802805609026e-08
1804,7.168367943677367e-08,9.145848167690929e-08
1805,4.5486043376286034e-08,9.381496113292087e-08
1806,7.780506905419315e-08,2.305335300434308e-08
1807,2.562259560079383e-08,5.693910054560547e-08
1808,8.157866204783204e-08,7.478044494746428e-08
1809,6.551188391767937e-08,7.680704072754452e-08
1810,1.2168659679900884e-07,4.680253340438867e-08
1811,5.766276700569506e-08,4.512738271955641e-08
1812,3.467370746079723e-08,1.0135391192989118e-07
1813,3.163315653864629e-08,8.052076339026826e-08
1814,1.2586708564299443e-08,4.72001566720337e-08
1815,5.664169577812572e-08,8.091670622434322e-08
1816,8.343373814057031e-08,2.7811246638975717e-08
1817,1.074242625964672e-07,2.9580593974287694e-08
1818,7.033494853203592e-08,2.5034472272977837e-08
1819,1.521604389154163e-07,6.210630232317271e-09
1820,1.1747816586193949e-07,8.42520151422832e-08
1821,9.467028405651945e-08,1.577838126820552e-08
1822,5.81485721795616e-08,7.318699601910339e-08
1823,4.5460360809101985e-08,6.621399961659336e-08
1824,7.915846111927749e-08,5.3895121254754486e-08
1825,6.60408261410339e-08,1.7610886970942374e-08
1826,5.549030035467695e-08,6.694067877788257e-08
1827,5.438191053031005e-08,7.373818533551457e-08
1828,4.861319524707142e-08,1.9261833017480967e-08
1829,6.515613648616636e-08,2.914879893012312e-08
1830,7.618889985572252e-08,4.5922078584226256e-08
1831,6.392394169552063e-08,3.897801548191637e-08
1832,5.953186388296672e-08,7.712082350508354e-08
1833,4.865124125785769e-08,4.865124125785769e-08
1834,5.414027981487379e-08,7.000897994657862e-08
1835,7.865611451052246e-08,6.655517381659593e-08
1836,7.325617551456887e-08,9.005805168271763e-08
1837,4.1051556820548285e-08,1.0854309806518359e-07
1838,5.302215910774066e-08,2.7142295522253335e-08
1839,4.6842885126352485e-08,7.690622538802927e-08
1840,3.885510224677091e-08,6.688173215252391e-08
1841,5.1364389630492724e-08,5.8426991245141835e-08
1842,6.171603672555648e-08,4.494537719779146e-08
1843,5.9069112268161916e-08,5.5524964182041003e-08
1844,5.598332558642838e-08,7.135129465041246e-08
1845,2.622707206967334e-08,7.533307666562905e-08
1846,8.313391930414582e-08,6.615586300995346e-08
1847,5.2853592613644196e-08,5.608952591273919e-08
1848,2.413566591030758e-08,4.746680914990975e-08
