year,aucun_DET être_NOUN,aucun_DET etre_NOUN,aucun_DET mètre_NOUN
1800,2.861189742908721e-07,3.144164484325529e-09,0.0
1801,4.0480104246398696e-07,2.3811825844433088e-09,0.0
1802,1.8350289110458107e-07,2.2378401354217203e-09,0.0
1803,3.861671658000887e-07,0.0,0.0
1804,3.8808060409678546e-07,0.0,0.0
1805,2.615447449727526e-07,5.685755422035754e-09,0.0
1806,3.1410192491421185e-07,1.0662175498055149e-07,0.0
1807,2.1921554571591173e-07,1.0818429529990681e-07,0.0
1808,2.6059851521154087e-07,1.8128592405020072e-08,0.0
1809,2.1008984329995428e-07,1.3554183553310395e-08,0.0
1810,3.9548143249135137e-07,4.680253518074551e-09,0.0
1811,2.1560860830049933e-07,2.757784400841956e-08,0.0
1812,2.5871920428244266e-07,0.0,0.0
1813,2.386865673997818e-07,0.0,8.627225156487839e-09
1814,1.290137632281585e-07,0.0,0.0
1815,3.2906127067633406e-07,0.0,0.0
1816,4.890144076341585e-07,0.0,0.0
1817,3.269434181163433e-07,1.556873407970727e-09,0.0
1818,4.434678029241468e-07,3.5763532135746345e-09,0.0
1819,3.7781333084296875e-07,2.070210003424222e-09,0.0
1820,4.331265692769648e-07,9.493184904840746e-09,0.0
1821,2.9091391517965803e-07,0.0,0.0
1822,4.561655231327677e-07,0.0,0.0
1823,2.0160681790670765e-07,0.0,0.0
1824,3.3010761413265755e-07,9.263223965660927e-09,0.0
1825,2.9586288263772076e-07,0.0,0.0
1826,3.364649900916561e-07,3.5231936257318353e-09,0.0
1827,2.3227528300751032e-07,0.0,0.0
1828,2.2930752630045959e-07,0.0,0.0
1829,2.983465261507945e-07,0.0,4.286587973467704e-09
1830,3.3189138548550545e-07,0.0,1.0436835840010872e-09
1831,4.2252169407674955e-07,1.5591206103948707e-09,0.0
1832,3.9642811522355714e-07,0.0,0.0
1833,3.973184590222445e-07,0.0,4.6334514003376626e-09
1834,3.005718856030626e-07,9.334530925997342e-10,0.0
1835,3.902553302737033e-07,0.0,0.0
1836,3.461186270925509e-07,6.720750067579218e-10,0.0
1837,2.7135775315656474e-07,0.0,6.957890930081589e-10
1838,2.9099065024240645e-07,1.8936485712828244e-09,0.0
1839,6.564995231883586e-07,2.09744255297295e-09,2.0974426639952526e-09
1840,4.3313882969187034e-07,7.643626342979104e-09,0.0
1841,3.7239182404391613e-07,0.0,0.0
1842,4.682369088016003e-07,1.341653010911159e-09,6.708265054555795e-10
1843,4.920457001844625e-07,0.0,3.5441467538532834e-09
1844,4.138375224727042e-07,3.2931368743049916e-09,0.0
1845,4.659490393521537e-07,2.7901139176833567e-09,0.0
1846,3.454155770299394e-07,4.6836010625384006e-09,2.3418005312692003e-09
1847,2.723578020891182e-07,1.0786447290911383e-09,0.0
1848,3.1376365683399854e-07,1.6090443422100975e-09,1.6090443422100975e-09
1849,3.167418753946549e-07,8.379414939696517e-10,8.379414939696517e-10
1850,3.1772500808102677e-07,0.0,6.788996032014438e-10
1851,3.908359929027938e-07,6.449438760824933e-10,3.2247193804124663e-09
1852,3.157614436588574e-07,1.9531636308300904e-09,9.765818376195057e-09
1853,2.902358868794863e-07,5.971931837933653e-10,0.0
1854,2.6393976604310865e-07,1.2989160858012383e-08,0.0
1855,3.4017466532532126e-07,1.0613874223963649e-09,0.0
1856,3.1425538438156764e-07,6.212627079449362e-09,2.0708756931497874e-09
1857,3.314544692045729e-07,4.881509085841174e-10,4.881509085841174e-10
1858,3.376636534824229e-07,2.4468380654951716e-09,1.9574704079872163e-09
1859,3.6307197071039354e-07,1.5276520048956854e-09,1.018434669930457e-09
1860,3.5702034040241415e-07,9.154367819341758e-10,3.204028820036342e-09
1861,4.03214894362236e-07,9.431927461278633e-10,0.0
1862,3.456259385359317e-07,0.0,0.0
1863,3.111648805287359e-07,0.0,7.491931519609807e-09
1864,4.583759825038669e-07,1.4863656971897399e-08,4.794727948009836e-10
1865,3.8172507288436464e-07,1.6473956032658776e-08,1.4120533631256649e-09
1866,3.668671997303363e-07,2.9193677475447544e-09,0.0
1867,2.144942747861478e-07,2.426405742994575e-09,1.94112459439566e-09
1868,3.18621884431991e-07,1.4819622196071691e-09,1.4819622196071691e-09
1869,3.384278883800107e-07,4.883519144627257e-10,0.0
1870,3.778738140169935e-07,2.2936195165357276e-09,2.2936195165357276e-09
1871,3.0907625614418066e-07,3.18635318130589e-09,0.0
1872,3.1869478611668e-07,2.4189357183956872e-09,0.0
1873,2.5859538688166595e-07,5.986004469882289e-10,4.788803575905831e-09
1874,2.2464530147203732e-07,0.0,4.182226565063729e-09
1875,2.923700392898354e-07,2.2886108563824337e-09,1.716458086775674e-09
1876,3.3857682879556705e-07,1.209202959984168e-09,9.069021977836655e-09
