year,aucun_DET manuel_NOUN
1800,0.0
1801,0.0
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,2.490997541571005e-08
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,4.40399205992037e-09
1827,6.452091305675367e-09
1828,1.3758452155343548e-08
1829,1.4574399131994653e-08
1830,7.305784865963005e-09
1831,9.354723218280014e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,0.0
1835,3.781543966852041e-09
1836,2.016224964762614e-09
1837,4.174734336004349e-09
1838,1.8936485712828244e-09
1839,6.9914751765765e-10
1840,6.369688665408546e-10
1841,6.420548537278137e-10
1842,1.341653010911159e-09
1843,2.3627644840651385e-09
1844,0.0
1845,1.1718478187816572e-08
1846,1.1709002656346001e-09
1847,1.1325769655456952e-08
1848,2.4135665133151463e-09
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,5.159551008659946e-09
1852,6.510545214055696e-09
1853,7.1663179834757784e-09
1854,2.0782657816909023e-09
1855,5.837630823180007e-09
1856,4.1417513307884235e-09
1857,4.393358177257056e-09
1858,2.9362056674919756e-09
1859,5.601390684617513e-09
1860,9.154367763830606e-09
1861,4.71596389717277e-09
1862,8.584173927239647e-09
1863,1.0988166154746182e-08
1864,4.794727948009836e-09
1865,6.589582102201064e-09
1866,5.352174370365503e-09
1867,7.76449837758264e-09
1868,3.4579118457500613e-09
1869,1.0255390425761846e-08
1870,6.880858549607183e-09
1871,6.37270636261178e-09
1872,1.2094678591978436e-09
1873,4.788803575905831e-09
1874,6.572069999322139e-09
1875,7.4379850611983045e-09
1876,7.255217537860403e-09
1877,1.1132668453761596e-08
1878,7.850815053611626e-09
1879,9.163988234917042e-09
1880,9.626769159609694e-09
1881,2.789003084036068e-09
1882,1.9300617104534012e-08
1883,1.64302811356265e-08
1884,9.902545450302114e-09
1885,1.2891271161663553e-08
1886,2.4523162445166946e-08
1887,1.2404956784006771e-08
1888,1.2047168373996442e-08
1889,8.14467782106476e-09
1890,1.2453333919637544e-08
1891,8.286486163910922e-09
1892,9.402768119670668e-09
1893,1.6011882986166626e-08
1894,7.561847370496366e-09
1895,1.625025936036195e-08
1896,1.7101383864570607e-08
1897,2.738555282544297e-08
1898,2.2633418916839787e-08
1899,8.291367592505594e-09
1900,1.5054053892349373e-08
1901,3.241468637948941e-08
1902,1.718599351718808e-08
1903,1.836074803307497e-08
1904,8.599400302955473e-09
1905,4.696290822892024e-08
1906,2.572092316910357e-08
1907,2.982849228727602e-08
1908,3.0450611587795606e-08
1909,2.86051144993138e-08
1910,3.15304896636448e-08
1911,2.1281496787040055e-08
1912,2.9693700831501246e-08
1913,3.022704103683438e-08
