year,aucun_DET axe_NOUN
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,1.3652374342143503e-08
1804,0.0
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,0.0
1813,0.0
1814,2.8320094713762956e-08
1815,6.47333635583891e-08
1816,1.3905623319487859e-08
1817,1.2454987263765815e-08
1818,8.344824387052086e-09
1819,2.3807414706311647e-08
1820,0.0
1821,0.0
1822,1.5038423839541792e-08
1823,6.917880934764753e-09
1824,7.57900142644985e-09
1825,0.0
1826,1.7615968683770689e-09
1827,4.608636583469661e-09
1828,0.0
1829,0.0
1830,8.349468672008697e-09
1831,0.0
1832,1.3529969367098715e-09
1833,6.950177322551099e-09
1834,3.733812370398937e-09
1835,3.781543966852041e-09
1836,0.0
1837,0.0
1838,6.312161904276081e-09
1839,5.5931801412612e-09
1840,0.0
1841,3.2102742686390684e-09
1842,8.720745015011744e-09
1843,4.134837805480629e-09
1844,5.488561161115513e-09
1845,1.4508592383055685e-08
1846,5.854501328173001e-10
1847,2.3190861675459473e-08
1848,5.148941983890154e-08
1849,2.262441967104678e-08
1850,2.7155984128057753e-09
1851,1.6768540334055615e-08
1852,9.114764054629632e-09
1853,2.9859659189668264e-09
1854,5.195664454227256e-10
1855,0.0
1856,9.836659486950339e-09
1857,4.881509085841174e-10
1858,1.9574704079872163e-09
1859,0.0
1860,0.0
1861,1.8863854922557266e-09
1862,0.0
1863,2.9967726078439227e-09
1864,1.4384183844029508e-09
1865,8.001635798393636e-09
1866,2.9193677919536754e-08
1867,3.396968040192405e-09
1868,8.89177353968762e-09
1869,1.0743741896135361e-08
1870,1.3188312664169644e-08
1871,1.0621177271019633e-09
1872,4.8378714367913744e-09
1873,1.3169209722718733e-08
1874,0.0
1875,5.721527251978387e-09
1876,4.232210137899983e-09
1877,3.092407996341251e-09
1878,1.2078177513696886e-08
1879,5.498392852132383e-09
1880,5.134277003548959e-09
1881,1.3945015142624584e-09
1882,1.3310770263785798e-09
1883,9.479008356017005e-09
1884,1.2543224237049344e-08
1885,1.2891271383708158e-09
1886,7.744156427236248e-09
1887,0.0
1888,1.268122939990235e-09
1889,1.2530273485467092e-09
1890,5.243509182406569e-09
1891,3.824531802365527e-09
1892,8.775916882086676e-09
1893,5.542574843531156e-09
1894,1.9534772022211655e-08
1895,3.611168697403855e-09
1896,5.307326134129653e-09
1897,2.2724183423861177e-08
1898,2.8291773368493978e-09
1899,9.39688327150634e-09
1900,6.748368974740515e-09
1901,1.397184767881754e-08
1902,7.365425880312415e-09
1903,6.480264325148255e-09
1904,3.7622376325430196e-09
1905,5.676835002077496e-09
1906,1.9547901963790082e-08
1907,1.5428529565042481e-09
1908,9.822778146428846e-09
1909,7.701377313651392e-09
1910,7.481810726517324e-09
1911,9.576673454247953e-09
1912,1.0418842455450772e-09
1913,7.954484182448596e-09
1914,9.37544086809794e-09
