year,son_DET arrêt_NOUN,son_DET marais_NOUN
1800,1.0501509706273282e-06,9.432493186523061e-08
1801,9.310424069486345e-07,1.0000967165524344e-07
1802,1.011503769632327e-06,4.2518962573012686e-08
1803,1.21506138484051e-06,2.145373123596528e-08
1804,1.3100810551947006e-06,9.887403784603066e-09
1805,1.2366517587736325e-06,3.1271653710973624e-08
1806,1.769344848412402e-06,2.0171682990621775e-08
1807,3.365100880614591e-06,5.693910232196231e-09
1808,3.827399083888849e-06,4.078933102391602e-08
1809,3.704810154658844e-06,4.0662548883574345e-08
1810,4.151384759509824e-06,5.3822915901946544e-08
1811,2.830489652438928e-06,1.7549536934780008e-08
1812,6.518656823217839e-06,5.3344164641089264e-09
1813,4.195707264287307e-06,3.163315875909234e-08
1814,2.281340908183438e-06,2.8320094713762956e-08
1815,3.9864964644920065e-06,0.0
1816,1.907387975563779e-06,9.270415546325239e-09
1817,2.1998621670960006e-06,1.0898113522728181e-08
1818,2.033752780850051e-06,2.8610825708597076e-08
1819,2.571200884204927e-06,2.0702100700376036e-08
1820,2.8076093609996633e-06,2.0173018810965004e-08
1821,2.6132943959922272e-06,5.9168927535324656e-09
1822,2.9796131002512993e-06,1.1028177482330648e-08
1823,3.0567149611471223e-06,3.162459805139406e-08
1824,2.9389683966485336e-06,1.3473780313688621e-08
1825,4.15528871755555e-06,5.723537976898285e-08
1826,4.431296906748372e-06,3.435113882233054e-08
1827,5.821629510904813e-06,1.6591091167583727e-08
1828,6.4527138334824485e-06,2.2930752408001354e-08
1829,4.850702957970299e-06,1.714635211591542e-09
1830,3.9357307914933415e-06,1.3567886592014133e-08
1831,3.7325346591288167e-06,2.182768810143898e-08
1832,4.5027739048464355e-06,6.764984572527055e-09
1833,3.1159960940385645e-06,1.853380560135065e-08
1834,3.3165587494110582e-06,2.9870498963191494e-08
1835,3.510785418825435e-06,3.781543966852041e-08
1836,2.8838738301839584e-06,1.8146025126952736e-08
1837,2.286362908554551e-06,6.957891152126194e-09
1838,2.5772556142555914e-06,2.1461350030449466e-08
1839,3.0503807091353252e-06,1.8876983531868063e-08
1840,2.458062851928844e-06,2.0383003729307347e-08
1841,2.8417347515130587e-06,2.3756029143839896e-08
1842,3.4051154358394342e-06,2.6162234156856812e-08
1843,2.376941024562207e-06,1.0041748765843295e-08
1844,3.34747348884612e-06,1.756339523817374e-08
1845,3.1517127383473564e-06,2.622707162558413e-08
1846,2.7328811902371797e-06,1.7563504428608212e-08
1847,3.781189065854562e-06,2.2112216058189915e-08
1848,2.579298090665816e-06,1.6090442978011765e-08
1849,3.186691394319041e-06,1.4245005619528683e-08
1850,2.340166942893518e-06,2.5119284430275002e-08
1851,2.802281076519364e-06,2.579775504329973e-08
1852,3.2507152969429853e-06,3.645905555238471e-08
1853,2.490892792472721e-06,3.0456853039595444e-08
1854,3.068559333407883e-06,4.624141336506682e-08
1855,2.5648426280611147e-06,2.2289135870323662e-08
1856,2.8919778571889765e-06,3.7793480345271746e-08
1857,2.413906171172542e-06,3.221796018859635e-08
1858,2.4360720356497723e-06,2.985142333322699e-08
1859,2.3973952121281172e-06,1.3748867822016564e-08
1860,2.1526495295187686e-06,1.6020143378536744e-08
1861,2.0759671848225025e-06,2.9710572335694962e-08
1862,2.249505308249411e-06,2.6656119200829664e-08
1863,2.013831120528664e-06,3.096664996649068e-08
1864,1.912617022981067e-06,3.1165733105353866e-08
1865,1.9749918145350875e-06,2.1651483772533453e-08
1866,2.112162608369772e-06,3.3572728597164314e-08
1867,1.978491216192424e-06,2.7661025470138156e-08
1868,1.7368596809674841e-06,2.5193358288433387e-08
1869,1.8523187956809295e-06,2.734770765400185e-08
1870,1.7901700202216375e-06,2.981705415905367e-08
1871,1.7578048709943062e-06,1.9118119309879944e-08
1872,1.5203011045628045e-06,2.0560952940229527e-08
1873,1.6228058047351723e-06,2.214821659407562e-08
1874,1.6866321388420147e-06,2.5093358946293165e-08
1875,1.4870248534748498e-06,2.1741803024610817e-08
1876,1.7956664315477155e-06,1.9951848395649563e-08
