year,son_DET or_NOUN,son_DET mort_NOUN
1800,1.25452167765161e-06,2.2009151834367913e-08
1801,1.0381955606320048e-06,3.8098922461315965e-08
1802,9.95838888684375e-07,1.7902721083373763e-08
1803,1.0044246694373982e-06,6.046051481689574e-08
1804,1.2977217114240602e-06,4.943701892301533e-09
1805,9.950072372699736e-07,3.695740935505398e-08
1806,7.578790048867745e-07,4.034336864577881e-08
1807,9.394952158459091e-07,1.1387820464392462e-08
1808,1.0741191260876803e-06,4.75875534533543e-08
1809,9.82678247218871e-07,1.129515236897305e-08
1810,9.407309633502337e-07,1.6380886869171718e-08
1811,1.0178731670862362e-06,4.011322962682584e-08
1812,6.107906798114016e-07,5.867858199337661e-08
1813,8.655982277616658e-07,2.5881674581285097e-08
1814,9.471498465529749e-07,4.405347908686963e-08
1815,1.1220449911419905e-06,2.4275012000529728e-08
1816,1.0614625640670283e-06,6.952811659743929e-09
1817,9.761595762824982e-07,2.958059508451072e-08
1818,8.750144031566265e-07,5.24531800216721e-08
1819,1.1613878356797613e-06,1.8631889475706487e-08
1820,1.301752971194503e-06,3.20394981656591e-08
1821,8.924646834884697e-07,3.550135874164084e-08
1822,8.431543250253526e-07,4.411270992932259e-08
1823,9.872803836685762e-07,5.0401705031788424e-08
1824,1.142745000848322e-06,2.7789671008804362e-08
1825,1.0997997854644836e-06,5.547429027252804e-08
1826,1.026130223347188e-06,2.3781557501045825e-08
1827,6.885303113213226e-07,4.147772858509313e-08
1828,7.989074619629832e-07,4.861319524707142e-08
1829,9.207591245008473e-07,6.25841881651823e-08
1830,7.723258761416218e-07,2.400472176589119e-08
1831,6.89131281594868e-07,7.639690746685801e-08
1832,8.104451931778556e-07,4.194290470493911e-08
1833,1.0911778209887757e-06,1.3900354645102198e-08
1834,9.455880087827495e-07,3.173740514839096e-08
1835,8.417716941266917e-07,3.857174846189082e-08
1836,8.078341666717392e-07,4.502902689607069e-08
1837,9.170500074873189e-07,2.365682938432201e-08
1838,9.076888827230789e-07,3.850418650586107e-08
1839,7.858418245021426e-07,7.480878716492612e-08
1840,8.917564064958583e-07,3.312238161523595e-08
1841,8.539329705570253e-07,3.5955071808757566e-08
1842,1.0042272644561479e-06,2.884554017867913e-08
1843,9.297478165137818e-07,3.130662945549645e-08
1844,9.270180119091975e-07,2.4698526113198227e-08
1845,8.05226888278554e-07,3.348136745628949e-08
1846,8.418772874385638e-07,2.927250686290961e-08
1847,8.612977966393487e-07,2.480882876909618e-08
1848,8.302668921267298e-07,3.459445441222897e-08
1849,8.320759299351721e-07,2.2624420337180595e-08
1850,8.106061244461671e-07,1.2899092460827433e-08
1851,8.010203007557948e-07,3.031236261996639e-08
1852,7.747549211067906e-07,4.817803755940986e-08
