year,en_ADP arbres_NOUN,en_ADP marbre_NOUN
1800,5.093546633361257e-07,7.70005863159895e-06
1801,3.976574891595419e-07,4.443286798050394e-06
1802,4.498058672197658e-07,7.454245405824622e-06
1803,5.265915792307396e-07,1.0549384569458198e-05
1804,7.242523132333645e-07,3.942602234019432e-06
1805,7.30619550637357e-07,7.707041731919162e-06
1806,5.475171178659366e-07,1.7013375327223912e-05
1807,3.387876468252671e-07,7.598523097840371e-06
1808,6.027756604964907e-07,5.449907803267706e-06
1809,8.810219220833915e-07,4.960831120115472e-06
1810,5.663106854569833e-07,7.591371286252979e-06
1811,4.638092061526322e-07,1.0389326234871987e-05
1812,3.1473055761566116e-07,4.926333531329874e-06
1813,4.112310421078291e-07,4.437269581103465e-06
1814,2.0768068509369186e-07,7.120930149540072e-06
1815,1.8610842289490392e-07,1.0651336197042838e-05
1816,4.681559993002793e-07,4.076665391039569e-06
1817,3.9544584107265024e-07,4.066553174197907e-06
1818,3.230639027407278e-07,4.6230325096985325e-06
1819,3.540059196893708e-07,4.797711881110445e-06
1820,2.491961010875343e-07,5.185652298678178e-06
1821,3.569858844088003e-07,5.1102233555866405e-06
1822,2.2958660395033803e-07,4.494483619055245e-06
1823,3.449057843774028e-07,4.8049623728729784e-06
1824,3.1747596285214286e-07,4.2383458094263915e-06
1825,4.975075285074126e-07,5.207538833928993e-06
1826,2.6864353275257713e-07,4.182911652605981e-06
1827,3.8989065842542914e-07,4.3901873141294345e-06
1828,3.412096085675387e-07,4.137625182920601e-06
1829,2.58909910400007e-07,5.305081231199438e-06
1830,3.350224311304828e-07,5.584750851994613e-06
1831,4.614996953478112e-07,7.36060837880359e-06
1832,3.030713087159853e-07,5.798945039714454e-06
1833,3.359252165324733e-07,6.5192662077606656e-06
1834,3.6498016364738817e-07,7.415351319650654e-06
1835,3.259690970480733e-07,6.947452675376553e-06
1836,3.393978868504455e-07,5.163552486919798e-06
1837,3.374577151049607e-07,5.294954917189898e-06
1838,2.4049337188358777e-07,6.778630449844059e-06
1839,2.391084592545667e-07,5.351974323275499e-06
1840,2.1211063055970314e-07,5.590038654190721e-06
1841,3.2487976664441476e-07,9.578816388966516e-06
1842,1.5630258243248818e-07,5.903943929297384e-06
1843,2.374578198516275e-07,5.7255688261648174e-06
1844,2.2832415202955758e-07,5.009958840673789e-06
1845,2.527843374622307e-07,5.374875399866141e-06
1846,2.716488509690862e-07,5.057703674538061e-06
1847,2.6642524364461906e-07,5.111157861392712e-06
1848,2.0273958512007084e-07,7.55526752982405e-06
1849,3.418801384214021e-07,6.532591669383692e-06
1850,1.588625089254947e-07,6.552059858222492e-06
1851,2.276651875909863e-07,7.008605280134361e-06
1852,2.070353417593651e-07,6.675913482467877e-06
1853,2.2096147822558976e-07,7.089280188665725e-06
1854,1.9691567842983204e-07,6.087240308261244e-06
1855,1.8733487650024472e-07,7.79111451265635e-06
1856,1.6825864346259323e-07,5.838834113092162e-06
1857,1.5327938929221574e-07,6.148748980194796e-06
1858,1.7715106981341933e-07,5.537683591683162e-06
1859,1.5836658606716014e-07,4.746923877974041e-06
1860,1.460121733520836e-07,6.305528586381115e-06
1861,2.2683785516619537e-07,4.979114692105213e-06
1862,2.2409211913876348e-07,7.441123216267442e-06
1863,1.5633163741313183e-07,5.252343271422433e-06
1864,2.1144750750323738e-07,5.411809524957789e-06
1865,1.845083015816762e-07,5.505595709109912e-06
1866,1.6202490371597378e-07,5.196474376134574e-06
1867,1.5771636618922003e-07,6.397946890501771e-06
1868,1.6449780559923965e-07,5.241206508799223e-06
1869,1.5529590358109857e-07,6.189372015796835e-06
1870,1.9266403716855507e-07,6.883152309455909e-06
1871,2.1667201766106814e-07,4.710492248705123e-06
1872,1.354603966774448e-07,4.553646704152925e-06
1873,1.556361155508057e-07,5.3712419685325585e-06
1874,1.786408136972284e-07,4.889022875431692e-06
1875,1.5734199132477755e-07,5.347339083527913e-06
1876,1.9165867115589208e-07,6.77576872476493e-06
1877,2.7151343262588057e-07,6.271403435675893e-06
1878,2.4518701247089325e-07,9.785739166545682e-06
1879,2.1016078710633934e-07,5.612637323793024e-06
1880,1.8226683318189885e-07,6.342115739244036e-06
1881,1.9662471117953828e-07,6.541606580867665e-06
1882,2.0232370445683046e-07,5.441442681330955e-06
1883,2.1232979463547963e-07,7.949728569656145e-06
1884,1.8286700687042412e-07,6.199653398653027e-06
1885,1.8176692151428142e-07,5.692785634892061e-06
1886,1.7230748028396192e-07,8.319159860548098e-06
1887,1.7954542386178218e-07,6.051007403584663e-06
1888,1.3188478931169811e-07,6.23409232503036e-06
1889,1.8294198866897204e-07,5.770190909970552e-06
1890,1.3108773089243186e-07,5.758028692071093e-06
1891,1.2111017611005082e-07,5.45378270544461e-06
1892,1.5357855054354275e-07,5.60279613637249e-06
1893,2.389465691976511e-07,4.761687705467921e-06
1894,1.9282710383983215e-07,4.764593995787436e-06
1895,1.8356773523464653e-07,5.600320946541615e-06
1896,1.4978453538594394e-07,4.444001206138637e-06
1897,1.8878552054957254e-07,8.371239346161019e-06
1898,1.5899976801847515e-07,4.561200057651149e-06
1899,1.8959594605405528e-07,5.30094757777988e-06
1900,1.5157875121740716e-07,5.161983153811889e-06
1901,1.4642495937966515e-07,5.906738351768581e-06
1902,1.4927262270703068e-07,4.7595381147402804e-06
1903,1.5984651713374376e-07,5.37861933480599e-06
1904,1.5640158856911057e-07,6.041078904672759e-06
1905,1.7391758433404902e-07,4.727771283796756e-06
1906,1.8313296834548964e-07,5.2331788538140245e-06
1907,2.370850760158305e-07,5.332100045052357e-06
1908,1.905618915998275e-07,5.566568233916769e-06
1909,1.512770495537552e-07,4.582319434121018e-06
1910,1.3093169570765895e-07,5.725722985516768e-06
1911,2.2185960246723369e-07,5.141609562997473e-06
1912,1.3127741982366103e-07,4.818714842258487e-06
1913,1.3045354307905654e-07,4.274740149412537e-06
1914,1.8884816610498234e-07,5.534858701139456e-06
1915,1.2369800117539853e-07,2.720177917581168e-06
1916,2.351316819027005e-07,4.398280907480512e-06
