year,un_DET archer_NOUN,un_DET marché_NOUN
1800,8.489244374132454e-08,2.556205821235835e-06
1801,2.0478170137394613e-07,2.4049944897797104e-06
1802,1.5888664961494214e-07,3.282911421820245e-06
1803,1.1897069196464827e-07,2.0517569314648654e-06
1804,1.5819846188591669e-07,1.7500704441175685e-06
1805,1.250866197288758e-07,1.8535562915644732e-06
1806,1.786634911127294e-07,1.9278366778507916e-06
1807,1.537355789338335e-07,2.1551450863910304e-06
1808,1.2236799307174806e-07,2.798601386189148e-06
1809,1.7846341671123866e-07,2.3674639031412426e-06
1810,2.7145469871925343e-07,1.5421435044515874e-06
1811,2.1560860474778565e-07,2.6625154205817125e-06
1812,2.0270782519205e-07,1.7230164743864407e-06
1813,1.0640244330062387e-07,1.892238049805428e-06
1814,1.0069366851439554e-07,3.0680102582891777e-06
1815,9.710004844620812e-08,1.7882592473483783e-06
1816,3.4764060075076486e-08,1.33262227031139e-06
1817,1.7436981503138327e-07,1.5397477719503172e-06
1818,1.692807256592488e-07,1.9777234356865847e-06
1819,2.028805772269493e-07,1.5940617092979892e-06
1820,3.4412794036597916e-07,1.6660539010615594e-06
1821,1.6074226505402578e-07,1.9003087707858413e-06
1822,2.7069162911175226e-07,2.3189248992139255e-06
1823,1.9271238960172354e-07,2.2522644300693173e-06
1824,1.2968513818378824e-07,1.9587508894858274e-06
1825,3.80395130061828e-07,2.0921731724854453e-06
1826,3.584849677107371e-07,2.5419842017981864e-06
1827,2.2766664464768382e-07,2.2849620080478417e-06
1828,1.9537001577640822e-07,2.4352459249143976e-06
1829,2.606245491643122e-07,2.541946631851033e-06
1830,2.3900354051420436e-07,2.5695490091237616e-06
1831,2.3698633611068942e-07,3.189960736449393e-06
1832,2.1242052483660956e-07,2.6410500204576692e-06
1833,2.6526508689617145e-07,3.1866561513993474e-06
1834,3.0617261614906965e-07,2.9254420255142577e-06
1835,3.3958265532874066e-07,3.076664178536248e-06
1836,5.181698344847163e-07,2.5827841483305747e-06
1837,4.4947976185483185e-07,2.705228013155647e-06
1838,5.100226772025707e-07,2.1966322876210143e-06
1839,2.8874791413446843e-07,2.680531519416718e-06
1840,2.433221119590989e-07,2.9281458751029277e-06
1841,2.2600330673583358e-07,2.719744358614662e-06
1842,2.837596184690483e-07,2.7986882713548766e-06
1843,2.66992375819175e-07,3.2275362116251927e-06
1844,2.8979603616807736e-07,3.136712777518369e-06
1845,2.929619640212877e-07,2.932409820743942e-06
1846,2.3359459988547826e-07,2.8236259197456093e-06
1847,1.634146782336643e-07,2.8055549847749717e-06
1848,1.7055870671356388e-07,3.7120652507383056e-06
1849,1.8267124834991932e-07,3.189205330045297e-06
1850,1.7651389860873223e-07,2.659928568959913e-06
1851,1.8832360670906212e-07,3.4343260750802074e-06
1852,2.168011612457832e-07,3.1198534813370316e-06
1853,1.6900566413013962e-07,3.1024186242234464e-06
1854,2.1925703458380852e-07,3.2270272427581403e-06
1855,2.1652303061614475e-07,2.731480499562622e-06
1856,1.765421588362237e-07,3.0711085514667502e-06
1857,2.6018444043707234e-07,3.088530803552203e-06
1858,2.0993869354057892e-07,2.6969049571334835e-06
1859,2.525718025836454e-07,3.3664357417251267e-06
1860,2.4533706299845193e-07,3.3257817975140824e-06
1861,1.8958174718974874e-07,3.834078540876362e-06
1862,2.8553673736553264e-07,3.277799045520169e-06
1863,3.1665896504939894e-07,3.3214229162581432e-06
1864,2.301469355092678e-07,2.874918905604318e-06
1865,1.7838940358227973e-07,3.093338079906971e-06
1866,2.534984275825991e-07,2.746152034660554e-06
1867,2.2419989065269874e-07,3.615344624563477e-06
1868,2.8305479160550817e-07,3.1788088676876214e-06
1869,2.3001375570874671e-07,2.954040660085866e-06
1870,2.1215980838817927e-07,2.799362540883976e-06
1871,1.9330542899709258e-07,3.6133245657765656e-06
1872,1.602544973389186e-07,3.5788154519877935e-06
1873,2.1370035296897072e-07,3.564665703947867e-06
1874,2.7363709981242934e-07,3.346976050977446e-06
1875,2.2600032456576713e-07,2.8132749179121674e-06
1876,1.8924026545796835e-07,3.2025739571395206e-06
1877,2.0657285482172938e-07,3.7294440531354667e-06
1878,2.409596424612914e-07,3.224873239560111e-06
1879,2.9569133508378087e-07,3.216559655072615e-06
1880,2.9650448474249913e-07,3.1864605745113295e-06
1881,3.848824197683065e-07,3.6187314549351868e-06
1882,1.7836431442930234e-07,3.5113812018039425e-06
1883,2.7741897001831717e-07,3.6949175665768053e-06
1884,1.3929580333638114e-07,3.601885879334077e-06
