year,certain_ADJ air_NOUN,certain_ADJ maire_NOUN
1800,4.0245306109909507e-07,6.288328968651058e-09
1801,4.548058663012e-07,7.143547975374531e-09
1802,5.370816325012129e-07,0.0
1803,5.148895745321624e-07,0.0
1804,7.390834433351756e-07,0.0
1805,4.747605641952646e-07,2.842877711017877e-09
1806,5.993871923237748e-07,0.0
1807,4.98217161748471e-07,0.0
1808,4.804076860764894e-07,0.0
1809,4.0888451291465344e-07,0.0
1810,6.973577750812865e-07,0.0
1811,6.86939010563492e-07,0.0
1812,6.721364824713305e-07,0.0
1813,6.873022417863694e-07,0.0
1814,4.908816322313214e-07,0.0
1815,3.668224120012553e-07,0.0
1816,3.986278791501263e-07,0.0
1817,5.760431385226639e-07,9.341240669868967e-09
1818,5.698322702585301e-07,1.1921177378582115e-09
1819,5.682726600397814e-07,6.210630232317271e-09
1820,5.600979307018861e-07,0.0
1821,5.157558344848212e-07,0.0
1822,5.223346022376063e-07,6.015369535816717e-09
1823,5.208175863913311e-07,0.0
1824,5.692672075952032e-07,1.0105335235266466e-08
1825,5.90845206538404e-07,8.805443041381977e-10
1826,3.9019371000925673e-07,5.284790383086602e-09
1827,3.972644548322357e-07,6.452091305675367e-09
1828,5.622620493639374e-07,3.668920500743411e-09
1829,5.17819831458155e-07,8.57317605795771e-10
1830,5.844628239159988e-07,0.0
1831,3.1026501345898794e-07,1.5591206103948707e-09
1832,5.398457871841345e-07,0.0
1833,3.7067610136887197e-07,6.950177322551099e-09
1834,4.72327278622231e-07,9.334530925997342e-10
1835,5.097521480479372e-07,2.2689263801112247e-09
1836,4.529785648799134e-07,2.016224964762614e-09
1837,4.7104920808394013e-07,1.3915781860163179e-09
1838,4.740433725558546e-07,0.0
1839,4.6842882861497515e-07,4.894032734625853e-09
1840,3.904619176875457e-07,6.369688665408546e-10
1841,4.5200661880073767e-07,1.2841097074556274e-09
1842,5.091573451743159e-07,0.0
1843,5.038595127793144e-07,0.0
1844,4.2152149903884606e-07,2.195424508855126e-09
1845,5.290056295237378e-07,1.1160455892778032e-09
1846,4.349894542343691e-07,4.0981511517657054e-09
1847,3.446269838391913e-07,2.6966118227278457e-09
1848,4.5053242864190324e-07,8.045221711050488e-10
1849,3.829392674070675e-07,2.513824481908955e-09
1850,4.72514111393707e-07,0.0
1851,3.682629550194605e-07,0.0
1852,4.2904494446105446e-07,1.9531636308300904e-09
1853,6.288444069912913e-07,1.7915795513800958e-09
1854,5.497013022548458e-07,0.0
1855,5.497986990121717e-07,5.837630823180007e-09
1856,5.208252407129521e-07,1.0354378465748937e-09
1857,5.696721321335474e-07,9.763018171682347e-10
1858,5.931135289571898e-07,9.787352039936081e-10
1859,6.334663549267816e-07,1.5276520048956854e-09
1860,5.323265026557777e-07,9.154367819341758e-10
1861,4.961193851293899e-07,4.715963730639317e-10
1862,4.960749184768076e-07,4.517986262886353e-10
1863,5.564007468095156e-07,0.0
1864,5.130358768923315e-07,2.8768367688059016e-09
1865,4.979841126129259e-07,8.47231973466478e-09
1866,4.417976597892448e-07,0.0
1867,4.940162234845502e-07,1.94112459439566e-09
1868,5.364703152821448e-07,4.939874287401835e-09
1869,4.800499455726026e-07,1.4650557433881772e-09
1870,4.696186093333665e-07,5.734048791339319e-10
1871,4.418409815798441e-07,1.0621177271019633e-09
1872,4.928581636143292e-07,0.0
1873,4.381755167592871e-07,3.591602570907071e-09
1874,4.719941233410907e-07,1.1949218281515073e-09
1875,4.582943331499223e-07,5.721527140956084e-10
1876,5.024238056705599e-07,3.02300739996042e-09
1877,4.075793698099517e-07,0.0
1878,4.6621763583054587e-07,2.4156354694326865e-09
1879,3.958842726969891e-07,1.832797580370027e-09
1880,4.081750315521049e-07,0.0
1881,4.2950645529060694e-07,6.972507571312292e-10
1882,5.064748265226626e-07,0.0
1883,4.2276378664496406e-07,1.2638677882037541e-09
1884,4.700408249291854e-07,6.601696966868076e-10
1885,3.3775132035618327e-07,7.090199094506033e-09
1886,4.0527753952801504e-07,0.0
1887,2.8270242879990803e-07,0.0
1888,3.2020102946894724e-07,6.340614699951175e-10
1889,4.097399528557588e-07,3.132568426877924e-09
1890,3.074007223213826e-07,6.554386478008212e-10
1891,3.295471712183584e-07,3.824531802365527e-09
1892,3.72976478590914e-07,6.268512375839919e-10
1893,3.1900597730061264e-07,6.158416554491453e-10
1894,3.094055904817594e-07,0.0
1895,2.9069907636625203e-07,1.8055843487019274e-09
1896,2.771603693219049e-07,1.7691086373616827e-09
1897,2.79682260018177e-07,0.0
1898,2.942344670131547e-07,7.921697076085366e-09
1899,2.747206337971875e-07,3.8693048765026106e-09
1900,2.720111974552353e-07,2.07642125715779e-09
1901,2.403157783881227e-07,5.029864968975062e-09
1902,2.1948968154106296e-07,9.820567692386817e-10
