year,mon_DET arc_NOUN,mon_DET mark_NOUN
1800,1.1633408902866904e-07,0.0
1801,1.547768651022352e-07,0.0
1802,1.208433673127729e-07,2.2378401354217203e-09
1803,2.340407121437238e-07,0.0
1804,1.9280438046109794e-07,0.0
1805,1.4214388199818018e-07,0.0
1806,1.2391177062198722e-07,0.0
1807,1.708173051895301e-07,0.0
1808,1.8128591650068415e-07,0.0
1809,7.002994717453248e-08,0.0
1810,2.410330584012854e-07,0.0
1811,1.2535383930867283e-07,0.0
1812,1.0668832839400011e-07,0.0
1813,1.5241430872947603e-07,0.0
1814,1.6677388892105682e-07,0.0
1815,5.933891733533869e-08,0.0
1816,1.1819779999200364e-07,2.3176038865813098e-09
1817,1.728129532807543e-07,1.556873407970727e-09
1818,1.7047283229487675e-07,1.1921177378582115e-09
1819,1.5837106914773358e-07,0.0
1820,1.5426426092091106e-07,0.0
1821,1.429915830186701e-07,0.0
1822,2.245737960038241e-07,0.0
1823,8.79559163280419e-08,0.0
1824,2.1473837108487714e-07,0.0
1825,1.3648437047208972e-07,0.0
1826,1.7792127771087962e-07,0.0
1827,7.742509211539073e-08,0.0
1828,1.8161156134510748e-07,9.172301251858528e-10
1829,9.259030164798787e-08,0.0
1830,1.9829987962793894e-07,0.0
1831,1.1381580122815649e-07,0.0
1832,2.327154682291166e-07,0.0
1833,7.066013374412705e-08,0.0
1834,1.5868703151511454e-07,0.0
1835,1.6260639768006513e-07,7.563087933704082e-10
1836,1.4718443219763344e-07,0.0
1837,1.0228099434073101e-07,0.0
1838,1.350802669719542e-07,0.0
1839,8.459685396644545e-08,0.0
1840,7.261444884276713e-08,0.0
1841,9.502411613127038e-08,0.0
1842,8.85490987201365e-08,0.0
1843,1.1341269168241297e-07,0.0
1844,8.946355123384819e-08,5.488561272137815e-10
1845,9.765399111572037e-08,0.0
1846,8.137757046000615e-08,0.0
1847,7.334784069001898e-08,0.0
1848,4.746680914990975e-08,0.0
1849,2.0948537127196687e-08,0.0
1850,9.300924652677622e-08,0.0
1851,6.578427669268194e-08,0.0
1852,9.049657823112511e-08,1.9531636308300904e-09
1853,9.73424869599171e-08,0.0
1854,1.0651112347659364e-07,0.0
1855,9.234070574848374e-08,0.0
1856,9.836659842221707e-08,0.0
1857,1.122747095294585e-07,4.881509085841174e-10
1858,9.59160502134182e-08,9.787352039936081e-10
1859,8.962225273023705e-08,0.0
1860,1.0847925624446475e-07,1.373155145145688e-09
1861,1.1176833769610539e-07,0.0
1862,1.4999714981200896e-07,0.0
1863,8.740586165956188e-08,0.0
1864,1.4192395081380482e-07,0.0
1865,1.5297243827205875e-07,0.0
1866,9.487945229480488e-08,0.0
1867,7.230689291759518e-08,0.0
1868,1.3041267266089562e-07,0.0
1869,7.471784257973013e-08,0.0
1870,9.51852099362327e-08,0.0
1871,9.134212675121489e-08,0.0
1872,7.498700638208788e-08,0.0
1873,3.41202257558848e-08,0.0
1874,6.631816001911872e-08,0.0
1875,7.266339263622967e-08,0.0
1876,1.0882826684266433e-07,0.0
1877,7.050690375987045e-08,0.0
1878,8.756678315791078e-08,0.0
1879,7.514470379277327e-08,0.0
1880,9.81930501353645e-08,0.0
1881,4.8807552666119136e-08,0.0
1882,7.454031525355731e-08,0.0
1883,7.077659258669655e-08,0.0
1884,4.885255666664534e-08,6.601696966868076e-10
1885,6.574548283566628e-08,0.0
1886,4.001147502208369e-08,0.0
