year,un_DET axe_NOUN,un_DET max_NOUN
1800,2.587647465190912e-06,3.144164484325529e-09
1801,2.154970286882829e-06,0.0
1802,3.2717223632516834e-06,4.475680270843441e-09
1803,1.9951971086396014e-06,0.0
1804,1.5226601433049325e-06,2.4718509461507665e-09
1805,2.01560020141045e-06,0.0
1806,2.3312702852607003e-06,0.0
1807,1.910306991703692e-06,0.0
1808,2.0734576082759304e-06,0.0
1809,2.1167114949705024e-06,2.259030518203531e-09
1810,3.3861633585985373e-06,2.3401267590372754e-09
1811,5.4228071895146e-06,5.0141535368197765e-09
1812,2.632534489066529e-06,0.0
1813,3.068416309703892e-06,5.751483289628823e-09
1814,2.7250224468033934e-06,3.1466771410748606e-09
1815,3.438960032298155e-06,0.0
1816,3.789282416732931e-06,0.0
1817,2.0177078638994317e-06,0.0
1818,2.856314090138312e-06,1.1921177378582115e-09
1819,3.522462218796818e-06,7.24573512300708e-09
1820,1.8855838739284536e-06,0.0
1821,1.9328517346650642e-06,0.0
1822,2.906426104232196e-06,0.0
1823,3.1476358799409354e-06,1.9765373782121287e-09
1824,2.496017724951116e-06,0.0
1825,2.787803365933428e-06,0.0
1826,3.798883692951449e-06,1.7615968683770689e-09
1827,3.0536825725846484e-06,9.217273055917019e-10
1828,3.136009766535608e-06,0.0
1829,2.3044696142449084e-06,3.429270478694235e-09
1830,3.544349489459364e-06,1.0436835840010872e-09
1831,2.581903838727584e-06,0.0
1832,2.5003383283817016e-06,4.058990921151917e-09
1833,3.8040635157443603e-06,1.1583628500844156e-09
1834,2.690211902134365e-06,9.334530925997342e-10
1835,2.2772458478925728e-06,5.294161553592858e-09
1836,2.008832236555236e-06,1.0753200108126748e-08
1837,2.6314744125954803e-06,0.0
1838,2.917481243258635e-06,6.312161904276081e-10
1839,2.8322466913976996e-06,2.0974426639952526e-09
1840,2.8052108405063336e-06,2.547875410652267e-09
1841,2.441734501701376e-06,2.5682194149112547e-09
1842,2.7134932363281905e-06,1.341653010911159e-09
1843,2.486218956931907e-06,2.9534555912036353e-09
1844,2.85899148622093e-06,1.097712254427563e-09
1845,2.1176964075664273e-06,4.464182357111213e-09
1846,2.221197707541478e-06,0.0
1847,3.315753986044001e-06,2.1572894581822766e-09
1848,3.500475941109471e-06,5.63165514222419e-09
1849,2.652084845067293e-06,0.0
1850,3.036718023707863e-06,2.0366988096043315e-09
1851,3.2227846364918378e-06,1.2898877521649865e-09
1852,3.666088161935477e-06,6.510545436100301e-10
1853,3.4810390445727535e-06,2.388772735173461e-09
1854,3.2000097842654895e-06,0.0
1855,3.8284244716635385e-06,6.8990182455763716e-09
1856,3.8632186338816155e-06,5.694908267184218e-09
1857,3.3443218363515825e-06,8.786716354514112e-09
1858,4.146900991486291e-06,9.787352039936081e-10
1859,2.791529460921538e-06,2.5460866748261424e-09
1860,2.4121759913953156e-06,3.204028681258464e-09
1861,3.800123504760222e-06,1.3676294763342867e-08
1862,3.1942163065679097e-06,3.1625904395315985e-09
1863,2.388427729371756e-06,4.495158911765884e-09
1864,3.263771422012951e-06,4.315255264231155e-09
1865,2.6847839134092055e-06,2.1180800002795763e-08
1866,3.8871381562444185e-06,1.3623716599298064e-08
1867,4.8998838515501575e-06,6.308654931785895e-09
1868,4.490345350660618e-06,4.93987406535723e-09
1869,3.8965598854190375e-06,2.4417595723136287e-09
1870,3.800527554886912e-06,8.601073187008978e-09
1871,4.4046020946098e-06,5.310588635509816e-09
1872,4.074697276479355e-06,1.2094678591978436e-09
1873,4.670879427237651e-06,5.38740402289406e-09
1874,4.623152346283632e-06,1.4936523073938446e-08
1875,3.4546581986205638e-06,1.0298748687187498e-08
1876,4.1137084885178865e-06,6.04601479992084e-09
1877,4.030644625174773e-06,3.092407996341251e-09
1878,3.988214045236305e-06,6.039088562559414e-09
1879,4.007106500836244e-06,7.331190543524713e-09
1880,3.404667346273982e-06,1.9253538763308597e-09
1881,3.878805905799254e-06,6.972507571312292e-10
1882,4.230828192675062e-06,7.986462380316084e-09
1883,4.311053157124434e-06,6.951272668587194e-09
1884,5.5460854611055765e-06,1.1883054540362536e-08
1885,4.69822402848763e-06,5.156508664505566e-09
1886,4.6051917088618666e-06,4.5174246565693466e-09
1887,4.0270405996523095e-06,1.828098922240784e-08
1888,4.092866678462315e-06,1.9021844099853524e-09
1889,4.160677251618949e-06,8.14467782106476e-09
1890,4.411757533517857e-06,3.932631886804927e-09
1891,5.556407806750485e-06,1.0198752065093686e-08
1892,4.029399864435845e-06,1.56712811616444e-08
1893,4.884240304647847e-06,1.9091090985856596e-08
1894,4.677632446714597e-06,5.041231654345779e-09
1895,3.223569960297823e-06,1.2639090218868887e-08
1896,3.879655157135176e-06,5.89702897624278e-09
1897,4.198147163236854e-06,8.740070334134487e-09
1898,3.883894986955738e-06,2.2633419360928997e-08
1899,3.6459906667118958e-06,1.8241008703512307e-08
1900,4.041753861372399e-06,1.245852798703595e-08
1901,4.216703324289028e-06,1.508959468488058e-08
1902,1.896597187567295e-05,1.2275709171394311e-08
1903,3.3799979295423555e-06,8.100329962346109e-09
1904,4.162109888738996e-06,1.1286712897629059e-08
1905,3.264180119089133e-06,2.167518786677647e-08
1906,3.255754343456374e-06,1.4403716164235192e-08
1907,3.935303787727662e-06,7.1999805006939255e-09
1908,3.6265696934378866e-06,2.6521500329224068e-08
1909,4.008016546208637e-06,1.760314710663735e-08
1910,3.93650145014135e-06,3.20649036211762e-08
1911,4.647347029873572e-06,1.862130905028181e-08
1912,3.6481577403435494e-06,2.031674295466246e-08
1913,4.2689065509193824e-06,1.96210621083992e-08
1914,4.076308023570618e-06,4.888622778809193e-08
1915,3.487105560751047e-06,3.180805663305364e-08
1916,3.1874626778005677e-06,1.7579939504130948e-08
1917,3.1144644552227874e-06,7.12817573855773e-08
1918,3.4137510382947767e-06,2.5270027848023346e-08
1919,5.032089248402372e-06,3.222746935982457e-08
1920,3.802774852346147e-06,1.9687802499390727e-08
1921,4.634521555857418e-06,2.6504616723599383e-08
1922,3.5000924896166907e-06,7.009038682781465e-08
1923,3.178414964111198e-06,2.9724654737606215e-08
1924,3.448509481529527e-06,2.578324898028228e-08
1925,2.848528094290259e-06,2.969508017258704e-08
1926,3.871053912973821e-06,1.894843482119768e-08
1927,2.4160371268067138e-06,4.0137208667800905e-08
1928,2.7593889573296337e-06,3.199291476185806e-08
1929,2.818522879977081e-06,4.456162705501754e-08
1930,2.9788219322313125e-06,3.571225182241733e-08
1931,2.851339125697905e-06,3.4216069977333063e-08
1932,2.8494795785150018e-06,4.931791597329038e-08
1933,2.679546689421386e-06,4.2441450798236247e-08
1934,2.5772378577926247e-06,3.71428985346256e-08
1935,2.871191270514828e-06,4.6676309040094566e-08
1936,3.1609130601850666e-06,3.273672888326473e-08
1937,3.1200791532626226e-06,3.5255131147771124e-08
1938,2.9184698142614707e-06,2.074434324317309e-08
1939,2.9028106851569646e-06,2.4470479864646677e-08
1940,3.6236338587514183e-06,3.0429395003750415e-08
1941,3.323392022025473e-06,2.3612021671226557e-08
1942,3.3983172293972075e-06,1.8205270624349623e-08
