year,en_ADP oie_NOUN,en_ADP mois_NOUN
1800,3.144164484325529e-09,7.105811619112501e-07
1801,1.666827853519237e-08,6.214886525413021e-07
1802,2.0140561218795483e-08,6.154060656626825e-07
1803,9.751696339321825e-09,6.065554885026359e-07
1804,1.2359254952798437e-08,7.613301136188966e-07
1805,3.695740957709859e-08,8.585490718360234e-07
1806,1.4408345627714425e-08,9.134890888162772e-07
1807,0.0,6.291770660027396e-07
1808,1.0877154998922833e-07,7.772633807689999e-07
1809,0.0,7.658113645447884e-07
1810,2.3401266702194334e-08,7.628813136761892e-07
1811,1.504245972228091e-08,8.398707223022939e-07
1812,2.6672082320544632e-09,5.841185952704109e-07
1813,5.751483289628823e-09,6.096572064961947e-07
1814,1.1642705288750221e-07,6.670955485787999e-07
1815,0.0,6.365447688949644e-07
1816,2.3176038865813098e-09,7.068691729728016e-07
1817,4.670620334934483e-09,7.753229738227674e-07
1818,4.768470951432846e-09,8.571326475248497e-07
1819,4.140420006848444e-09,7.991010875230131e-07
1820,2.3732962262101864e-09,6.324834203041974e-07
1821,1.577838126820552e-08,6.912903245392954e-07
1822,1.0025615893027862e-09,8.100697641566512e-07
1823,1.9765373782121287e-09,7.263774932653178e-07
1824,1.9368560089105813e-08,7.924267038106336e-07
1825,7.924898959288385e-09,9.007968060359417e-07
1826,3.5231937367541377e-09,8.349969107257493e-07
1827,1.8434546111834038e-09,8.203372772186412e-07
1828,7.337841001486822e-09,8.447689197055297e-07
1829,9.430493719264632e-09,9.104712717089569e-07
1830,2.0873671680021744e-09,6.502148721665435e-07
1831,1.5591206103948707e-09,6.00261444105854e-07
1832,2.0294953273491956e-08,7.15735382073035e-07
1833,2.3167257001688313e-09,6.533166470035212e-07
1834,3.733812370398937e-09,9.60523266257951e-07
1835,7.563087933704082e-09,5.725257778976811e-07
1836,2.016224964762614e-09,6.640100878030353e-07
1837,1.3915781860163179e-09,5.865501861990197e-07
1838,4.418513332993257e-09,5.800876579087344e-07
1839,2.0974426639952526e-09,6.509063155135664e-07
1840,5.732719632334238e-09,6.401537007150182e-07
1841,2.3113974734201292e-08,5.09149515437457e-07
1842,1.341653010911159e-09,5.990480644868512e-07
1843,1.7720733214154905e-09,7.625822036061436e-07
1844,3.2931368743049916e-09,5.433675482890976e-07
1845,3.9061593959388574e-09,5.262155013951997e-07
1846,2.9272506640865004e-09,4.472838952551683e-07
1847,7.011190739092399e-09,5.970298389001982e-07
1848,4.82713291560799e-09,6.39595100437873e-07
1849,1.9272654583346593e-08,5.547172463593597e-07
1850,6.788996032014438e-09,5.865692855877569e-07
1851,1.0964046337491595e-08,6.0044277461202e-07
1852,5.208436348880241e-09,5.709748620574828e-07
1853,1.791579506971175e-08,7.369363856923883e-07
1854,7.79349651480743e-09,6.255580160541285e-07
1855,1.0083180512765466e-08,5.890699981137004e-07
1856,1.3978411317339123e-08,5.969299081698409e-07
1857,1.4156376515472857e-08,5.955441224614333e-07
1858,1.5659763041853125e-08,5.294957645674003e-07
1859,2.036869339860914e-09,5.27549161688512e-07
1860,4.57718396518203e-09,6.018996714374225e-07
1861,7.073945706981277e-09,6.508029741780774e-07
1862,1.490935469528054e-08,5.995368042022164e-07
1863,3.9956967790022446e-08,6.49800142582535e-07
1864,1.4384183844029508e-09,1.1310763738947571e-06
1865,1.3179164426446732e-08,5.535248988053354e-07
1866,1.702964580463373e-08,4.5347510990723094e-07
1867,1.4073153309368536e-08,7.463623887815629e-07
1868,1.2349685274415378e-08,5.048551088293607e-07
1869,2.24641887314192e-08,1.0597236723697279e-06
1870,9.17447806614291e-09,6.118229975982103e-07
1871,2.2304472935275044e-08,1.037689003169362e-06
1872,7.256807155187062e-09,5.678451771018445e-07
1873,2.5141218329416404e-08,5.818396289214434e-07
1874,1.1949218503559678e-08,6.817028861405561e-07
1875,9.7265964171811e-09,8.856924296196667e-07
1876,2.1161051577678336e-08,6.00369276071433e-07
1877,2.2265337129567797e-08,7.155832122407446e-07
1878,2.1740719446938783e-08,6.787935831198411e-07
1879,1.5273313280772527e-08,5.498392852132383e-07
1880,1.6044615858135103e-08,7.964547421579482e-07
1881,2.1614772693911988e-08,6.826085154898465e-07
1882,3.327692410515226e-08,4.7253234924937715e-07
1883,8.847074184359371e-09,7.469458864761691e-07
1884,1.4523733327109767e-08,4.984281076758634e-07
1885,1.546952527187173e-08,7.103090524651634e-07
1886,2.0005737511041843e-08,5.072422482044203e-07
1887,2.0239665943222462e-08,5.379833964980207e-07
