year,en_ADP airs_NOUN,en_ADP maire_NOUN
1800,0.0,0.0
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,0.0
1803,7.801356671777171e-09,1.950339223455444e-09
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,4.3225035994964855e-08,2.881669125542885e-09
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,1.2535384286138651e-08,4.262030373070047e-08
1812,2.9339290108509886e-08,2.6672082320544632e-09
1813,4.3136125782439194e-08,2.8757416448144113e-09
1814,0.0,6.293354282149721e-09
1815,3.506390555685357e-08,0.0
1816,1.228330006597389e-07,0.0
1817,6.227493631882908e-09,1.2454987263765815e-08
1818,5.960588467246453e-09,4.768470951432846e-09
1819,0.0,8.280840013696888e-09
1820,2.0173018810965004e-08,3.5599443393152796e-09
1821,1.676452932031225e-08,5.9168927535324656e-09
1822,1.0025615893027862e-09,6.015369535816717e-09
1823,1.2847492847356534e-08,4.941343556552624e-09
1824,1.7684335773537896e-08,1.2631669044083083e-08
1825,4.4027217427355936e-09,3.610231535944308e-08
1826,7.0463874735082754e-09,1.7615968683770689e-09
1827,5.530363722527909e-09,1.1982455361270183e-08
1828,1.0089530988466322e-08,2.8434133270138773e-08
1829,1.7146351893870815e-08,2.743416338546467e-08
1830,1.982998831806526e-08,4.174734336004349e-09
1831,0.0,6.236482441579483e-09
1832,2.976593194148336e-08,8.117981842303834e-09
1833,2.085053074640797e-08,3.4750886612755494e-09
1834,1.8669061851994684e-09,6.534171648198139e-09
1835,6.050470346963266e-09,6.806779140333674e-09
1836,1.1425274948351216e-08,1.6129800772812786e-08
1837,2.5048407792382932e-08,4.174734669071256e-09
1838,2.1461350030449466e-08,1.2624323808552163e-08
1839,5.2436064379435265e-08,2.09744255297295e-09
1840,7.0066574764382494e-09,1.0828470564661075e-08
1841,1.733548060656176e-08,6.420548537278137e-09
1842,6.708265054555795e-09,8.049918065466954e-09
1843,1.3585895075607368e-08,1.1813822142769936e-09
1844,1.0977122322231025e-08,2.195424508855126e-09
1845,5.580227835366713e-09,9.48638767539478e-09
1846,9.952652035849496e-09,1.2879902921980602e-08
1847,9.168480197274675e-09,8.089835468183537e-09
1848,2.735375304041554e-08,2.735375392859396e-08
1849,6.703531951757213e-09,5.02764896381791e-09
1850,2.0366988096043315e-09,2.7155984128057753e-09
1851,3.8696632564949596e-09,4.514607132577453e-09
