year,bien_ADV hériter_VERB,bien_ADV mériter_VERB
1800,3.144164484325529e-09,7.891852646935149e-07
1801,0.0,1.4763331819267478e-06
1802,8.951360541686881e-09,1.3650824257638305e-06
1803,0.0,3.1400460898112215e-07
1804,0.0,3.831368928786105e-07
1805,0.0,4.662319383896829e-07
1806,0.0,3.429186392622796e-07
1807,0.0,1.992868590150465e-07
1808,4.5321479902327155e-09,1.7222161829977267e-07
1809,0.0,2.5301142159150913e-07
1810,4.680253518074551e-09,3.48678895534249e-07
1811,0.0,1.780024518893697e-07
1812,0.0,2.4805035536701325e-07
1813,2.8757416448144113e-09,2.0705340375570813e-07
1814,0.0,4.1536137018738373e-07
1815,0.0,3.1557516422253684e-07
1816,0.0,2.64206846622983e-07
1817,0.0,3.300571620457049e-07
1818,0.0,6.485120707111491e-07
1819,0.0,2.887942969209689e-07
1820,2.3732962262101864e-09,3.9871378021416604e-07
1821,2.9584463767662328e-09,4.053071620546689e-07
1822,0.0,2.396122340542206e-07
1823,9.882686891060644e-10,3.1328116278928064e-07
1824,0.0,4.0252919575323176e-07
1825,0.0,3.707091593696532e-07
1826,0.0,4.5096879830452963e-07
1827,7.373818444733615e-09,3.6408229675544135e-07
1828,0.0,2.7425181770013296e-07
1829,1.714635211591542e-09,2.6834041477741266e-07
1830,4.174734336004349e-09,2.4422195110673783e-07
1831,1.5591206103948707e-09,2.011265536339124e-07
1832,0.0,2.5030442429851973e-07
1833,1.1583628500844156e-09,2.791654480915895e-07
1834,1.8669061851994684e-09,2.9870500384276966e-07
1835,0.0,3.274817004239594e-07
1836,6.72075017860152e-09,2.634534155276924e-07
1837,2.7831563720326358e-09,2.2543567013144639e-07
1838,1.8936485712828244e-09,2.0893256191811815e-07
1839,0.0,2.7126924351250636e-07
1840,6.369688665408546e-10,4.2485822859816835e-07
1841,2.5682194149112547e-09,3.8587495510000736e-07
1842,6.708265054555795e-10,3.367549084032362e-07
1843,4.134837805480629e-09,3.219266488940775e-07
1844,0.0,2.8375862370921823e-07
1845,5.580227946389016e-10,2.410658339613292e-07
1846,0.0,1.879294870832382e-07
1847,1.6179670936367074e-09,4.961765966982057e-07
1848,1.6090443422100975e-09,2.703194468267611e-07
1849,5.865590679832167e-09,2.438409865135327e-07
1850,2.7155984128057753e-09,2.2539467181559303e-07
1851,0.0,2.154112479502146e-07
1852,1.9531636308300904e-09,1.9726952871224057e-07
1853,0.0,2.1678113171219593e-07
1854,1.4028294081924741e-08,2.2029617241514643e-07
1855,4.2455496895854594e-09,2.3138245808240754e-07
