year,voudrait_VERB être_VERB,voudrait_VERB etre_VERB,voudrait_VERB mettre_VERB
1800,2.1065902444661333e-07,0.0,4.087413785214267e-08
1801,1.142967676059925e-07,0.0,5.714838380299625e-08
1802,1.4098392853156838e-07,0.0,1.7902721083373763e-08
1803,1.014176405078615e-07,1.950339223455444e-09,3.315576790896557e-08
1804,2.2988213288499537e-07,0.0,5.438072037122765e-08
1805,1.6772978028711805e-07,0.0,1.9900143755080535e-08
1806,2.0748018414451508e-07,0.0,1.4408345627714425e-08
1807,2.1921555060089304e-07,0.0,1.1387820464392462e-08
1808,2.1980918063491117e-07,0.0,3.3991110370834576e-08
1809,2.4623432182124816e-07,0.0,4.292158095609011e-08
1810,2.3635280399503245e-07,0.0,8.658469141664682e-08
1811,1.3036799373367103e-07,2.5070767684098882e-09,4.011322829455821e-08
1812,3.947468201204174e-07,0.0,8.535066342574282e-08
1813,2.3581081620704936e-07,0.0,5.7514832008109806e-08
1814,2.2970742463712668e-07,0.0,4.405347908686963e-08
1815,2.0768621311617608e-07,0.0,5.933891955578474e-08
1816,1.2978581764855335e-07,0.0,3.9399267848239106e-08
1817,3.4406903637318464e-07,0.0,7.7843672841027e-08
1818,3.6955648852199374e-07,1.1921177378582115e-09,7.629553522292554e-08
1819,2.6705708933150163e-07,0.0,1.0972112818308233e-07
1820,2.5987594653997803e-07,1.1866481131050932e-09,1.1391821885808895e-07
1821,3.8952879322096123e-07,0.0,4.2404398215012407e-08
1822,2.8673261454059684e-07,0.0,9.023054303725075e-08
1823,2.3619621458692563e-07,0.0,6.028439258898288e-08
1824,2.054751462310378e-07,0.0,7.410579172528742e-08
1825,3.3812901278906793e-07,0.0,8.981552213072064e-08
1826,2.2636520213836775e-07,0.0,7.48678701256722e-08
1827,2.617705661123182e-07,0.0,1.1705936486805513e-07
1828,2.522382942515833e-07,0.0,6.237164740241496e-08
1829,3.2663800197951787e-07,1.714635211591542e-09,1.2602568233432976e-07
1830,3.7990082546457415e-07,0.0,8.036363396968227e-08
1831,2.853190608220757e-07,0.0,6.548306430431694e-08
1832,3.8695711168657e-07,1.3529969367098715e-09,6.764985016616265e-08
1833,3.544590185811103e-07,0.0,6.486831694019202e-08
1834,3.565790791526524e-07,0.0,8.774458848392896e-08
1835,3.8647380051770597e-07,0.0,9.907645193152348e-08
1836,3.057941171391576e-07,3.36037508930076e-09,7.392824841190304e-08
1837,2.6787878937284404e-07,0.0,1.0436836106464398e-07
1838,2.8089121428820363e-07,0.0,5.302215910774066e-08
1839,2.530914002818463e-07,6.9914751765765e-10,8.459684863737493e-08
1840,2.981014404213056e-07,0.0,8.153201491722939e-08
1841,2.9727138439739065e-07,6.420548537278137e-10,9.438206660661308e-08
1842,3.186425772128132e-07,6.708265054555795e-10,6.842430622100437e-08
1843,3.685912588480278e-07,1.1813822142769936e-09,4.961805188941071e-08
1844,2.821120403950772e-07,1.097712254427563e-09,6.970472554712615e-08
1845,3.716431820066646e-07,0.0,8.593551115154696e-08
1846,3.495137264053483e-07,1.7563503984519002e-09,7.962121628679597e-08
1847,2.847622226909152e-07,0.0,6.094342808182773e-08
1848,2.6146969389628794e-07,0.0,9.573813741781123e-08
1849,3.0920040217097267e-07,1.6758829879393033e-09,1.3071887394744408e-07
1850,2.844589346295834e-07,0.0,8.486244951200206e-08
1851,2.4056407710304484e-07,6.449438760824933e-10,1.0061124555704737e-07
1852,2.845108326710033e-07,6.510545436100301e-10,1.0221556578926538e-07
1853,3.3562255907781946e-07,5.971931837933653e-10,6.031650912063924e-08
1854,3.3823775424934865e-07,1.0391328908454511e-09,7.170017113367066e-08
1855,3.0992512733973854e-07,0.0,6.474463276617826e-08
1856,4.058916260873957e-07,5.177189232874468e-10,8.283502950234833e-08
1857,3.3340705840601004e-07,0.0,6.101886640408338e-08
1858,3.826854708677274e-07,4.893676019968041e-10,7.34051397444091e-08
1859,3.6358116517476446e-07,0.0,9.267755274322553e-08
1860,4.4902174067829037e-07,1.8308735638683515e-09,8.833964670884598e-08
