year,pourront_VERB hériter_VERB,pourront_VERB mériter_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,2.1430643926123594e-08
1802,0.0,1.3427040812530322e-08
1803,1.950339223455444e-09,1.5602713787643552e-08
1804,5.438072037122765e-08,1.9774807569206132e-08
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,6.339671898558663e-08
1807,8.540865792383556e-09,2.8469550272802735e-08
1808,1.3596443970698147e-08,2.2660739062985158e-08
1809,0.0,2.710836710662079e-08
1810,1.4040760554223652e-08,7.020380277111826e-09
1811,5.0141535368197765e-09,3.259199843341776e-08
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,4.026038169513413e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,7.012781111370714e-08
1816,0.0,2.3176038865813098e-08
1817,1.556873407970727e-09,2.1796227045456362e-08
1818,0.0,2.5034472272977837e-08
1819,1.2421260464634543e-08,3.001804671498576e-08
1820,2.0173018810965004e-08,1.1866481131050932e-08
1821,1.2819934447350079e-08,1.8736827200882544e-08
1822,2.0051231786055723e-09,1.2030739071633434e-08
1823,7.906149512848515e-09,1.4824030003524058e-08
1824,0.0,1.2631669044083083e-08
1825,0.0,7.044354433105582e-09
1826,3.5231937367541377e-09,2.6423952803611428e-08
1827,9.217273166939322e-09,2.5808365222701468e-08
1828,1.8344602503717056e-09,6.420610709767516e-09
1829,1.2002446148073886e-08,5.572564276690173e-08
1830,5.218417697960831e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,2.3167257001688313e-09,9.266902800675325e-09
1834,0.0,2.14694217959277e-08
1835,0.0,2.4201881387853064e-08
1836,4.704525213838906e-09,1.8146025126952736e-08
1837,1.3915781860163179e-09,2.0177884252348122e-08
1838,2.5248647617104325e-09,9.468243078458727e-09
1839,2.0974426639952526e-09,2.0974426639952526e-09
1840,6.3696887764308485e-09,8.917564464638872e-09
1841,1.6051371787284552e-08,6.420548537278137e-09
1842,8.720745015011744e-09,1.8112315203211438e-08
1843,1.3585895075607368e-08,1.063243981747064e-08
1844,4.390849017710252e-09,1.2074834465636286e-08
1845,6.696273757711424e-09,9.48638767539478e-09
1846,6.439951683034906e-09,1.6392604607062822e-08
1847,7.011190739092399e-09,9.707802561820245e-09
1848,2.413566457803995e-09,3.218088684420195e-09
1849,6.703531951757213e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,1.9009188889640427e-08
1851,2.3217978650791338e-08,3.8696632564949596e-09
1852,1.6927417689771573e-08,2.799534470909748e-08
1853,2.388772735173461e-09,8.360704129017904e-09
1854,4.1565315633818045e-09,7.27393034694046e-09
1855,7.960405667972736e-09,7.960405667972736e-09
1856,1.5531567143511893e-08,1.5531567143511893e-09
1857,4.881509085841174e-10,3.4170564155999728e-09
1858,2.1532175153993194e-08,5.872411001917044e-09
1859,2.2914779407301467e-08,6.110608019582742e-09
1860,5.492620580582752e-09,5.950338888283113e-09
1861,4.715963619617014e-09,8.488735048217677e-09
1862,7.680577063240435e-09,2.0782737308877586e-08
1863,2.4973103585068657e-09,8.990317823531768e-09
1864,3.835782358407869e-09,1.2466292886870178e-08
1865,1.2237795665726026e-08,1.0355057256106193e-08
1866,4.865612801552288e-09,9.731225825149181e-10
1867,1.747012134956094e-08,9.7056229719783e-09
1868,1.4819622196071691e-09,1.1361710683388537e-08
1869,4.395167341186834e-09,6.8369265804335555e-09
1870,1.4335121534259088e-08,3.4404292748035914e-09
1871,1.0621177271019633e-09,0.0
1872,4.8378714367913744e-09,3.0236697590169115e-09
1873,1.616221290134945e-08,2.9930022904522957e-09
1874,1.3144139998644278e-08,0.0
